index,image,blip2_filtered_output
30,data/images/quantifier/test_30.png,"['few', 'most', 'most', 'some', 'the smaller part']"
158,data/images/quantifier/test_158.png,"['few', 'the smaller part', 'few', 'many', 'some']"
115,data/images/quantifier/test_115.png,"['almost all', 'many', 'the smaller part', 'the smaller part', 'the smaller part']"
1633,data/images/quantifier/test_1633.png,"['some', 'few', 'all', 'almost none', 'most']"
1014,data/images/quantifier/test_1014.png,"['almost none', 'all', 'some', 'the smaller part', 'all']"
1166,data/images/quantifier/test_1166.png,"['none', 'all', 'all', 'some', 'the smaller part']"
938,data/images/quantifier/test_938.png,"['the smaller part', 'many', 'all', 'none', 'most']"
866,data/images/quantifier/test_866.png,"['almost none', 'some', 'none', 'almost all', 'many']"
711,data/images/quantifier/test_711.png,"['none', 'some', 'few', 'most', 'the smaller part']"
615,data/images/quantifier/test_615.png,"['most', 'some', 'none', 'almost none', 'none']"
737,data/images/quantifier/test_737.png,"['some', 'none', 'many', 'the smaller part', 'none']"
474,data/images/quantifier/test_474.png,"['none', 'some', 'few', 'few', 'few']"
512,data/images/quantifier/test_512.png,"['almost all', 'many', 'almost all', 'some', 'almost all']"
487,data/images/quantifier/test_487.png,"['almost none', 'none', 'all', 'most', 'many']"
260,data/images/quantifier/test_260.png,"['all', 'all', 'almost none', 'most', 'all']"
2229,data/images/quantifier/test_2229.png,"['none', 'the smaller part', 'some', 'almost all', 'all']"
2290,data/images/quantifier/test_2290.png,"['many', 'the smaller part', 'all', 'most', 'almost all']"
1341,data/images/quantifier/test_1341.png,"['none', 'all', 'most', 'all', 'few']"
1272,data/images/quantifier/test_1272.png,"['all', 'none', 'almost all', 'none', 'all']"
2515,data/images/quantifier/test_2515.png,"['none', 'some', 'all', 'many', 'the smaller part']"
2557,data/images/quantifier/test_2557.png,"['few', 'none', 'some', 'some', 'almost all']"
2592,data/images/quantifier/test_2592.png,"['none', 'none', 'some', 'the smaller part', 'some']"
1554,data/images/quantifier/test_1554.png,"['almost none', 'all', 'none', 'many', 'almost all']"
2632,data/images/quantifier/test_2632.png,"['all', 'all', 'all', 'all', 'none']"
2789,data/images/quantifier/test_2789.png,"['none', 'the smaller part', 'almost none', 'all', 'all']"
1982,data/images/quantifier/test_1982.png,"['all', 'few', 'most', 'almost all', 'almost all']"
1878,data/images/quantifier/test_1878.png,"['all', 'most', 'some', 'many', 'all']"
1947,data/images/quantifier/test_1947.png,"['the smaller part', 'all', 'almost all', 'the smaller part', 'some']"
1858,data/images/quantifier/test_1858.png,"['many', 'some', 'none', 'most', 'all']"
2892,data/images/quantifier/test_2892.png,"['some', 'the smaller part', 'almost all', 'some', 'almost none']"
2985,data/images/quantifier/test_2985.png,"['few', 'some', 'almost none', 'all', 'many']"
2817,data/images/quantifier/test_2817.png,"['the smaller part', 'some', 'most', 'some', 'the smaller part']"
3157,data/images/quantifier/test_3157.png,"['the smaller part', 'most', 'all', 'the smaller part', 'many']"
