index,image
2,data/images/quantifier/test_2.png
5,data/images/quantifier/test_5.png
13,data/images/quantifier/test_13.png
16,data/images/quantifier/test_16.png
20,data/images/quantifier/test_20.png
24,data/images/quantifier/test_24.png
25,data/images/quantifier/test_25.png
29,data/images/quantifier/test_29.png
37,data/images/quantifier/test_37.png
44,data/images/quantifier/test_44.png
46,data/images/quantifier/test_46.png
49,data/images/quantifier/test_49.png
52,data/images/quantifier/test_52.png
56,data/images/quantifier/test_56.png
60,data/images/quantifier/test_60.png
63,data/images/quantifier/test_63.png
66,data/images/quantifier/test_66.png
69,data/images/quantifier/test_69.png
76,data/images/quantifier/test_76.png
84,data/images/quantifier/test_84.png
86,data/images/quantifier/test_86.png
93,data/images/quantifier/test_93.png
95,data/images/quantifier/test_95.png
111,data/images/quantifier/test_111.png
112,data/images/quantifier/test_112.png
114,data/images/quantifier/test_114.png
115,data/images/quantifier/test_115.png
116,data/images/quantifier/test_116.png
117,data/images/quantifier/test_117.png
119,data/images/quantifier/test_119.png
121,data/images/quantifier/test_121.png
122,data/images/quantifier/test_122.png
128,data/images/quantifier/test_128.png
132,data/images/quantifier/test_132.png
134,data/images/quantifier/test_134.png
137,data/images/quantifier/test_137.png
143,data/images/quantifier/test_143.png
146,data/images/quantifier/test_146.png
148,data/images/quantifier/test_148.png
153,data/images/quantifier/test_153.png
155,data/images/quantifier/test_155.png
166,data/images/quantifier/test_166.png
170,data/images/quantifier/test_170.png
174,data/images/quantifier/test_174.png
176,data/images/quantifier/test_176.png
178,data/images/quantifier/test_178.png
180,data/images/quantifier/test_180.png
182,data/images/quantifier/test_182.png
195,data/images/quantifier/test_195.png
196,data/images/quantifier/test_196.png
203,data/images/quantifier/test_203.png
205,data/images/quantifier/test_205.png
207,data/images/quantifier/test_207.png
211,data/images/quantifier/test_211.png
212,data/images/quantifier/test_212.png
215,data/images/quantifier/test_215.png
219,data/images/quantifier/test_219.png
223,data/images/quantifier/test_223.png
224,data/images/quantifier/test_224.png
225,data/images/quantifier/test_225.png
230,data/images/quantifier/test_230.png
231,data/images/quantifier/test_231.png
235,data/images/quantifier/test_235.png
242,data/images/quantifier/test_242.png
246,data/images/quantifier/test_246.png
247,data/images/quantifier/test_247.png
252,data/images/quantifier/test_252.png
255,data/images/quantifier/test_255.png
260,data/images/quantifier/test_260.png
261,data/images/quantifier/test_261.png
263,data/images/quantifier/test_263.png
278,data/images/quantifier/test_278.png
279,data/images/quantifier/test_279.png
287,data/images/quantifier/test_287.png
289,data/images/quantifier/test_289.png
307,data/images/quantifier/test_307.png
308,data/images/quantifier/test_308.png
317,data/images/quantifier/test_317.png
324,data/images/quantifier/test_324.png
328,data/images/quantifier/test_328.png
333,data/images/quantifier/test_333.png
335,data/images/quantifier/test_335.png
340,data/images/quantifier/test_340.png
345,data/images/quantifier/test_345.png
348,data/images/quantifier/test_348.png
351,data/images/quantifier/test_351.png
357,data/images/quantifier/test_357.png
358,data/images/quantifier/test_358.png
362,data/images/quantifier/test_362.png
363,data/images/quantifier/test_363.png
371,data/images/quantifier/test_371.png
374,data/images/quantifier/test_374.png
375,data/images/quantifier/test_375.png
383,data/images/quantifier/test_383.png
385,data/images/quantifier/test_385.png
387,data/images/quantifier/test_387.png
390,data/images/quantifier/test_390.png
394,data/images/quantifier/test_394.png
396,data/images/quantifier/test_396.png
398,data/images/quantifier/test_398.png
404,data/images/quantifier/test_404.png
406,data/images/quantifier/test_406.png
407,data/images/quantifier/test_407.png
410,data/images/quantifier/test_410.png
411,data/images/quantifier/test_411.png
413,data/images/quantifier/test_413.png
417,data/images/quantifier/test_417.png
419,data/images/quantifier/test_419.png
426,data/images/quantifier/test_426.png
428,data/images/quantifier/test_428.png
429,data/images/quantifier/test_429.png
432,data/images/quantifier/test_432.png
433,data/images/quantifier/test_433.png
434,data/images/quantifier/test_434.png
436,data/images/quantifier/test_436.png
443,data/images/quantifier/test_443.png
445,data/images/quantifier/test_445.png
454,data/images/quantifier/test_454.png
458,data/images/quantifier/test_458.png
463,data/images/quantifier/test_463.png
472,data/images/quantifier/test_472.png
473,data/images/quantifier/test_473.png
483,data/images/quantifier/test_483.png
484,data/images/quantifier/test_484.png
485,data/images/quantifier/test_485.png
495,data/images/quantifier/test_495.png
496,data/images/quantifier/test_496.png
498,data/images/quantifier/test_498.png
499,data/images/quantifier/test_499.png
502,data/images/quantifier/test_502.png
507,data/images/quantifier/test_507.png
515,data/images/quantifier/test_515.png
520,data/images/quantifier/test_520.png
532,data/images/quantifier/test_532.png
540,data/images/quantifier/test_540.png
543,data/images/quantifier/test_543.png
545,data/images/quantifier/test_545.png
546,data/images/quantifier/test_546.png
547,data/images/quantifier/test_547.png
549,data/images/quantifier/test_549.png
553,data/images/quantifier/test_553.png
557,data/images/quantifier/test_557.png
558,data/images/quantifier/test_558.png
562,data/images/quantifier/test_562.png
572,data/images/quantifier/test_572.png
587,data/images/quantifier/test_587.png
590,data/images/quantifier/test_590.png
592,data/images/quantifier/test_592.png
593,data/images/quantifier/test_593.png
596,data/images/quantifier/test_596.png
606,data/images/quantifier/test_606.png
609,data/images/quantifier/test_609.png
616,data/images/quantifier/test_616.png
622,data/images/quantifier/test_622.png
623,data/images/quantifier/test_623.png
628,data/images/quantifier/test_628.png
637,data/images/quantifier/test_637.png
638,data/images/quantifier/test_638.png
644,data/images/quantifier/test_644.png
645,data/images/quantifier/test_645.png
647,data/images/quantifier/test_647.png
649,data/images/quantifier/test_649.png
654,data/images/quantifier/test_654.png
657,data/images/quantifier/test_657.png
661,data/images/quantifier/test_661.png
668,data/images/quantifier/test_668.png
674,data/images/quantifier/test_674.png
675,data/images/quantifier/test_675.png
681,data/images/quantifier/test_681.png
688,data/images/quantifier/test_688.png
692,data/images/quantifier/test_692.png
697,data/images/quantifier/test_697.png
702,data/images/quantifier/test_702.png
704,data/images/quantifier/test_704.png
705,data/images/quantifier/test_705.png
712,data/images/quantifier/test_712.png
716,data/images/quantifier/test_716.png
721,data/images/quantifier/test_721.png
730,data/images/quantifier/test_730.png
731,data/images/quantifier/test_731.png
735,data/images/quantifier/test_735.png
736,data/images/quantifier/test_736.png
740,data/images/quantifier/test_740.png
758,data/images/quantifier/test_758.png
760,data/images/quantifier/test_760.png
763,data/images/quantifier/test_763.png
768,data/images/quantifier/test_768.png
770,data/images/quantifier/test_770.png
774,data/images/quantifier/test_774.png
778,data/images/quantifier/test_778.png
779,data/images/quantifier/test_779.png
784,data/images/quantifier/test_784.png
786,data/images/quantifier/test_786.png
787,data/images/quantifier/test_787.png
791,data/images/quantifier/test_791.png
793,data/images/quantifier/test_793.png
794,data/images/quantifier/test_794.png
795,data/images/quantifier/test_795.png
796,data/images/quantifier/test_796.png
799,data/images/quantifier/test_799.png
800,data/images/quantifier/test_800.png
804,data/images/quantifier/test_804.png
806,data/images/quantifier/test_806.png
812,data/images/quantifier/test_812.png
818,data/images/quantifier/test_818.png
819,data/images/quantifier/test_819.png
820,data/images/quantifier/test_820.png
823,data/images/quantifier/test_823.png
829,data/images/quantifier/test_829.png
835,data/images/quantifier/test_835.png
836,data/images/quantifier/test_836.png
837,data/images/quantifier/test_837.png
849,data/images/quantifier/test_849.png
850,data/images/quantifier/test_850.png
855,data/images/quantifier/test_855.png
857,data/images/quantifier/test_857.png
864,data/images/quantifier/test_864.png
867,data/images/quantifier/test_867.png
873,data/images/quantifier/test_873.png
874,data/images/quantifier/test_874.png
875,data/images/quantifier/test_875.png
879,data/images/quantifier/test_879.png
892,data/images/quantifier/test_892.png
902,data/images/quantifier/test_902.png
905,data/images/quantifier/test_905.png
909,data/images/quantifier/test_909.png
911,data/images/quantifier/test_911.png
912,data/images/quantifier/test_912.png
913,data/images/quantifier/test_913.png
914,data/images/quantifier/test_914.png
920,data/images/quantifier/test_920.png
921,data/images/quantifier/test_921.png
929,data/images/quantifier/test_929.png
938,data/images/quantifier/test_938.png
939,data/images/quantifier/test_939.png
948,data/images/quantifier/test_948.png
950,data/images/quantifier/test_950.png
951,data/images/quantifier/test_951.png
953,data/images/quantifier/test_953.png
963,data/images/quantifier/test_963.png
964,data/images/quantifier/test_964.png
966,data/images/quantifier/test_966.png
968,data/images/quantifier/test_968.png
969,data/images/quantifier/test_969.png
971,data/images/quantifier/test_971.png
974,data/images/quantifier/test_974.png
977,data/images/quantifier/test_977.png
982,data/images/quantifier/test_982.png
997,data/images/quantifier/test_997.png
999,data/images/quantifier/test_999.png
1006,data/images/quantifier/test_1006.png
1012,data/images/quantifier/test_1012.png
1015,data/images/quantifier/test_1015.png
1018,data/images/quantifier/test_1018.png
1020,data/images/quantifier/test_1020.png
1022,data/images/quantifier/test_1022.png
1023,data/images/quantifier/test_1023.png
1038,data/images/quantifier/test_1038.png
1039,data/images/quantifier/test_1039.png
1040,data/images/quantifier/test_1040.png
1043,data/images/quantifier/test_1043.png
1046,data/images/quantifier/test_1046.png
1047,data/images/quantifier/test_1047.png
1055,data/images/quantifier/test_1055.png
1057,data/images/quantifier/test_1057.png
1058,data/images/quantifier/test_1058.png
1065,data/images/quantifier/test_1065.png
1068,data/images/quantifier/test_1068.png
1077,data/images/quantifier/test_1077.png
1080,data/images/quantifier/test_1080.png
1084,data/images/quantifier/test_1084.png
1085,data/images/quantifier/test_1085.png
1089,data/images/quantifier/test_1089.png
1094,data/images/quantifier/test_1094.png
1096,data/images/quantifier/test_1096.png
1102,data/images/quantifier/test_1102.png
1103,data/images/quantifier/test_1103.png
1104,data/images/quantifier/test_1104.png
1105,data/images/quantifier/test_1105.png
1112,data/images/quantifier/test_1112.png
1113,data/images/quantifier/test_1113.png
1114,data/images/quantifier/test_1114.png
1115,data/images/quantifier/test_1115.png
1116,data/images/quantifier/test_1116.png
1118,data/images/quantifier/test_1118.png
1123,data/images/quantifier/test_1123.png
1129,data/images/quantifier/test_1129.png
1131,data/images/quantifier/test_1131.png
1132,data/images/quantifier/test_1132.png
1138,data/images/quantifier/test_1138.png
1143,data/images/quantifier/test_1143.png
1147,data/images/quantifier/test_1147.png
1150,data/images/quantifier/test_1150.png
1165,data/images/quantifier/test_1165.png
1166,data/images/quantifier/test_1166.png
1174,data/images/quantifier/test_1174.png
1184,data/images/quantifier/test_1184.png
1185,data/images/quantifier/test_1185.png
1191,data/images/quantifier/test_1191.png
1192,data/images/quantifier/test_1192.png
1204,data/images/quantifier/test_1204.png
1208,data/images/quantifier/test_1208.png
1211,data/images/quantifier/test_1211.png
1212,data/images/quantifier/test_1212.png
1221,data/images/quantifier/test_1221.png
1222,data/images/quantifier/test_1222.png
1226,data/images/quantifier/test_1226.png
1227,data/images/quantifier/test_1227.png
1228,data/images/quantifier/test_1228.png
1235,data/images/quantifier/test_1235.png
1237,data/images/quantifier/test_1237.png
1247,data/images/quantifier/test_1247.png
1248,data/images/quantifier/test_1248.png
1253,data/images/quantifier/test_1253.png
1254,data/images/quantifier/test_1254.png
1261,data/images/quantifier/test_1261.png
1263,data/images/quantifier/test_1263.png
1268,data/images/quantifier/test_1268.png
1270,data/images/quantifier/test_1270.png
1273,data/images/quantifier/test_1273.png
1282,data/images/quantifier/test_1282.png
1290,data/images/quantifier/test_1290.png
1292,data/images/quantifier/test_1292.png
1295,data/images/quantifier/test_1295.png
1300,data/images/quantifier/test_1300.png
1301,data/images/quantifier/test_1301.png
1305,data/images/quantifier/test_1305.png
1310,data/images/quantifier/test_1310.png
1316,data/images/quantifier/test_1316.png
1320,data/images/quantifier/test_1320.png
1323,data/images/quantifier/test_1323.png
1325,data/images/quantifier/test_1325.png
1329,data/images/quantifier/test_1329.png
1331,data/images/quantifier/test_1331.png
1345,data/images/quantifier/test_1345.png
1350,data/images/quantifier/test_1350.png
1352,data/images/quantifier/test_1352.png
1354,data/images/quantifier/test_1354.png
1355,data/images/quantifier/test_1355.png
1358,data/images/quantifier/test_1358.png
1362,data/images/quantifier/test_1362.png
1363,data/images/quantifier/test_1363.png
1367,data/images/quantifier/test_1367.png
1371,data/images/quantifier/test_1371.png
1372,data/images/quantifier/test_1372.png
1373,data/images/quantifier/test_1373.png
1379,data/images/quantifier/test_1379.png
1384,data/images/quantifier/test_1384.png
1391,data/images/quantifier/test_1391.png
1396,data/images/quantifier/test_1396.png
1401,data/images/quantifier/test_1401.png
1402,data/images/quantifier/test_1402.png
1404,data/images/quantifier/test_1404.png
1409,data/images/quantifier/test_1409.png
1411,data/images/quantifier/test_1411.png
1418,data/images/quantifier/test_1418.png
1421,data/images/quantifier/test_1421.png
1425,data/images/quantifier/test_1425.png
1434,data/images/quantifier/test_1434.png
1436,data/images/quantifier/test_1436.png
1444,data/images/quantifier/test_1444.png
1450,data/images/quantifier/test_1450.png
1451,data/images/quantifier/test_1451.png
1455,data/images/quantifier/test_1455.png
1457,data/images/quantifier/test_1457.png
1458,data/images/quantifier/test_1458.png
1460,data/images/quantifier/test_1460.png
1469,data/images/quantifier/test_1469.png
1470,data/images/quantifier/test_1470.png
1480,data/images/quantifier/test_1480.png
1483,data/images/quantifier/test_1483.png
1486,data/images/quantifier/test_1486.png
1488,data/images/quantifier/test_1488.png
1495,data/images/quantifier/test_1495.png
1498,data/images/quantifier/test_1498.png
1499,data/images/quantifier/test_1499.png
1505,data/images/quantifier/test_1505.png
1509,data/images/quantifier/test_1509.png
1517,data/images/quantifier/test_1517.png
1519,data/images/quantifier/test_1519.png
