index,image,llava_output,shuffled_options,prompted_questions
95,data/images/quantifier/test_95.png,"[['G'], ['I: none'], ['A: none'], ['B: almost none'], ['I: almost none']]","[{'a': 'all', 'b': 'few', 'c': 'almost all', 'd': 'some', 'e': 'the smaller part', 'f': 'many', 'g': 'none', 'h': 'almost none', 'i': 'most'}, {'a': 'some', 'b': 'most', 'c': 'almost none', 'd': 'the smaller part', 'e': 'few', 'f': 'all', 'g': 'almost all', 'h': 'many', 'i': 'none'}, {'a': 'none', 'b': 'most', 'c': 'some', 'd': 'all', 'e': 'almost none', 'f': 'many', 'g': 'the smaller part', 'h': 'almost all', 'i': 'few'}, {'a': 'many', 'b': 'almost none', 'c': 'all', 'd': 'most', 'e': 'few', 'f': 'none', 'g': 'almost all', 'h': 'the smaller part', 'i': 'some'}, {'a': 'none', 'b': 'almost all', 'c': 'the smaller part', 'd': 'most', 'e': 'many', 'f': 'few', 'g': 'some', 'h': 'all', 'i': 'almost none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: few\nC: almost all\nD: some\nE: the smaller part\nF: many\nG: none\nH: almost none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: most\nC: almost none\nD: the smaller part\nE: few\nF: all\nG: almost all\nH: many\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: most\nC: some\nD: all\nE: almost none\nF: many\nG: the smaller part\nH: almost all\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: almost none\nC: all\nD: most\nE: few\nF: none\nG: almost all\nH: the smaller part\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: almost all\nC: the smaller part\nD: most\nE: many\nF: few\nG: some\nH: all\nI: almost none\nAnswer:']"
15,data/images/quantifier/test_15.png,"[['I'], ['C'], ['F'], ['G: none'], ['A: none']]","[{'a': 'few', 'b': 'some', 'c': 'almost all', 'd': 'many', 'e': 'almost none', 'f': 'all', 'g': 'most', 'h': 'the smaller part', 'i': 'none'}, {'a': 'most', 'b': 'many', 'c': 'none', 'd': 'almost all', 'e': 'some', 'f': 'all', 'g': 'almost none', 'h': 'few', 'i': 'the smaller part'}, {'a': 'many', 'b': 'most', 'c': 'few', 'd': 'some', 'e': 'the smaller part', 'f': 'none', 'g': 'almost none', 'h': 'all', 'i': 'almost all'}, {'a': 'most', 'b': 'few', 'c': 'the smaller part', 'd': 'all', 'e': 'almost all', 'f': 'many', 'g': 'none', 'h': 'almost none', 'i': 'some'}, {'a': 'none', 'b': 'almost none', 'c': 'many', 'd': 'some', 'e': 'almost all', 'f': 'few', 'g': 'all', 'h': 'most', 'i': 'the smaller part'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: some\nC: almost all\nD: many\nE: almost none\nF: all\nG: most\nH: the smaller part\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: many\nC: none\nD: almost all\nE: some\nF: all\nG: almost none\nH: few\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: most\nC: few\nD: some\nE: the smaller part\nF: none\nG: almost none\nH: all\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: few\nC: the smaller part\nD: all\nE: almost all\nF: many\nG: none\nH: almost none\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: almost none\nC: many\nD: some\nE: almost all\nF: few\nG: all\nH: most\nI: the smaller part\nAnswer:']"
30,data/images/quantifier/test_30.png,"[['A: almost none'], ['D'], ['E'], ['A: almost none'], ['B']]","[{'a': 'almost none', 'b': 'almost all', 'c': 'many', 'd': 'none', 'e': 'all', 'f': 'few', 'g': 'the smaller part', 'h': 'some', 'i': 'most'}, {'a': 'almost all', 'b': 'all', 'c': 'few', 'd': 'none', 'e': 'the smaller part', 'f': 'most', 'g': 'some', 'h': 'many', 'i': 'almost none'}, {'a': 'few', 'b': 'some', 'c': 'most', 'd': 'many', 'e': 'none', 'f': 'all', 'g': 'almost none', 'h': 'almost all', 'i': 'the smaller part'}, {'a': 'almost none', 'b': 'most', 'c': 'the smaller part', 'd': 'few', 'e': 'some', 'f': 'many', 'g': 'all', 'h': 'almost all', 'i': 'none'}, {'a': 'all', 'b': 'none', 'c': 'almost none', 'd': 'the smaller part', 'e': 'most', 'f': 'almost all', 'g': 'many', 'h': 'some', 'i': 'few'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: almost all\nC: many\nD: none\nE: all\nF: few\nG: the smaller part\nH: some\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: all\nC: few\nD: none\nE: the smaller part\nF: most\nG: some\nH: many\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: some\nC: most\nD: many\nE: none\nF: all\nG: almost none\nH: almost all\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: most\nC: the smaller part\nD: few\nE: some\nF: many\nG: all\nH: almost all\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: none\nC: almost none\nD: the smaller part\nE: most\nF: almost all\nG: many\nH: some\nI: few\nAnswer:']"
158,data/images/quantifier/test_158.png,"[['I'], ['A: none'], ['D'], ['B'], ['E']]","[{'a': 'many', 'b': 'some', 'c': 'almost all', 'd': 'most', 'e': 'the smaller part', 'f': 'almost none', 'g': 'all', 'h': 'none', 'i': 'few'}, {'a': 'none', 'b': 'the smaller part', 'c': 'few', 'd': 'all', 'e': 'some', 'f': 'almost all', 'g': 'many', 'h': 'most', 'i': 'almost none'}, {'a': 'almost all', 'b': 'many', 'c': 'the smaller part', 'd': 'none', 'e': 'almost none', 'f': 'most', 'g': 'all', 'h': 'some', 'i': 'few'}, {'a': 'most', 'b': 'none', 'c': 'many', 'd': 'almost all', 'e': 'the smaller part', 'f': 'all', 'g': 'some', 'h': 'almost none', 'i': 'few'}, {'a': 'few', 'b': 'the smaller part', 'c': 'most', 'd': 'many', 'e': 'none', 'f': 'almost none', 'g': 'almost all', 'h': 'all', 'i': 'some'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: some\nC: almost all\nD: most\nE: the smaller part\nF: almost none\nG: all\nH: none\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: the smaller part\nC: few\nD: all\nE: some\nF: almost all\nG: many\nH: most\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: many\nC: the smaller part\nD: none\nE: almost none\nF: most\nG: all\nH: some\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: none\nC: many\nD: almost all\nE: the smaller part\nF: all\nG: some\nH: almost none\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: the smaller part\nC: most\nD: many\nE: none\nF: almost none\nG: almost all\nH: all\nI: some\nAnswer:']"
128,data/images/quantifier/test_128.png,"[['D'], ['F'], ['F'], ['B'], ['E']]","[{'a': 'none', 'b': 'almost all', 'c': 'most', 'd': 'almost none', 'e': 'some', 'f': 'few', 'g': 'all', 'h': 'the smaller part', 'i': 'many'}, {'a': 'most', 'b': 'the smaller part', 'c': 'almost all', 'd': 'few', 'e': 'some', 'f': 'none', 'g': 'many', 'h': 'all', 'i': 'almost none'}, {'a': 'almost all', 'b': 'all', 'c': 'most', 'd': 'few', 'e': 'many', 'f': 'almost none', 'g': 'none', 'h': 'some', 'i': 'the smaller part'}, {'a': 'almost all', 'b': 'few', 'c': 'many', 'd': 'the smaller part', 'e': 'almost none', 'f': 'most', 'g': 'some', 'h': 'none', 'i': 'all'}, {'a': 'many', 'b': 'few', 'c': 'all', 'd': 'most', 'e': 'some', 'f': 'none', 'g': 'the smaller part', 'h': 'almost all', 'i': 'almost none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: almost all\nC: most\nD: almost none\nE: some\nF: few\nG: all\nH: the smaller part\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: the smaller part\nC: almost all\nD: few\nE: some\nF: none\nG: many\nH: all\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: all\nC: most\nD: few\nE: many\nF: almost none\nG: none\nH: some\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: few\nC: many\nD: the smaller part\nE: almost none\nF: most\nG: some\nH: none\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: few\nC: all\nD: most\nE: some\nF: none\nG: the smaller part\nH: almost all\nI: almost none\nAnswer:']"
115,data/images/quantifier/test_115.png,"[['I: none'], ['B'], ['C'], ['A: none'], ['C']]","[{'a': 'many', 'b': 'most', 'c': 'few', 'd': 'almost all', 'e': 'almost none', 'f': 'some', 'g': 'the smaller part', 'h': 'all', 'i': 'none'}, {'a': 'some', 'b': 'none', 'c': 'all', 'd': 'the smaller part', 'e': 'almost all', 'f': 'few', 'g': 'almost none', 'h': 'many', 'i': 'most'}, {'a': 'almost all', 'b': 'many', 'c': 'none', 'd': 'some', 'e': 'all', 'f': 'almost none', 'g': 'most', 'h': 'the smaller part', 'i': 'few'}, {'a': 'none', 'b': 'many', 'c': 'almost all', 'd': 'the smaller part', 'e': 'some', 'f': 'few', 'g': 'most', 'h': 'all', 'i': 'almost none'}, {'a': 'some', 'b': 'few', 'c': 'almost none', 'd': 'many', 'e': 'the smaller part', 'f': 'none', 'g': 'most', 'h': 'all', 'i': 'almost all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: most\nC: few\nD: almost all\nE: almost none\nF: some\nG: the smaller part\nH: all\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: none\nC: all\nD: the smaller part\nE: almost all\nF: few\nG: almost none\nH: many\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: many\nC: none\nD: some\nE: all\nF: almost none\nG: most\nH: the smaller part\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: many\nC: almost all\nD: the smaller part\nE: some\nF: few\nG: most\nH: all\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: few\nC: almost none\nD: many\nE: the smaller part\nF: none\nG: most\nH: all\nI: almost all\nAnswer:']"
1776,data/images/quantifier/test_1776.png,"[['I: many'], ['D'], ['B'], ['B'], ['A']]","[{'a': 'some', 'b': 'few', 'c': 'almost all', 'd': 'almost none', 'e': 'none', 'f': 'the smaller part', 'g': 'all', 'h': 'most', 'i': 'many'}, {'a': 'almost none', 'b': 'almost all', 'c': 'the smaller part', 'd': 'many', 'e': 'none', 'f': 'all', 'g': 'few', 'h': 'some', 'i': 'most'}, {'a': 'the smaller part', 'b': 'some', 'c': 'none', 'd': 'few', 'e': 'almost none', 'f': 'many', 'g': 'almost all', 'h': 'most', 'i': 'all'}, {'a': 'all', 'b': 'many', 'c': 'most', 'd': 'none', 'e': 'the smaller part', 'f': 'almost all', 'g': 'some', 'h': 'almost none', 'i': 'few'}, {'a': 'some', 'b': 'all', 'c': 'few', 'd': 'almost none', 'e': 'many', 'f': 'none', 'g': 'most', 'h': 'the smaller part', 'i': 'almost all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: few\nC: almost all\nD: almost none\nE: none\nF: the smaller part\nG: all\nH: most\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: almost all\nC: the smaller part\nD: many\nE: none\nF: all\nG: few\nH: some\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: some\nC: none\nD: few\nE: almost none\nF: many\nG: almost all\nH: most\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: many\nC: most\nD: none\nE: the smaller part\nF: almost all\nG: some\nH: almost none\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: all\nC: few\nD: almost none\nE: many\nF: none\nG: most\nH: the smaller part\nI: almost all\nAnswer:']"
1633,data/images/quantifier/test_1633.png,"[['A'], ['D'], ['D'], ['B'], ['I: none']]","[{'a': 'many', 'b': 'few', 'c': 'almost all', 'd': 'all', 'e': 'the smaller part', 'f': 'none', 'g': 'almost none', 'h': 'most', 'i': 'some'}, {'a': 'most', 'b': 'some', 'c': 'all', 'd': 'the smaller part', 'e': 'none', 'f': 'few', 'g': 'almost all', 'h': 'many', 'i': 'almost none'}, {'a': 'some', 'b': 'many', 'c': 'all', 'd': 'the smaller part', 'e': 'few', 'f': 'almost all', 'g': 'almost none', 'h': 'most', 'i': 'none'}, {'a': 'many', 'b': 'the smaller part', 'c': 'few', 'd': 'none', 'e': 'almost all', 'f': 'some', 'g': 'almost none', 'h': 'all', 'i': 'most'}, {'a': 'few', 'b': 'almost all', 'c': 'all', 'd': 'many', 'e': 'almost none', 'f': 'the smaller part', 'g': 'most', 'h': 'some', 'i': 'none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: few\nC: almost all\nD: all\nE: the smaller part\nF: none\nG: almost none\nH: most\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: some\nC: all\nD: the smaller part\nE: none\nF: few\nG: almost all\nH: many\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: many\nC: all\nD: the smaller part\nE: few\nF: almost all\nG: almost none\nH: most\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: the smaller part\nC: few\nD: none\nE: almost all\nF: some\nG: almost none\nH: all\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost all\nC: all\nD: many\nE: almost none\nF: the smaller part\nG: most\nH: some\nI: none\nAnswer:']"
1721,data/images/quantifier/test_1721.png,"[['C'], ['B'], ['I: most'], ['A'], ['B']]","[{'a': 'the smaller part', 'b': 'all', 'c': 'some', 'd': 'few', 'e': 'many', 'f': 'almost all', 'g': 'none', 'h': 'almost none', 'i': 'most'}, {'a': 'almost none', 'b': 'many', 'c': 'some', 'd': 'the smaller part', 'e': 'none', 'f': 'almost all', 'g': 'all', 'h': 'most', 'i': 'few'}, {'a': 'some', 'b': 'almost none', 'c': 'few', 'd': 'the smaller part', 'e': 'all', 'f': 'almost all', 'g': 'many', 'h': 'none', 'i': 'most'}, {'a': 'many', 'b': 'almost none', 'c': 'none', 'd': 'all', 'e': 'some', 'f': 'almost all', 'g': 'most', 'h': 'few', 'i': 'the smaller part'}, {'a': 'few', 'b': 'many', 'c': 'most', 'd': 'almost none', 'e': 'some', 'f': 'none', 'g': 'all', 'h': 'almost all', 'i': 'the smaller part'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: all\nC: some\nD: few\nE: many\nF: almost all\nG: none\nH: almost none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: many\nC: some\nD: the smaller part\nE: none\nF: almost all\nG: all\nH: most\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: almost none\nC: few\nD: the smaller part\nE: all\nF: almost all\nG: many\nH: none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: almost none\nC: none\nD: all\nE: some\nF: almost all\nG: most\nH: few\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: many\nC: most\nD: almost none\nE: some\nF: none\nG: all\nH: almost all\nI: the smaller part\nAnswer:']"
1780,data/images/quantifier/test_1780.png,"[['D'], ['B'], ['I: almost all'], ['A: some'], ['A']]","[{'a': 'some', 'b': 'most', 'c': 'all', 'd': 'almost all', 'e': 'few', 'f': 'almost none', 'g': 'many', 'h': 'the smaller part', 'i': 'none'}, {'a': 'all', 'b': 'some', 'c': 'almost all', 'd': 'none', 'e': 'many', 'f': 'most', 'g': 'almost none', 'h': 'few', 'i': 'the smaller part'}, {'a': 'some', 'b': 'none', 'c': 'the smaller part', 'd': 'most', 'e': 'many', 'f': 'almost none', 'g': 'few', 'h': 'all', 'i': 'almost all'}, {'a': 'some', 'b': 'none', 'c': 'few', 'd': 'all', 'e': 'almost all', 'f': 'many', 'g': 'the smaller part', 'h': 'almost none', 'i': 'most'}, {'a': 'some', 'b': 'the smaller part', 'c': 'most', 'd': 'few', 'e': 'all', 'f': 'none', 'g': 'many', 'h': 'almost all', 'i': 'almost none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: most\nC: all\nD: almost all\nE: few\nF: almost none\nG: many\nH: the smaller part\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: some\nC: almost all\nD: none\nE: many\nF: most\nG: almost none\nH: few\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: none\nC: the smaller part\nD: most\nE: many\nF: almost none\nG: few\nH: all\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: none\nC: few\nD: all\nE: almost all\nF: many\nG: the smaller part\nH: almost none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: the smaller part\nC: most\nD: few\nE: all\nF: none\nG: many\nH: almost all\nI: almost none\nAnswer:']"
