image,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,blip2_output,blip2_saliencies,blip2_saliency_rate
data/images/noun/2001-600.jpg,2001,bee have trap,19,50,66,14,"['the orange glass tube that has two holes in it', 'a golden orange glass ball', 'an orange object with no clear plastic in it', 'we believe that the image in the image shows that the product is being shipped to a customer', 'a yellow plastic pipe']","[(['Orange'], []), (['Orange', 'Gold'], []), (['Orange'], ['Plastic']), ([], []), (['Yellow'], ['Plastic'])]","(80, 40)"
data/images/noun/2002-600.jpg,2002,bookend,22,83,59,9,"['a red ceramic vase shaped sculpture', 'this is an image of the vase that you will get if you buy a red vase', 'this is a red metal sculpture on a white background', 'a red, metal statue', 'red metal sculpture']","[(['Red'], []), (['Red'], []), (['Red'], []), (['Red'], []), (['Red'], [])]","(100, 0)"
data/images/noun/2003-600.jpg,2003,fidget toy,59,74,19,0,"['it is a colorful multi-colored wooden block with a rainbow on top', 'a multicolored wooden block with two ends that make up the letter f', 'a bunch of colorful wooden puzzle pieces arranged together on the white surface', 'the picture is of a piece of wood toy that is made of small colored blocks.', 'i see a color puzzle shaped like a s']","[(['Red'], ['Wooden']), (['Red'], ['Wooden']), (['White'], ['Wooden']), (['Red'], []), ([], [])]","(80, 60)"
data/images/noun/2004-600.jpg,2004,pencil sharpener,41,70,48,52,"['orange and yellow round ball', 'what do you see in the image?', 'this is an image of the yellow rubber ball in its original orange color', 'the new and improved ""ball and chain"", which was inspired by the world\'s largest and most expensive', 'the apple logo']","[(['Orange', 'Yellow'], []), ([], []), (['Orange', 'Yellow'], ['Rubber']), (['Red'], []), ([], [])]","(60, 20)"
data/images/noun/2005-600.jpg,2005,fish tank stone,6,25,81,13,"['pink and blue swirl tail with rainbow feathers', 'rainbow and pink unicorn headband', 'the image is of a butterfly hat in a rainbow color', 'the image is of a plastic pink and blue headband', 'in the image, you can see that the headdress is made of tie dyed yarn']","[(['Blue', 'Pink'], []), (['Pink'], []), ([], []), (['Blue', 'Pink'], ['Plastic']), ([], [])]","(60, 20)"
data/images/noun/2006-600.jpg,2006,space ship top,34,64,31,3,"['i see the ufo looking object with the bright orange lights on the top of it', 'a white disk with red buttons on the bottom', 'a metallic silver spaceship with a disc on the back', 'q: what do you see in the image?', 'the image shows the space shuttle discovery with the orbiter around it']","[(['Orange'], []), (['Red', 'White'], []), (['Silver'], ['Metallic']), ([], []), ([], [])]","(60, 20)"
data/images/noun/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,"['the product in the image has the product title in white text against a black background', 'the black ball has a red end and is attached to the metal handle', 'a black ball with red plastic tip', 'the image of a ball and hose attachment for the hose in a rubber vacuum cleaner', 'i see that you can make your own black ball.']","[(['Black'], []), (['Red', 'Black'], []), (['Red', 'Black'], ['Plastic']), ([], ['Rubber']), (['Black'], [])]","(80, 40)"
data/images/noun/2008.jpg,2008,curlers formed together,34,25,48,16,"['a blue object with the shape of a tie', 'the image shows a blue dog bone with yellow rings and two sticks', 'you can see a blue bow and some yellow metal in the image', 'a blue rubber arm that looks like a human arm with white hands', 'the image of a plastic knot that is sitting in front of a white background']","[(['Blue'], []), (['Yellow', 'Blue'], []), (['Yellow', 'Blue'], []), (['Blue', 'White'], ['Rubber']), ([], ['Plastic'])]","(80, 40)"
data/images/noun/2009-600.jpg,2009,dog toy,47,78,65,45,"['an orange spiky thing with spikes on the bottom', 'an orange spiky object with spikes sticking out of it', 'what do you see in the image?', 'the image of a letter shaped object with a bunch of spikes on it', 'orange tylenol jelly bean dog toy']","[(['Orange'], []), (['Orange'], []), ([], []), ([], []), (['Orange'], [])]","(60, 0)"
data/images/noun/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,"['a red toy with yellow and blue dots', 'dog chew toy', 'the two red balls have colorful dots on them', 'a ball with lots of colorful dots on it', 'the dog toy is colorful and has dots on it']","[(['Red', 'Yellow', 'Blue'], []), ([], []), (['Red'], []), ([], []), ([], [])]","(40, 0)"
