image_path,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,"BLIP-2, nucleus, caption_1","BLIP-2, nucleus, saliency_1","BLIP-2, nucleus, caption_2","BLIP-2, nucleus, saliency_2","BLIP-2, nucleus, caption_3","BLIP-2, nucleus, saliency_3","BLIP-2, nucleus, caption_4","BLIP-2, nucleus, saliency_4","BLIP-2, nucleus, caption_5","BLIP-2, nucleus, saliency_5","BLIP-2, nucleus, caption_6","BLIP-2, nucleus, saliency_6","BLIP-2, nucleus, caption_7","BLIP-2, nucleus, saliency_7","BLIP-2, nucleus, caption_8","BLIP-2, nucleus, saliency_8","BLIP-2, nucleus, caption_9","BLIP-2, nucleus, saliency_9","BLIP-2, nucleus, caption_10","BLIP-2, nucleus, saliency_10",blip2_saliency_rate,model_color_saliency,color_pearsonr,model_texture_saliency,texture_pearsonr
data/images/noun/2001-600.jpg,2001,bee have trap,19,50,66,14,orange clear bubble wrap - 1 pack,"(['Orange'], [])",orange dog toy for small dogs,"(['Orange'], [])",an orange plastic water bottle on a white background,"(['Orange'], ['Plastic'])",the shape of a ball is orange in color,"(['Orange'], [])",an orange plastic plastic toy is sitting in the middle,"(['Orange'], ['Plastic'])",a pair of orange plastic toys on a white background,"(['Orange'], ['Plastic'])",a pair of orange plastic balls with holes,"(['Orange'], ['Plastic'])",two orange plastic balls sitting on top of each other,"(['Orange'], ['Plastic'])",an orange plastic turtle shell with a yellow lid,"(['Orange', 'Yellow'], ['Plastic'])",an orange plastic food dispenser on a white surface,"(['Orange', 'White'], ['Plastic'])","(100, 70)",100,0.39854250008597725,70,0.14523802438751093
data/images/noun/2002-600.jpg,2002,bookend,22,83,59,9,a red abstract sculpture on a stand,"(['Red', 'Tan'], [])",a red metal sculpture with a curvy shape,"(['Red'], [])",a metal sculpture with a curve design in red,"(['Red'], [])",an abstract red vase shaped object,"(['Red'], [])",a red sculpture with the bottom edge of a curved object,"(['Red'], [])",red metal sculpture with curved lines on it,"(['Red'], [])",a red metal sculpture that is shaped like a curved object,"(['Red'], [])",a red metal sculpture with curved shape,"(['Red'], [])",a red metal sculpture with a curve on it,"(['Red'], [])",a red metal sculpture that has a shape similar to a vase,"(['Red'], [])","(100, 0)",100,0.39854250008597725,0,0.14523802438751093
data/images/noun/2003-600.jpg,2003,fidget toy,59,74,19,0,a line of multicolored block toys arranged in a pattern,"(['Red'], [])",a multicolored puzzle with blocks stacked on top,"(['Red'], [])",four colorful plastic blocks arranged in a circle,"([], ['Plastic'])","colorful wooden blocks arranged to spell out ""i love you""","([], ['Wooden'])",wooden toy blocks in a row with the letters e a r o,"([], ['Wooden'])",multi colored block letters stacked together on white surface,"(['Red', 'White'], [])","toys, building blocks, plastic, wooden, multi-coloured plastic toys","(['Red'], ['Wooden', 'Plastic'])",a multicolored puzzle piece made out of small wood blocks,"(['Red'], [])",an arrangement of multi colored plastic pieces on white,"(['Red', 'White'], ['Plastic'])",a stack of wooden blocks that have letters on them,"([], ['Wooden'])","(60, 60)",60,0.39854250008597725,60,0.14523802438751093
data/images/noun/2004-600.jpg,2004,pencil sharpener,41,70,48,52,a small orange and yellow plastic toy,"(['Orange', 'Yellow'], ['Plastic'])",a close up of a small orange and yellow plastic ball,"(['Orange', 'Yellow'], ['Plastic'])",a yellow and orange rubber egg shaped key chain,"(['Orange', 'Yellow'], ['Rubber'])",a plastic object with orange and yellow handles,"(['Orange', 'Yellow'], ['Plastic'])",small plastic toy with orange top and yellow bottom,"(['Orange', 'Yellow'], ['Plastic'])",an orange ball shaped object with two holes in it,"(['Orange'], [])",an orange and yellow plastic toy with a hole in it,"(['Orange', 'Yellow'], ['Plastic'])",a small orange plastic egg shape with a hole in it,"(['Orange'], ['Plastic'])",a orange and yellow plastic object with an eye,"(['Orange', 'Yellow'], ['Plastic'])",a yellow and orange ball that is in the shape of an egg,"(['Orange', 'Yellow'], [])","(100, 80)",100,0.39854250008597725,80,0.14523802438751093
data/images/noun/2005-600.jpg,2005,fish tank stone,6,25,81,13,"a pink, yellow, and blue plastic horn on a white background","(['Yellow', 'Blue', 'Pink'], ['Plastic'])",a tie dye headband with rainbow colors on it,"([], [])",a pink and blue tie dye feather head band,"(['Blue', 'Pink'], [])",a rainbow tie dye hat sitting on a white surface,"(['White'], [])",rainbow tie dye headband,"([], [])",diamond dandy tie dye headband - rainbow,"([], [])",a pink and yellow toy with a pink tail,"(['Yellow', 'Pink'], [])",rainbow unicorn headband - $5.00,"([], [])",a tie dye hat sitting on top of a white surface,"(['White'], [])",a rainbow colored plastic fish hat sitting on top of a white surface,"(['Red', 'White'], ['Plastic'])","(60, 20)",60,0.39854250008597725,20,0.14523802438751093
data/images/noun/2006-600.jpg,2006,space ship top,34,64,31,3,a metal model of a space ship sitting on top of a white surface,"(['White'], [])",spacecraft by jerry kim - the ship that never comes home,"([], [])",star trek ufo collector's item - 3d printer,"([], [])",a small metal object sitting on top of a white surface,"(['White'], [])",s3-nx-3 ufo antenna - star wars - jedi - darth v,"([], [])",this is a small model of a space craft,"([], [])",a silver space ship sitting on a table,"(['Silver'], [])",the model of a large silver disk on a white background,"(['Silver'], [])",a large silver object on top of a white surface,"(['White', 'Silver'], [])",a star wars x-wing starfighter with two red lights,"(['Red'], [])","(60, 0)",60,0.39854250008597725,0,0.14523802438751093
data/images/noun/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,black plastic ball with red stick on top,"(['Red', 'Black'], ['Plastic'])",a black ball with red tip on a white surface,"(['Red', 'Black', 'White'], [])",a small black ball with a red tip,"(['Red', 'Black'], [])",a black ball with a red handle and a red tip,"(['Red', 'Black'], [])",a black plastic ball with a red tip,"(['Red', 'Black'], ['Plastic'])",a toy with a black ball with a red handle,"(['Red', 'Black'], [])",a black plastic ball with a red handle,"(['Red', 'Black'], ['Plastic'])",a black plastic ball with red handle,"(['Red', 'Black'], ['Plastic'])",a rubber ball with a plastic plug on it,"([], ['Plastic', 'Rubber'])",black ball shaped object with red handle,"(['Red', 'Black'], [])","(90, 50)",90,0.39854250008597725,50,0.14523802438751093
data/images/noun/2008.jpg,2008,curlers formed together,34,25,48,16,a blue rope that has two ends that are tied together,"(['Blue'], [])",a small plastic blue rubber ring is shown,"(['Blue'], ['Plastic', 'Rubber'])",a blue and white rubber dog toy with two blue and one white dog,"(['Blue', 'White'], ['Rubber'])",an image of two blue and white toys,"(['Blue', 'White'], [])",pvc rope - blue,"(['Blue'], [])",the knot is shown sitting in the blue,"(['Blue'], [])",the rubber dog toy in blue color,"(['Blue'], ['Rubber'])",a large blue rubber tie sitting on top of a white surface,"(['Blue', 'White'], ['Rubber'])",a blue rope with two metal pieces,"(['Blue'], [])",a blue and white object with two ends,"(['Blue', 'White'], [])","(100, 40)",100,0.39854250008597725,40,0.14523802438751093
data/images/noun/2009-600.jpg,2009,dog toy,47,78,65,45,orange t - shaped dog toy with spiky spikes,"(['Orange'], [])",a close up of a orange toy toy with spikes,"(['Orange'], [])",an orange toy with spikes on it,"(['Orange'], [])",orange rubber toy shaped like a letter x,"(['Orange'], ['Rubber'])",an orange toy shaped like an x on a white background,"(['Orange'], [])",orange kong dog toy shaped like a star,"(['Orange'], [])",a large orange sponge toy on white background,"(['Orange'], [])",hugable hugable dog toys,"([], [])",the orange spiky toy is made from a ball shaped object,"(['Orange'], [])",an orange dog toy with spikes on it,"(['Orange'], [])","(90, 10)",90,0.39854250008597725,10,0.14523802438751093
data/images/noun/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,red rubber dog toy with multicolored dots on it,"(['Red'], ['Rubber'])","red and yellow dog toy with blue, yellow, and white dots","(['Red', 'Yellow', 'Blue', 'White'], [])",soft toy with a ball in the middle with colorful dots,"([], ['Soft'])",red plastic ball with blue and yellow dots,"(['Red', 'Yellow', 'Blue'], ['Plastic'])",a red and blue rubber ball with white spots on it,"(['Red', 'Blue', 'White'], ['Rubber'])",virotherapy corona soft rubber dog toy,"([], ['Soft', 'Rubber'])",a red and yellow dog toy with colorful polka dot,"(['Red', 'Yellow'], [])",dog chew toy with red and blue dot,"(['Red', 'Blue'], [])",paws toppers rubber squeaker toys,"([], ['Rubber'])",a red and white dog toy with multicolored dots,"(['Red', 'White'], [])","(70, 60)",70,0.39854250008597725,60,0.14523802438751093
