index,image
95,data/images/quantifier/test_95.png
15,data/images/quantifier/test_15.png
30,data/images/quantifier/test_30.png
158,data/images/quantifier/test_158.png
128,data/images/quantifier/test_128.png
115,data/images/quantifier/test_115.png
1776,data/images/quantifier/test_1776.png
1633,data/images/quantifier/test_1633.png
1721,data/images/quantifier/test_1721.png
1780,data/images/quantifier/test_1780.png
1702,data/images/quantifier/test_1702.png
1735,data/images/quantifier/test_1735.png
1160,data/images/quantifier/test_1160.png
1014,data/images/quantifier/test_1014.png
1109,data/images/quantifier/test_1109.png
1019,data/images/quantifier/test_1019.png
1122,data/images/quantifier/test_1122.png
1166,data/images/quantifier/test_1166.png
938,data/images/quantifier/test_938.png
870,data/images/quantifier/test_870.png
863,data/images/quantifier/test_863.png
934,data/images/quantifier/test_934.png
866,data/images/quantifier/test_866.png
932,data/images/quantifier/test_932.png
711,data/images/quantifier/test_711.png
780,data/images/quantifier/test_780.png
793,data/images/quantifier/test_793.png
615,data/images/quantifier/test_615.png
737,data/images/quantifier/test_737.png
758,data/images/quantifier/test_758.png
474,data/images/quantifier/test_474.png
558,data/images/quantifier/test_558.png
512,data/images/quantifier/test_512.png
487,data/images/quantifier/test_487.png
507,data/images/quantifier/test_507.png
492,data/images/quantifier/test_492.png
212,data/images/quantifier/test_212.png
260,data/images/quantifier/test_260.png
326,data/images/quantifier/test_326.png
384,data/images/quantifier/test_384.png
303,data/images/quantifier/test_303.png
394,data/images/quantifier/test_394.png
2211,data/images/quantifier/test_2211.png
2229,data/images/quantifier/test_2229.png
2301,data/images/quantifier/test_2301.png
2243,data/images/quantifier/test_2243.png
2290,data/images/quantifier/test_2290.png
2201,data/images/quantifier/test_2201.png
1255,data/images/quantifier/test_1255.png
1341,data/images/quantifier/test_1341.png
1294,data/images/quantifier/test_1294.png
1204,data/images/quantifier/test_1204.png
1272,data/images/quantifier/test_1272.png
1302,data/images/quantifier/test_1302.png
2515,data/images/quantifier/test_2515.png
2557,data/images/quantifier/test_2557.png
2592,data/images/quantifier/test_2592.png
2567,data/images/quantifier/test_2567.png
2487,data/images/quantifier/test_2487.png
2472,data/images/quantifier/test_2472.png
2054,data/images/quantifier/test_2054.png
2111,data/images/quantifier/test_2111.png
2019,data/images/quantifier/test_2019.png
2031,data/images/quantifier/test_2031.png
2137,data/images/quantifier/test_2137.png
2135,data/images/quantifier/test_2135.png
1486,data/images/quantifier/test_1486.png
1499,data/images/quantifier/test_1499.png
1502,data/images/quantifier/test_1502.png
1554,data/images/quantifier/test_1554.png
1493,data/images/quantifier/test_1493.png
1534,data/images/quantifier/test_1534.png
2658,data/images/quantifier/test_2658.png
2632,data/images/quantifier/test_2632.png
2789,data/images/quantifier/test_2789.png
2655,data/images/quantifier/test_2655.png
2603,data/images/quantifier/test_2603.png
2731,data/images/quantifier/test_2731.png
1982,data/images/quantifier/test_1982.png
1878,data/images/quantifier/test_1878.png
1912,data/images/quantifier/test_1912.png
1947,data/images/quantifier/test_1947.png
1858,data/images/quantifier/test_1858.png
1965,data/images/quantifier/test_1965.png
2893,data/images/quantifier/test_2893.png
2892,data/images/quantifier/test_2892.png
2945,data/images/quantifier/test_2945.png
2883,data/images/quantifier/test_2883.png
2985,data/images/quantifier/test_2985.png
2817,data/images/quantifier/test_2817.png
3139,data/images/quantifier/test_3139.png
3145,data/images/quantifier/test_3145.png
3157,data/images/quantifier/test_3157.png
3184,data/images/quantifier/test_3184.png
3110,data/images/quantifier/test_3110.png
3004,data/images/quantifier/test_3004.png
3310,data/images/quantifier/test_3310.png
3327,data/images/quantifier/test_3327.png
3249,data/images/quantifier/test_3249.png
3348,data/images/quantifier/test_3348.png
3353,data/images/quantifier/test_3353.png
3268,data/images/quantifier/test_3268.png
