image,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,blip2_output
data/images/noun/2001-600.jpg,2001,bee have trap,19,50,66,14,"[['the objects are a yellow water bottle, a dog toy and a yellow ball. \\nq:'], ['objects are in the image. \\n \\nq: can i add other objects to this image'], ['an orange plastic toy'], ['\\nan orange egg shaped toy\\n\\n\\nq: what objects are in the'], [""this image shows a plastic shell with two holes for your dog's ears. \\n\\n\\""], [''], ['the image shows a toy car, two toys, a toy mouse, a toy fish and a toy'], ['you can choose one of these options, or click to see the entire image'], ['the image shows two objects with the word yellow. \\n\\nq: what are the words'], ['these objects are in the image.\\n\\n\\n\\n\\n\\n\\'], ['\\nthe object in the image is the item'], ['a pair of plastic animals in a white background'], ['there are a variety of objects in the image. please note that the images are not representative of the'], ['an orange ball shaped object. \\nq: why is the image so dark? \\na'], ['you can choose the object and size you want for the packaging'], ['the images shown on the website are just a few of the many options available.\\nq:'], ['an orange, round, round, round, round, round, round, round, round, round'], ['a yellow tube with a plastic nose and nose'], ['the object in the image is a plastic turtle. \\nq: why does the turtle have a'], ['this image shows an image of a single item in an online image library.'], ['orange objects are in the image. \\nq: what is the size of the object? \\'], ['these objects are in the image. \\nq: what objects are in the image? \\n'], ['\\na: \\na: \\na: \\na: \\na:'], ['the object is a small round glass tube. \\n\\nq: what object is not in'], ['the image shows a dog bowl with an orange object on top'], ['1.'], ['objects in the image are a ball and a cat toy. \\nq: what is the object'], ['a small object in the image is a plastic orange bottle, the other object is an orange egg shaped'], ['an orange plastic ball with a hole in the center'], ['you can select the objects in the image, and you can customize the title to display it on the'], ['the item is a set of two small round orange plastic toys. \\n\\nq: how'], ['an orange plastic water bottle and a coffee cup'], ['\\n \\n \\n \\n \\n \\n \\n \\n \\n \\n'], ['this image shows a small orange object'], ['a lightbulb.""he was the guy with the beard""'], ['\\nthis product is a clear bubble glass, in the shape of a large sphere, with a'], ['an orange dog ball'], ['it is an egg shaped clear object, with an orange shell.'], [''], ['the objects are an orange plastic container with two balls inside']]"
data/images/noun/2002-600.jpg,2002,bookend,22,83,59,9,"[['a red metal sculpture on a white surface'], ['red sculptural vase.\\n\\nq: how do i use the product? \\'], ['red metal sculpture on pedestal'], ['we are happy to present a red vase in the image. \\nq: what is the'], ['this image shows a red vase and a black pedestal'], ['this is a sculpture by designer bobby tay, made from a red aluminium alloy and painted with'], ['these are red metal sculptures on wooden bases. \\nq: what is the product? \\n'], ['the red clay figurine is a symbol of love, a symbol of joy and a symbol of the'], ['these objects are available in various colours for your choice.'], ['vase, glass ornament, figurine'], ['red marble statue\\nq: what is the image of the item you are selling? \\n'], ['this is a red abstract sculpture made with resin and steel'], ['this is a photograph of a metal vase.'], ['the image contains an abstract glass vase. \\nq: how do i order the image?'], ['red, abstract object'], ['the object in the image is a red vase on top of a black base'], ['there is a red object in the image, but it is not clear if it is a sculpture or'], ['the red metal sculpture is a table top candle holder'], ['red metal sculpture on black background'], ['the image shows the red sculpted metal object that we are selling.\\n\\nq:'], ['this is an image of a red glass sculpture'], ['an abstract sculpture in the red color, on a wooden base'], ['red art vase, decorative vase, decorative vase'], ['this image is a sculpture. \\nq: how is the image made? \\na:'], ['red vase with a small red leaf shaped flower.'], ['a modern abstract sculpture that is made of red acrylic. the sculpture has a curved top and a curved'], ['\\n1. a red vase on a black background'], ['a metal vase with a metal base and a red color'], ['red object \\n\\nq: how can i find out the product information? \\na'], ['this image is a red sculpture by a design company. the sculpture is a large red vase.'], ['this image shows an item.'], ['the red vase on the side of the table in the picture is one of the products you can'], ['it is a red vase. \\nq: is it a table lamp? \\na'], ['\\na: red metal sculpture with white marble base, by the name of vase'], ['a red vase with a gold swirl design'], ['red metal abstract vase \\nq: what is the name of the artist? \\na'], ['red artistic wall decor'], ['red abstract design metal sculpture \\n\\nq: where can i buy this product?'], ['a red abstract sculpture on a white surface'], ['this image is of a metal sculpture, made from red iron, with a handle and a bowl shaped']]"
data/images/noun/2003-600.jpg,2003,fidget toy,59,74,19,0,"[['the image is of a set of colored blocks with a hole at the bottom'], ['a wooden block with some wooden blocks inside'], ['this is a wooden puzzle board that consists of four wooden blocks. the blocks have four different colored blocks'], ['multi colored blocks'], ['the image contains two different objects. the first one is a wooden block with a multi-coloured'], ['this image is of different colorful wooden blocks that are arranged to make the letter q'], ['the picture shows three different objects on a white background'], ['blocks.'], ['\\n \\n \\n \\n \\n \\n \\n \\n \\n \\n'], ['an electronic game with blocks'], ['multi colored wooden toys \\n\\nthis image is of the set of four wooden toys'], ['a toy building block set with pieces for a colorful set of blocks. \\n\\nq:'], ['the images in the image is a set of five wooden blocks that are in a shape of a'], ['a block with various pieces. \\n\\nq: what object are you looking for? \\'], ['the image contains a toy block set, a toy brick, a toy brick, a toy block,'], ['the images are a variety of toy objects.'], ['what objects are in the image? \\nq: what objects are in the image? \\n'], ['this image shows the object called a set of 3 wooden toys. it consists of two different colored blocks'], ['a colorful stack of plastic letters on a white background.'], ['the image is made up of two colorful wooden blocks. the block on the left is yellow, the'], ['\\n1, 2, 3, 4, 5, 6, 7, 8, 9,'], ['a set of four blocks, one with an arrow, in which the blocks are placed in a row'], ['multi-colored blocks \\nq: what is the name of the image? \\na:'], ['a set of blocks arranged in the shape of a cross'], ['the image shows a number of toys and toys are in the image'], ['1) a bunch of wooden blocks 2) a bunch of blocks 3) a bunch of blocks 4'], ['the image contains multiple images of toy blocks. the toy blocks are placed on a white background. \\'], ['the image shows the object ""block""'], ['multi - colored block puzzle'], ['these objects are part of a set of plastic blocks, some of which are in different colors.'], ['a multi-colored block puzzle with an e, k, and s. \\n\\nthe'], ['a multicolored set of stacking toys on a white background \\n'], ['the wooden toy block has multi-colored bricks attached to it'], ['q: what objects are in the image? \\na: \\u003cb3\\u'], ['a set of 3 wooden blocks'], ['there are many objects, including the letters q, in this image'], ['\\nthe image is a group of wooden blocks with colored plastic pieces. \\n\\nq'], ['wood block puzzle'], ['this image contains many items that are shown in the image\\n\\n'], ['what objects are in the image? \\nq: what objects are in the image? \\n']]"
data/images/noun/2004-600.jpg,2004,pencil sharpener,41,70,48,52,"[['an orange plastic egg shape device with a hole in the middle. \\nq: what are the'], ['the objects are in the image are a plastic egg with a yellow core, which is attached to a'], ['a dog bone shaped like an orange, yellow, and white ball'], ['orange & yellow plastic egg shaped ring. \\nq: what does the product look like? \\'], ['orange egg shaped object is an object in the image. \\n\\n\\n\\n\\'], ['\\nthe object is an orange plastic ball shaped like a circle with a small hole'], ['orange plastic egg shape with small hole in it'], ['a round plastic ball, with a black base and orange top, with a hole cut in it.'], ['the image contains objects of different shapes and colors, such as a ball, a bowl, a small'], ['this image contains a plastic egg shaped ball'], ['an orange ball'], ['an orange object with an orange lid and yellow eyes, a yellow object with a yellow lid and red'], ['an apple in a bowl of orange juice, an orange in a bowl of milk, a bowl of'], ['the item you are buying. \\nq: how do i check if the item is the right'], ['a plastic toy with a large oval shaped hole, an orange object, a blue object, a green'], ['the objects are the yellow object with an orange base and the orange object with a yellow base'], ['there are some items in the image, including a metal bar, which are not available. we are'], [""orange objecti don't see a problem here.  i would have bought that.""], ['the item shown is the orange ball.'], ['a ball shaped orange and yellow candy'], ['we offer a variety of different shapes of objects.'], ['there are three objects in the image. there is an orange ball with a blue hole, a gold'], ['the objects are the silicone toys that were given out at the'], ['\\na: an egg-shaped object'], ['a pair of sunglasses, a tennis racket, an orange beach ball, a watermelon, a tennis'], ['the product is made of yellow and orange color.\\n\\nq: how long will it'], ['there is a spherical object in the image. \\n\\nq: what is the title of'], ['orange, yellow, white.'], ['the object is a rubber duck in orange and yellow.'], ['you can see that there is a ball in the image and it is a ball of orange and yellow'], ['the item is in the image, but there are a lot of objects on the photo. \\n'], ['an orange egg shape object with a yellow'], ['the object in the image is a plastic egg shaped ring'], ['a single orange object'], ['the object is an orange silicone egg shaped objectyou should probably be looking at a newer gpu.'], ['object 1, object 2 and object 3 are in the imagethat is the coolest fucking chair.'], [""it's a water-resistant, non-porous, non-scratch, non-le""], ['this image is for illustration purpose.'], ['a hollow sphere in orange, yellow and white'], ['this is a small orange and yellow ball with a hole in the center']]"
data/images/noun/2005-600.jpg,2005,fish tank stone,6,25,81,13,"[['\\na: \\na: \\na: \\na: \\na:'], ['the object is a rainbow tie dye tie'], ['\\n1. a colorful tie dyed hair bandtil you can kill people with a bullet'], ['the image is of a tie dye'], ['\\n \\n \\n \\n \\n \\n \\n \\n \\n \\n'], ['the image shows a multi-color hair accessory, which can be made by using the tie dye kit'], ['the image is of a tie dyed unicorn with a rainbow colored tail'], ['an image of a tie dye cap that is made from a hairpiece'], ['the image of an unicorn head is in the shape of a unicorn, in the shape of a cloud'], ['\\n \\n a: \\n \\n a: \\n \\n \\n a:'], [""\\nq: why is the image blurry? \\na: \\nq: what's""], ['the image shows a tie dye headband on a white background. \\nq: what do you'], ['\\na: tie dye dragon head hair bandso is it safe to say that there is'], ['this image is of a multi-colored plastic fish'], ['the image shows the rainbow tie dye'], ['an art object with a multicolored plastic coating'], ['the image shows a white, clear, and pink hair bow that is tied with colorful, tie -'], ['the object in the image is a pink unicorn headband'], ['this image is of the rainbow wing shaped headband that is being made by a customizer'], [''], ['\\na: a rainbow tie dyed headband'], ['the rainbow hair tie, unicorn cupcake cup, unicorn keychain and unicorn hat'], ['the image is of the tie dye headband from the tie dye line of products by ombre'], ['the image shows the product from the image. \\nq: how long does it take to make'], ['a rainbow tie-dye headband on top of a plastic plate'], ['the image is of a butterfly tie dye necklace. \\n\\n'], ['a small tie dye unicorn headband, a tie dye unicorn hat and a tie dye unicorn pom'], ['the image is a closeup of a rainbow butterfly hair tie, which has been placed on a white'], ['in the image, the object on the right is a tie dye wig that has been shaped to look'], ['the image shows a pink, green, and blue unicorn toy on top of a yellow and pink hair'], ['\\nanswers: \\n\\n1- a pink and yellow unicorn headband with a'], ['the product shown is a single color, plastic, silicone, latex or silicone resin headdress that can'], ['the image is of the cloud headband. \\nq: how do i wear this headband'], [''], ['an old school rainbow unicorn headdress! \\n\\n\\n'], ['a multi-colored foam ringit looks like it might be from a type of sea cucumber'], ['the image of a rainbow colored headband on top of a pink foam base. \\n\\n'], [""it's a cup of sugar.  \\nq: what's in the image? \\n""], ['a rainbow unicorn horn shaped in the shape of a pink, green, and blue butterflythis is'], ['this is a tie dyed tie-dye unicorn headband that is made from a variety of materials']]"
data/images/noun/2006-600.jpg,2006,space ship top,34,64,31,3,"[['the object in the image is a plastic spaceship.'], ['an object is in the image'], ['a small ship with a circular base and a silver metal disk with a green sphere on top'], ['in the image above, the object is a blue metal disk that is attached to a silver surface.'], ['the object is a small metal spaceship with an attached antenna'], ['a model of the original starfleet ship the u.s.s enterprise, on display at the'], ['a model space ship with the tail removed \\nq: where can i get one of these?'], ['the objects in the image are not included'], [""an alien spacecrafti can't see a way to make a 3d cube, if it's""], ['in the image we have the star trek replicator'], ['there are several objects in the image that are in the shape of a space ship.'], [""star trek's uss enterprise, part of the u.s.s. enterprise-d series""], ['the object is a metal and silver space shuttle'], ['there are a few objects in the image, but the two images are of different objects.there'], ['in the image the object is a silver metal model of a small ufo.'], ['the objects are the front of the space ship and the rear of the space ship'], ['in the image there is a model starfleet ship. \\n\\nq: where can i'], ['this is the image of an object in a model kit, in the shape of a metal disk with'], ['the image is an image of the star wars ufo that can be used in star wars, star'], ['a metallic object that is shaped like the bottom of a spaceship'], ['the image shows the starfleet vessel uss enterprise ncc-1701-d (star trek)'], ['a silver device with red buttons and a black dome'], ['an object with a disc in the middle, and a large metal ring around it, with small round'], ['star wars tie fighter with a red arm on the backit’s a great feeling,'], ['an object is shown against a white background'], ['\\nthis image shows the following objects:\\n\\n1) \\nspace shuttle'], ['star trek enterprise, a u.s.s enterprise, starfleet nx-01. \\nq'], ['objects are a series of photographs i took of my spaceship while flying through space. the object on the'], ['a space station model from the star trek universe'], ['a space ship'], ['a small metal object with a metal disc'], ['the object in the image is the silver starfleet ship'], ['\\nthe object in the image is a model of a star ship on a'], [""this is a model of the u.s.s enterprise from star trek.you'll be""], ['the object in the image is a plastic model of the uss enterprise'], ['star trek enterprise phaser'], ['this image shows a model of a model of a model of a model of a model of a model'], ['a spacecraft flying through space\\n\\nq: what is the object in the image? \\'], ['the object is a small model of a space ship'], ['the object is a plastic, shiny space object that is shaped like the u s mjolnir']]"
data/images/noun/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,"[['a black ball, a red stick, a black ball and a red stick are in the image.'], ['in the image you can see that the plastic ball is made of black and red material'], ['an iron ball, a black water bottle, a red ball, a black ball, a white ball'], ['what objects are in the image? \\nq: what objects are in the image? \\n'], ['this is an example of the results you can get when you search for ""object""'], ['the image is of a plastic ball with a red handle. the object is not shown.'], ['\\n\\na: the product shown in the image is a black sphere with a red tube'], ['\\n\\nq: what objects are in the image? \\na: \\n\\'], ['this is a red plastic ball with a black handle.'], ['we have provided images of an egg with a rubber tube for your reference'], ['a small black plastic ball, with a red handle and an open top.'], ['the objects in the image are a ball, a rubber ball, a red tube, a black pipe'], ['objects in the image are made of plastic. \\n\\nq: what objects are in the'], ['a rubber ball with a red handle is in the image.'], ['this is a rubber ball and a rubber handle'], ['rubber ball with red tip \\n'], ['what objects are in the image? \\nq: what objects are in the image? \\n'], ['there is a black ball on the left and a red hose on the right'], ['a ball and a pipe on a white background. \\n\\nq: what objects are in'], ['the objects are a water ball, a water bomb, a water balloon, a fire ball, a'], ['we are not able to list all the objects in the image. if you want to get a list'], ['the image shows a plastic ball shaped object with an elastic tube'], ['in the image you can see a black and red plastic ball with an orange handle'], ['there are 3 objects in the image: \\na: 1 rubber ball, 2 rubber ducks,'], ['the image is of a ball with a red cap'], ['this is a toy ball, which has a stick on the end.'], ['objects in the image are rubber balls, the red and black one is a red ball, and the'], ['an object in a toy. \\nq: what is the toy called? \\na:'], ['the object in the image is a rubber toy, which is made of black plastic and red plastic.'], ['it is an inflatable ball with a handle that you can use to test the strength of your balloon'], ['\\nq: what objects are in the image? \\na: \\nq: what'], ['an elastic ball.'], ['black ball with red handle, rubber handle\\nq: can i use my ball with other products'], ['there are objects in the image: \\n- a water balloon, a ball, a rubber ball'], ['this is a black ball with red handle attached to it. \\nq: can i use this'], ['this is a red and black plastic ball with a hole for a screwdriver'], ['the ball, the tool, and the tool\\nq: how can i get more detail in'], ['the image shows an elastic balloon and a toy with a rubber tube'], ['rubber balloon'], ['\\na: the object is a round, black, ball with a red stem that is shaped']]"
data/images/noun/2008.jpg,2008,curlers formed together,34,25,48,16,"[['the photo shows a knot toy'], ['\\n\\nobjects \\n\\n\\n\\n\\n\\n\\n'], ['1x1 knot'], ['\\n\\n\\n \\n\\n \\n\\n\\n \\n\\n'], ['an animal hair rope, an animal hair coat hanger, and a blue dog toy'], ['a small piece of leather with a white dot'], ['we sell a variety of products, including this.the reason why is because they are making their'], [""this image is a stock photo and not the actual object. \\nthat's just a good""], ['object name:'], ['an image of an object'], ['an image of the knot toy is displayed'], ['a blue and white dog toy that is shaped like a knot'], ['\\na: \\na: \\na: \\na: \\na:'], ['the object is the small blue and white object with a silver knob on the end.\\nq'], ['the product shown is a sample of the product in the product catalog. the actual product you will receive'], ['an item in the image is a part of a larger collection of the same object.'], ['a single blue and grey wooden knot'], ['this image contains the following object:\\nq: what objects are in the image? \\na'], ['1 x tie-up, blue'], ['this image is for illustration purpose only. the product may not resemble the image shown.'], ['object #202424 is a rubber snake and a rubber turtle with blue color and brown skin'], ['the image shows a single blue toy and an item made from blue plastic.'], ['\\nthe object in the image is a knot toy made out of an'], ['q: what objects are in the image? \\na: \\nq: what objects are'], ['a rope shaped item with one end tied to a door knob and the other end tied to a chair'], ['there are two objects in the image.\\n\\n \\n'], ['this is a picture of an object that is used for the object in this image.'], ['a blue, three - dimensional object is shown.\\n \\nq: how large is the'], ['an elastic tie'], ['\\n \\nq: what objects are in the image? \\na: \\n \\'], ['1) blue rubber ball \\n2) blue rubber rope \\n3) blue rubber ring \\'], [''], ['the image shows the small toy rope'], ['the blue dog chew toy. \\n \\n\\nq: what is the object in the'], ['the item is an image. the product is not in stock at this time.\\nq:'], ['this is a photo of a blue and white dog bone toy. \\n\\n\\nq'], ['the image shows the product you selected. click on the image to see the full size of the object'], ['the image shows a blue rubber ball, a blue rope, a blue knot, a blue knot,'], ['the image is of a dog toy, which is blue with white paws'], ['blue t-shaped rubber ball']]"
data/images/noun/2009-600.jpg,2009,dog toy,47,78,65,45,"[['this image shows a yellow animal with spikes and spikes on the side. \\nq: what object'], ['a squishy toy'], [""we are selling the 'spikey' pet ball.\\n\\nq: why are""], ['the object in the image is a plastic toy shaped like a spiky'], ['\\nobjects are the orange ball, green leaf, and orange sea sponges'], ['\\nthis is a picture of a spiky orange dog toy. it is made of polysty'], ['\\nq: how to write an image to use for an answer? \\na: \\'], ['the object is the letter t in a bright orange, fuzzy shape'], ['the image is a toy that looks like a mushroom with spiky spikes'], ['the toy is a small, furry, green, spiky, orange-hued creature. the'], ['we have chosen a couple of objects from the website. you can choose the items you like and we'], ['a spiky, multi-colored, multi-use toy that you can turn into a toy or'], ['this image is of a toy made of the same color as the toy pictured'], ['a stuffed toy with spiky, orange spikes'], ['an orange dog toy that is shaped like a cross with spikes'], ['orange dog toy \\n\\n\\n \\n\\n\\n\\n\\n\\'], ['an orange rubber toy shaped like a jellyfish with spikey spiky spiky spiky spiky'], ['the image contains a t-shaped shaped toy'], ['an object with spikes'], ['a large orange t - bone shaped toy with a spiky spiky surface'], ['the image is of an orange fuzzy toy that has small spikey spikes on it'], ['a toy shaped like a letter'], [''], ['a toy'], ['the image shows a toy kangaroo on a white background'], ['this is an image of a toy that is orange and has spiky spikes on it'], ['q: what objects are in the image? \\na: \\n\\n\\n\\'], ['an image of an object made with a rubber ducky toy'], ['the image shows an orange dog toy with spikes and spikes on it.'], [""an orange spiky dog toyif you're in the market for a nice pair of pants for""], ['orange ball with spikes, a dog toy \\n\\nq: what is the best way to'], ['orange foam shaped dog toy'], ['an orange silicone-filled spiky toy. \\n\\n\\n\\n\\n\\'], [''], ['the image contains the following objects: \\n1'], ['orange ball - large'], ['\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n'], [''], ['\\nq: what objects are in the image? \\na: \\nq: what'], ['the image contains a ball shaped toy and a plush toy']]"
data/images/noun/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,"[['red ball'], ['the product is a small red dog toy that has colorful balls on it'], ['there is a colorful ball with a big white dot'], ['a plastic ball with a red and blue colored ball.'], ['we provide a lot of different objects, such as balls, cups,'], ['red with yellow and blue dots dog toy\\nq: what objects are in the image? \\'], ['a red rubber dog toy with multicolored dot on the bottom'], ['\\n\\nq: what objects are in the image? \\na: \\n\\'], ['a corona virus toy on a white background with multi colored dots'], ['\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n'], ['a plastic toy with a red and yellow striped ball. \\nq: what object is in the'], ['this image shows an item that is placed in a bag. \\nq: what is the name'], ['a red ball and a yellow ball'], ['there is a red dog toy with white polka dots'], ['there are several objects in this image. one object is a red toy with yellow and blue dots on'], ['the image shows two toys. \\nthe image shows the two toys with the blue dot and the'], ['red rubber ball with multi colored dots'], ['an item of a dog toy.'], ['the object is a red ball with multicolored spikes'], ['an object is shown in this image. \\n\\n\\n\\nq: what is'], ['a coronal mass epsilon. the black object is the ball, and the white thing is'], ['red and white teddy bear toy \\nq: how did you get the product? \\n'], ['a red and blue rubber ball'], ['the dog toy is in red, blue, yellow and white, but not in any pattern, the'], ['red dog toy, multicolored spikes'], ['red dog toys \\nq: where do you see the object in the image? \\na'], ['this image is a dog toy\\na: a ball\\na: an ice cream cone'], [''], ['\\nthe item in the image is a toy made from a rubber ball with multiple balls that is'], ['the product is a dog toy made of plastic. the object in the image is a dog toy made'], ['a dog toy, a rubber ball and a stuffed animal toy'], ['\\n\\n\\nred and blue dog ball'], ['the image shows a large red and yellow ball with colorful dots'], ['\\nred ball and a small ball\\nq: why does the dog have the ball?'], ['the red and blue ball with yellow and blue polka dots is an animal shaped toy that looks like'], ['it is a red dog toy'], ['a red and blue cheetah chews with colorful polka dot balls'], ['\\na ball, toy, dog toy, small object'], ['a ball and a cone with colorful dots.'], ['there are toys, balls, and toys for dogs\\r\\nq: what kind of toys']]"
