	vg_image_id	vg_object_id	link_mn	link_vg	vg_obj_name	vg_domain	vg_synset	vg_same_object	vg_adequacy_mean	vg_inadequacy_type	vg_image_name	vg_cat	clusters	topname	responses	incorrect	singletons	adequacy_mean	inadequacy_type	total_responses	perc_top	H	N	domain	split	same_object	vg_bbox_xywh	mn_bbox_xywh
0	3	1060282	http://manynames.upf.edu//3_1060282_desk.png	https://cs.stanford.edu/people/rak248/VG_100K/3.jpg	desk	home	furnishing.n.02	{}	1.0	{'None': 1.0}	3.jpg	instrumentality, instrumentation	[{'33': ['desk']}]	desk	{'desk': 33}	{}	{'phone': 1, 'train': 1, 'keyboard': 1}	{'desk': 1.0}	{'desk': {'None': 1.0}}	33	1.0	0.0	1	home	train	{'desk': {'desk': 1.0}}	[131, 233, 506, 245]	[115, 210, 478, 235]
1	4	1060306	http://manynames.upf.edu//4_1060306_rug.png	https://cs.stanford.edu/people/rak248/VG_100K/4.jpg	carpet	home	furnishing.n.02	{'floor': 0.25, 'rug': 1.0}	1.0	{'None': 1.0}	4.jpg	instrumentality, instrumentation	[{'31': ['rug', 'carpet']}, {'3': ['floor']}]	rug	{'rug': 24, 'carpet': 7, 'floor': 3}	{}	{'mat': 1, 'ground': 1}	{'rug': 1.0, 'carpet': 1.0, 'floor': 0.62}	{'rug': {'None': 1.0}, 'carpet': {'None': 1.0}, 'floor': {'None': 0.2, 'bounding box': 0.8}}	34	0.7058823529411765	1.1331842537834438	3	home	train	{'rug': {'rug': 1.0, 'carpet': 1.0, 'floor': 0.25}, 'carpet': {'rug': 1.0, 'carpet': 1.0, 'floor': 0.25}, 'floor': {'rug': 0.25, 'carpet': 0.25, 'floor': 1.0}}	[2, 349, 622, 130]	[0, 318, 586, 128]
2	8	1060463	http://manynames.upf.edu//8_1060463_desk.png	https://cs.stanford.edu/people/rak248/VG_100K/8.jpg	desk	home	furnishing.n.02	{'table': 1.0}	1.0	{'None': 1.0}	8.jpg	instrumentality, instrumentation	[{'32': ['table', 'desk']}]	desk	{'desk': 27, 'table': 5}	{}	{'keyboard': 1, 't-shirt': 1, 'chair': 1, 'shirts': 1}	{'desk': 1.0, 'table': 0.83}	{'desk': {'None': 1.0}, 'table': {'visual': 0.3, 'None': 0.7}}	32	0.84375	0.625262405223423	2	home	train	{'desk': {'desk': 1.0, 'table': 1.0}, 'table': {'desk': 1.0, 'table': 1.0}}	[14, 388, 553, 212]	[3, 282, 419, 165]
3	10	1060591	http://manynames.upf.edu//10_1060591_desk.png	https://cs.stanford.edu/people/rak248/VG_100K/10.jpg	desk	home	furnishing.n.02	{'table': 1.0}	0.67	{'visual': 0.3, 'None': 0.7}	10.jpg	instrumentality, instrumentation	[{'33': ['table', 'desk']}]	desk	{'desk': 25, 'table': 8}	{}	{'bed': 1, 'keyboard': 1, 'cpu': 1}	{'desk': 0.67, 'table': 0.67}	{'desk': {'None': 0.7, 'visual': 0.3}, 'table': {'None': 0.7, 'visual': 0.3}}	33	0.7575757575757576	0.7990485210442682	2	home	train	{'desk': {'desk': 1.0, 'table': 1.0}, 'table': {'desk': 1.0, 'table': 1.0}}	[0, 383, 471, 216]	[0, 278, 358, 168]
4	11	1060613	http://manynames.upf.edu//11_1060613_chair.png	https://cs.stanford.edu/people/rak248/VG_100K/11.jpg	chair	home	furnishing.n.02	{'officer chair': 1.0}	1.0	{'None': 1.0}	11.jpg	instrumentality, instrumentation	[{'35': ['officer chair', 'chair']}]	chair	{'chair': 33}	{'officer chair': 2}	{'desk chair': 1}	{'officer chair': 0.33, 'chair': 1.0}	{'officer chair': {'visual': 0.3, 'linguistic': 0.7}, 'chair': {'None': 1.0}}	33	1.0	0.0	1	home	train	{'officer chair': {'officer chair': 1.0, 'chair': 1.0}, 'chair': {'officer chair': 1.0, 'chair': 1.0}}	[250, 173, 290, 427]	[179, 122, 223, 325]
5	12	1024216	http://manynames.upf.edu//12_1024216_desk.png	https://cs.stanford.edu/people/rak248/VG_100K/12.jpg	desk	home	furnishing.n.02	{'desktop': 0.67}	1.0	{'None': 1.0}	12.jpg	instrumentality, instrumentation	[{'27': ['desktop', 'desk']}, {'4': ['keyboard']}]	desk	{'desk': 24, 'desktop': 3, 'table': 1}	{'keyboard': 4}	{'mouse': 1, 'laptop': 1, 'computer': 1}	{'keyboard': 0.33, 'desk': 1.0, 'desktop': 0.83, 'table': 'NA'}	{'keyboard': {'bounding box': 1.0}, 'desk': {'None': 1.0}, 'desktop': {'None': 0.7, 'bounding box': 0.3}, 'table': 'NA'}	28	0.8571428571428571	0.7075696535050607	3	home	train	{'keyboard': {'keyboard': 1.0, 'desk': 0.0, 'desktop': 0.0, 'table': 'NA'}, 'desk': {'keyboard': 0.0, 'desk': 1.0, 'desktop': 0.67, 'table': 'NA'}, 'desktop': {'keyboard': 0.0, 'desk': 0.67, 'desktop': 1.0, 'table': 'NA'}, 'table': {'keyboard': 'NA', 'desk': 'NA', 'desktop': 'NA', 'table': 'NA'}}	[0, 323, 799, 198]	[0, 234, 596, 155]
6	13	1060686	http://manynames.upf.edu//13_1060686_desk.png	https://cs.stanford.edu/people/rak248/VG_100K/13.jpg	desk	home	furnishing.n.02	{'table': 1.0}	1.0	{'None': 1.0}	13.jpg	instrumentality, instrumentation	[{'27': ['table', 'desk']}, {'2': ['electronics']}, {'4': ['keyboard']}]	desk	{'desk': 24, 'table': 3}	{'keyboard': 4, 'electronics': 2}	{'computer': 1, 'book': 1, 'laptop': 1}	{'keyboard': 0.33, 'electronics': 0.33, 'desk': 1.0, 'table': 1.0}	{'keyboard': {'bounding box': 1.0}, 'electronics': {'linguistic': 0.3, 'bounding box': 0.7}, 'desk': {'None': 1.0}, 'table': {'None': 1.0}}	27	0.8888888888888888	0.5032583347756456	2	home	train	{'keyboard': {'keyboard': 1.0, 'electronics': 0.33, 'desk': 0.0, 'table': 0.0}, 'electronics': {'keyboard': 0.33, 'electronics': 1.0, 'desk': 0.0, 'table': 0.0}, 'desk': {'keyboard': 0.0, 'electronics': 0.0, 'desk': 1.0, 'table': 1.0}, 'table': {'keyboard': 0.0, 'electronics': 0.0, 'desk': 1.0, 'table': 1.0}}	[0, 185, 590, 413]	[0, 131, 447, 315]
7	14	1060700	http://manynames.upf.edu//14_1060700_desk.png	https://cs.stanford.edu/people/rak248/VG_100K/14.jpg	desk	home	furnishing.n.02	{'table': 1.0}	1.0	{'None': 1.0}	14.jpg	instrumentality, instrumentation	[{'31': ['table', 'desk']}, {'3': ['keyboard']}]	desk	{'desk': 27, 'table': 4}	{'keyboard': 3}	{'desktop': 1, 'laptop': 1}	{'keyboard': 0.5, 'desk': 1.0, 'table': 1.0}	{'keyboard': {'bounding box': 1.0}, 'desk': {'None': 1.0}, 'table': {'None': 1.0}}	31	0.8709677419354839	0.5547781633412736	2	home	train	{'keyboard': {'keyboard': 1.0, 'desk': 0.0, 'table': 0.0}, 'desk': {'keyboard': 0.0, 'desk': 1.0, 'table': 1.0}, 'table': {'keyboard': 0.0, 'desk': 1.0, 'table': 1.0}}	[0, 331, 799, 267]	[0, 240, 596, 206]
8	18	1060889	http://manynames.upf.edu//18_1060889_table.png	https://cs.stanford.edu/people/rak248/VG_100K/18.jpg	desk	home	furnishing.n.02	{'desk': 1.0, 'table': 1.0}	1.0	{'None': 1.0}	18.jpg	instrumentality, instrumentation	[{'36': ['table', 'desk']}]	table	{'table': 19, 'desk': 17}	{}	{}	{'table': 1.0, 'desk': 1.0}	{'table': {'None': 1.0}, 'desk': {'None': 1.0}}	36	0.5277777777777778	0.997772472089982	2	home	train	{'table': {'table': 1.0, 'desk': 1.0}, 'desk': {'table': 1.0, 'desk': 1.0}}	[0, 331, 570, 267]	[0, 240, 432, 206]
9	19	1060961	http://manynames.upf.edu//19_1060961_desk.png	https://cs.stanford.edu/people/rak248/VG_100K/19.jpg	desk	home	furnishing.n.02	{'table': 1.0}	1.0	{'None': 1.0}	19.jpg	instrumentality, instrumentation	[{'28': ['table', 'desk']}, {'2': ['keyboard']}, {'2': ['laptop']}]	desk	{'desk': 21, 'table': 7}	{'keyboard': 2, 'laptop': 2}	{'computer desk': 1, 'monitor': 1}	{'laptop': 0.33, 'keyboard': 0.33, 'desk': 1.0, 'table': 1.0}	{'laptop': {'bounding box': 1.0}, 'keyboard': {'bounding box': 1.0}, 'desk': {'None': 1.0}, 'table': {'None': 1.0}}	28	0.75	0.8112781244591328	2	home	train	{'laptop': {'laptop': 1.0, 'keyboard': 0.33, 'desk': 0.0, 'table': 0.0}, 'keyboard': {'laptop': 0.33, 'keyboard': 1.0, 'desk': 0.0, 'table': 0.0}, 'desk': {'laptop': 0.0, 'keyboard': 0.0, 'desk': 1.0, 'table': 1.0}, 'table': {'laptop': 0.0, 'keyboard': 0.0, 'desk': 1.0, 'table': 1.0}}	[0, 362, 798, 161]	[0, 263, 596, 127]
