image_path,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,llava_output,llava_saliencies,llava_saliency_rate
data/images/noun/2001-600.jpg,2001,bee have trap,19,50,66,14,"['The image features two clear plastic eggs with a yellowish hue, sitting next to each other', 'The image features two yellow plastic containers, which appear to be made of a clear plastic material', 'The image features two clear plastic containers with a yellowish hue, possibly made of glass or', 'The image features two yellow plastic containers, possibly water bottles or storage containers, with a clear', 'The image features two clear plastic containers, each containing a small, round, yellow object. These', 'The image features a pair of bright yellow plastic containers, which appear to be designed for holding small', 'The image features two small, yellow plastic objects that resemble the shape of a head or a', 'The image features two bright yellow plastic containers, likely used for holding food or other items. They', 'The image features two plastic containers, each with a unique design. One container is shaped like', 'The image features two identical, transparent, plastic eggs or containers, each with a small hole in']","[(['Yellow'], ['Plastic']), (['Yellow'], ['Plastic']), (['Yellow'], ['Plastic']), (['Yellow'], ['Plastic']), (['Yellow'], ['Plastic']), (['Yellow'], ['Plastic']), (['Yellow'], ['Plastic']), (['Yellow'], ['Plastic']), ([], ['Plastic']), ([], ['Plastic', 'Transparent'])]","(80, 100)"
data/images/noun/2002-600.jpg,2002,bookend,22,83,59,9,"['The image features a red sculpture of a vase or urn, which appears to be made', 'The image features a red sculpture of a vase, possibly a ceramic or glass v', 'The image features a large, red sculpture of a vase or pitcher, placed on a', 'The image features a red vase with a curved design, standing on a red base. The', 'The image features a red vase, likely a sculpture or a piece of art, sitting on', 'The image features a red sculpture or statue, possibly a vase or a statue of a person', 'The image features a red sculpture, possibly a vase or a statue, with a curved', 'The image features a large red vase or sculpture with a curved design. It is position', 'The image features a red, sculpted vase with a curved shape, sitting on a white', 'The image features a red sculpture of a vase, which appears to be made of glass or']","[(['Red'], []), (['Red'], []), (['Red'], ['Lace']), (['Red', 'Tan'], []), (['Red'], []), (['Red'], []), (['Red'], []), (['Red'], []), (['Red', 'White'], []), (['Red'], [])]","(100, 10)"
data/images/noun/2003-600.jpg,2003,fidget toy,59,74,19,0,"['The image features a wooden toy, which appears to be a stack of colored blocks or a to', 'The image features a colorful wooden toy, made up of various shapes, including a square,', 'The image features a wooden toy made up of several colorful wooden blocks. The blocks are stack', 'The image features a wooden toy made up of several different colored blocks, resembling a color', 'The image features a colorful wooden toy, made up of various shapes and colors, including red', 'The image features a wooden puzzle toy, which is a three-dimensional puzzle made of', 'The image features a wooden puzzle made of various colored blocks. The puzzle is shaped like', 'The image features a wooden toy in the shape of a large letter ""H"" made out of', 'The image features a colorful wooden puzzle in the shape of a letter ""Y"" made of', 'The image features a wooden toy, which appears to be a puzzle or a stack of wooden']","[(['Red'], ['Wooden']), ([], ['Wooden']), ([], ['Wooden']), (['Red'], ['Wooden']), (['Red'], ['Wooden']), ([], ['Wooden']), (['Red'], ['Wooden']), ([], ['Wooden']), ([], ['Wooden']), ([], ['Wooden'])]","(40, 100)"
data/images/noun/2004-600.jpg,2004,pencil sharpener,41,70,48,52,"['The image features a close-up of a yellow and orange plastic ring with a hole in the', 'The image features a close-up view of a yellow and orange toy, possibly a rubber', 'The image features a bright orange toy with a hole in the center, sitting on a white background', 'The image features a bright orange plastic object with a hole in the middle. It is a close', 'The image features a brightly colored, round, and somewhat odd-shaped object. It appears', 'The image features a close-up view of a yellow and orange toy, which appears to be', 'The image features a bright yellow toy, which appears to be a piece of a toy or', 'The image features a brightly colored, yellow and orange plastic ring with a hole in the center', 'The image features a bright orange toy, likely a chew toy or a stuffed animal', 'The image features a bright yellow, plastic, circular object with a hole in the center. It']","[(['Orange', 'Yellow'], ['Plastic']), (['Orange', 'Yellow'], ['Rubber']), (['Orange'], []), (['Orange'], ['Plastic']), (['Red'], []), (['Orange', 'Yellow'], []), (['Yellow'], []), (['Red', 'Orange', 'Yellow'], ['Plastic']), (['Orange'], []), (['Yellow'], ['Plastic'])]","(100, 50)"
data/images/noun/2005-600.jpg,2005,fish tank stone,6,25,81,13,"[""The image features a colorful, abstract sculpture or artwork that resembles a bird'"", 'The image features a pink and yellow plastic piece, which appears to be a bird wing or', 'The image features a close-up of a pink, colorful, and possibly plastic or', 'The image features a colorful and abstract design, resembling a bird or a butterfly', ""The image features a pink, colorful, and somewhat abstract sculpture of a bird's"", 'The image features a close-up of a colorful, rainbow-colored wing, likely', ""The image features a pink plastic toy or model of a bird's wing. The"", 'The image features a pink and white plastic object, possibly a hat or a piece of art', ""The image features a pink and white sculpture of a bird's wing, possibly a but"", 'The image features a pink, rainbow-colored, and glittery angel wing']","[([], []), (['Yellow', 'Pink'], ['Plastic']), (['Pink'], ['Plastic']), ([], []), (['Pink'], []), (['Red'], []), (['Pink'], ['Plastic']), (['Pink', 'White'], ['Plastic']), (['Pink', 'White'], []), (['Red', 'Pink'], [])]","(80, 40)"
data/images/noun/2006-600.jpg,2006,space ship top,34,64,31,3,"['The image features a silver object, possibly a model or a toy, that resembles a', 'The image features a silver metal object with a dome-shaped top, resembling a', 'The image features a silver, metallic object that resembles a spaceship or a flying', 'The image features a silver, metallic, or chrome object that resembles a spaceship', 'The image features a silver object with a circular shape, resembling a silver dome or a', 'The image features a small silver metal object, which appears to be a silver top or a metal piece', 'The image features a small silver object, which appears to be a silver dome or a silver top', 'The image features a silver metal object, which appears to be a small, rounded top with a central', 'The image features a silver object with a circular shape, which could be a small satellite dish or', 'The image features a silver object with a circular shape and a central hole. It appears to be a']","[(['Silver'], []), (['Silver'], []), (['Silver'], ['Metallic']), (['Silver'], ['Metallic']), (['Silver'], []), (['Silver'], []), (['Silver'], []), (['Silver'], []), (['Silver'], []), (['Silver'], [])]","(100, 20)"
data/images/noun/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,"['The image features a black and red object, which appears to be a toy or a piece of', 'The image features a black rubber item, possibly a toy or a piece of sports equipment,', 'The image features a small black object, which appears to be a toy or a novelty item', 'The image features a black plastic object with a red tip, which appears to be a toy', 'The image features a small black plastic item, possibly a toy or a tool, with a', 'The image features a black plastic object, possibly a toy or a piece of sports equipment,', 'The image features a black object with a red tip, which appears to be a toy or a', 'The image features a small black object, possibly a sports ball, with a red top. The object', 'The image features a black object with a red top, which appears to be a black and red pl', 'The image features a black plastic object with a red plastic tip, sitting on a white background']","[(['Red', 'Black'], []), (['Black'], ['Rubber']), (['Black'], []), (['Red', 'Black'], ['Plastic']), (['Black'], ['Plastic']), (['Black'], ['Plastic']), (['Red', 'Black'], []), (['Red', 'Black'], []), (['Red', 'Black'], []), (['Red', 'Black'], ['Plastic'])]","(100, 50)"
data/images/noun/2008.jpg,2008,curlers formed together,34,25,48,16,"['The image features a close-up of a blue item, possibly a piece of art or a sculpt', 'The image features a close-up of a blue object that appears to be a combination of a blue', 'The image features a close-up view of a blue item, which appears to be a piece of', 'The image features a blue object, possibly a piece of art or a sculpture, that is sh', 'The image features a close-up of a blue object that looks like a twisted piece of rub', 'The image features a close-up view of a blue object, possibly a toy or a piece', 'The image features a blue, twisted object with a curled shape, which appears to be a', 'The image features a close-up of a blue, rubbery object that appears to be a', 'The image features a blue object with a curved shape, resembling a blue pipe or a', 'The image features a close-up view of three blue plastic tubes or pipes, arranged']","[(['Blue'], []), (['Blue'], []), (['Blue'], []), (['Blue'], []), (['Blue'], []), (['Blue'], []), (['Blue'], []), (['Blue'], ['Rubber']), (['Blue'], []), (['Blue'], ['Plastic'])]","(100, 20)"
data/images/noun/2009-600.jpg,2009,dog toy,47,78,65,45,"['The image features a close-up view of a bright orange, spiky object that resemb', 'The image features a close-up of a large, bright orange spiky ball, possibly a', 'The image features a close-up view of an orange, spiky object that resembles', 'The image features an orange, spiky, and somewhat unusual-looking object. It is placed', 'The image features a close-up view of an orange, spiky, and fuzzy', 'The image features a close-up of a bright orange, spiky, and oddly sh', 'The image features an orange, spiky, and oddly shaped object, which appears to', 'The image features an orange, spiky, and fuzzy object that resembles a', 'The image features a close-up of a bright orange, spiky, and somewhat unusual-', 'The image features an orange, fuzzy, and spiky object that resembles a']","[(['Orange'], []), (['Orange'], []), (['Orange'], []), (['Orange'], ['Lace']), (['Orange'], ['Fuzzy']), (['Orange'], []), (['Orange'], []), (['Orange'], ['Fuzzy']), (['Orange'], []), (['Orange'], ['Fuzzy'])]","(100, 40)"
data/images/noun/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,"['The image features a close-up view of two red and blue balls, likely made of rubber', 'The image features two red and yellow rubber balls with blue dots, sitting on a white background', 'The image features a close-up view of two red and yellow balls, likely rubber balls,', 'The image features a pair of red and yellow balls, each with a blue dot on top. The', 'The image features two red and yellow plastic balls with a total of 14 dots on', 'The image features a close-up of two red and blue plastic balls with yellow dots on', 'The image features a close-up of two red and blue balls sitting next to each other on a', 'The image features a close-up of two red and yellow balls with blue spots, which appear', 'The image features a close-up view of a red and yellow ball with blue spots. The', 'The image features two red and yellow balls sitting on a white background. The balls are made of a']","[(['Red', 'Blue'], ['Rubber']), (['Red', 'Yellow', 'Blue'], ['Rubber']), (['Red', 'Yellow'], ['Rubber']), (['Red', 'Yellow', 'Blue'], []), (['Red', 'Yellow'], ['Plastic']), (['Red', 'Yellow', 'Blue'], ['Plastic']), (['Red', 'Blue'], []), (['Red', 'Yellow', 'Blue'], []), (['Red', 'Yellow', 'Blue'], []), (['Red', 'Yellow'], [])]","(100, 50)"
