image,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,llava_output
data/images/noun/2001-600.jpg,2001,bee have trap,19,50,66,14,"[['The objects in the image are two plastic toy molds or containers, each with a hole'], ['The objects in the image are two yellow plastic containers.'], ['The objects in the image are two plastic containers.'], ['The objects in the image are two plastic containers, or molds, that are designed to make'], ['A pair of plastic eggs.'], ['A pair of plastic containers.'], ['Two yellow plastic containers.'], ['Two yellow plastic eggs.'], ['A pair of yellow plastic eggs.'], ['The objects in the image are two yellow plastic containers.'], ['Two yellow plastic toys.'], ['The objects in the image are two yellow plastic eggs.'], ['The objects in the image are two plastic containers or containers with a yellow plastic lid.'], ['A pair of yellow plastic eggs.'], ['The objects in the image are two yellow plastic containers.'], ['A pair of yellow plastic eggs.'], ['The objects in the image are two plastic containers, specifically two clear plastic bins.'], ['The objects in the image are two yellow plastic containers or containers with holes in them.'], ['A pair of plastic containers or cups.'], ['The objects in the image are two plastic containers.'], ['Two yellow plastic toys.'], ['The objects in the image are two yellow plastic containers.'], ['The objects in the image are two plastic containers.'], ['The objects in the image are two yellow plastic toys, which appear to be a pair of'], ['Two yellow plastic eggs.'], ['The objects in the image are two plastic toy balls.'], ['Two yellow plastic eggs.'], ['The objects in the image are two yellow plastic containers.'], ['The objects in the image are two yellow plastic containers.'], ['A pair of yellow plastic eggs.'], ['The objects in the image are two plastic containers or molds, one yellow and one orange.'], ['The objects in the image are two yellow plastic containers.'], ['The objects in the image are two plastic toy animals, specifically two yellow rubber ducks'], ['A pair of yellow plastic balls.'], ['The objects in the image are two clear plastic containers.'], ['The objects in the image are two plastic containers or containers with holes in them.'], ['The objects in the image are two plastic toy balls.'], ['The objects in the image are two yellow plastic containers.'], ['The objects in the image are two yellow plastic containers or toys.'], ['The objects in the image are two yellow plastic containers.']]"
data/images/noun/2002-600.jpg,2002,bookend,22,83,59,9,"[['The objects in the image are a red vase and a red sculpture.'], ['Vase'], ['The objects in the image are a red vase and a red statue.'], ['A red vase.'], ['The objects in the image are a red vase and a red sculpture.'], ['Vase.'], ['A red vase.'], ['The objects in the image are a red vase and a red sculpture.'], ['Vase'], ['A red vase.'], ['Vase'], ['The objects in the image are a red vase and a red sculpture.'], ['Vase.'], ['A red vase.'], ['Vase'], ['A red vase.'], ['Vase.'], ['The objects in the image are a red vase and a red sculpture.'], ['The objects in the image are a red vase and a red sculpture.'], ['A red vase.'], ['The objects in the image are a red vase and a red statue.'], ['A red vase and a red sculpture.'], ['A red vase.'], ['Vase'], ['The objects in the image are a red vase and a red sculpture.'], ['The objects in the image are a red vase and a red statue.'], ['The objects in the image are a red vase and a red sculpture.'], ['A red vase.'], ['A red vase and a red statue.'], ['Vase'], ['Vase'], ['The objects in the image are a red vase and a red sculpture.'], ['The objects in the image are a red vase and a red sculpture.'], ['A red vase.'], ['The objects in the image are a red vase and a red sculpture.'], ['The objects in the image are a red vase and a red sculpture.'], ['A red vase.'], ['A red vase.'], ['Vase.'], ['Vase.']]"
data/images/noun/2003-600.jpg,2003,fidget toy,59,74,19,0,"[['The objects in the image are a set of colored wooden blocks, specifically red, blue, yellow,'], ['The objects in the image are a red, blue, green, and yellow block, which are stack'], ['The objects in the image are a set of building blocks, specifically a set of Lego blocks.'], ['The objects in the image are a set of building blocks.'], ['The objects in the image are a red, blue, yellow, green, and purple block.'], ['The objects in the image are a stack of wooden blocks, each with a different color.'], ['The objects in the image are a red, blue, yellow, and green block, each with a'], ['A stack of wooden blocks.'], ['The objects in the image are a stack of wooden blocks.'], ['The objects in the image are wooden blocks, specifically, red, blue, green, and yellow blocks'], ['The objects in the image are a set of wooden blocks, specifically a stack of four colored blocks.'], ['The objects in the image are wooden blocks.'], ['The objects in the image are wooden blocks.'], ['The objects in the image are wooden blocks.'], ['The objects in the image are wooden blocks, specifically alphabet blocks.'], ['The objects in the image are a stack of wooden blocks, specifically, a red, blue, and'], ['The objects in the image are wooden blocks.'], ['The objects in the image are a wooden block with letters on it.'], ['The objects in the image are wooden blocks.'], ['The objects in the image are wooden blocks.'], ['The objects in the image are a stack of wooden blocks, each with different colors.'], ['The objects in the image are a set of building blocks.'], ['The objects in the image are a set of wooden blocks.'], ['The objects in the image are a set of colored wooden blocks.'], ['The objects in the image are a red, blue, green, yellow, and orange block.'], ['The objects in the image are wooden blocks.'], ['The objects in the image are wooden blocks.'], ['The objects in the image are wooden blocks.'], ['The objects in the image are a stack of colored wooden blocks.'], ['The objects in the image are a stack of wooden blocks, each with different colors and shapes.'], ['The objects in the image are a red, blue, green, and yellow brick.'], ['The objects in the image are a red, blue, and yellow block.'], ['The objects in the image are wooden blocks.'], ['The objects in the image are wooden blocks.'], ['The objects in the image are a wooden block and a toy train.'], ['The objects in the image are wooden blocks, specifically, a stack of wooden blocks that are red,'], ['A stack of wooden blocks.'], ['The objects in the image are wooden blocks.'], ['The objects in the image are a set of building blocks.'], ['A stack of wooden blocks.']]"
data/images/noun/2004-600.jpg,2004,pencil sharpener,41,70,48,52,"[['The objects in the image are a toy and a hole.'], ['A yellow and orange ball.'], ['A yellow toy, possibly a toy ring or a toy doughnut, is the'], ['The objects in the image are a yellow plastic ring and a yellow plastic circle.'], ['The objects in the image are a yellow plastic ring and a yellow plastic ball.'], ['A yellow plastic ring with a hole in the middle.'], ['A yellow and orange plastic toy.'], ['A yellow and orange plastic ring.'], ['The objects in the image are a yellow and orange rubber ring and a yellow and orange rubber'], ['A yellow and orange toy.'], ['A yellow and orange toy.'], ['A yellow and orange ring.'], ['The objects in the image are a yellow toy and a yellow ring.'], ['A yellow plastic ring with a hole in it.'], ['A yellow plastic ring with a hole in the center.'], ['A yellow toy with a hole in the middle.'], ['A yellow plastic toy with a hole in the center.'], ['The objects in the image are a yellow and orange rubber ring and a yellow and orange rubber'], ['The objects in the image are a yellow toy and a hole.'], ['A yellow and orange toy, possibly a toy banana, is shown in the image.'], ['The objects in the image are a yellow and orange plastic toy and a yellow and orange pl'], ['The objects in the image are a yellow and orange toy, which is a toy ring,'], ['A yellow and orange plastic ring with a hole in the middle.'], ['A yellow ring with a hole in the middle.'], ['A yellow toy ring.'], ['A yellow plastic toy.'], ['The objects in the image are a toy and a ring.'], ['The objects in the image are a yellow and orange plastic toy and a small hole.'], ['A yellow and orange ring.'], ['A yellow plastic ring.'], ['The objects in the image are a yellow plastic ring and a yellow plastic ball.'], ['A yellow toy, a circle, and a hole.'], ['A toy, a yellow plastic ring with a hole in the center.'], ['A yellow and orange ring.'], ['The objects in the image are a yellow and orange plastic ring and a yellow plastic ring with'], ['A yellow and orange plastic toy.'], ['A yellow ring with a hole in the middle.'], ['A yellow toy and a white background.'], ['The objects in the image are a yellow and orange rubber ring.'], ['A yellow and orange ring.']]"
data/images/noun/2005-600.jpg,2005,fish tank stone,6,25,81,13,"[['The objects in the image are a pink and yellow plastic wing, a pink and yellow'], ['The objects in the image are a pink and yellow sculpture or art piece, possibly a piece'], ['The objects in the image are a pink and blue bird statue and a pink bird statue.'], ['The objects in the image are a pink and blue colored wing-shaped hat and a p'], ['The objects in the image are a pink and yellow colored plastic wing, a pink pl'], ['The objects in the image are a pink and blue colored sculpture of a bird wing and a'], ['The objects in the image are a pink, colorful, and possibly neon-colored'], ['The objects in the image are a pink and yellow winged hat and a pink and yellow'], ['The objects in the image are a pink and yellow colored bird wing, or a bird wing sculpt'], ['The objects in the image are a pink, colorful, and shiny plastic wing and'], ['The objects in the image are a pink wing and a pink hat.'], ['The objects in the image are a pink and purple plastic wing, a pink and'], ['The objects in the image are a pink and yellow colored wing-shaped sculpture or decor'], ['The objects in the image are a pink wing, a pink hat, and a pink'], ['The objects in the image are a pink and white sculpture, possibly a piece of art or'], ['The objects in the image are a pink wing and a pink hat.'], ['The objects in the image are a pink, rainbow-colored, plastic angel'], ['The objects in the image are a pink and yellow winged hat and a pink and yellow'], ['A pink winged hat.'], ['The objects in the image are a pink and white wing-shaped sculpture, or possibly'], ['The objects in the image are a pink, rainbow-colored wing and a pink'], ['The objects in the image are a pink wing and a pink hat.'], ['The objects in the image are a pink wing, a pink crown, and a pink'], ['A pink winged object, possibly a toy or a sculpture, with a white background'], ['The objects in the image are a pink and yellow plastic toy wing and a pink'], ['A pink, purple, and yellow angel wing.'], ['A pink winged hat.'], ['The objects in the image are a pink and blue wing, a pink and blue hat,'], ['The objects in the image are a pink winged hat and a pink winged helmet'], ['The objects in the image are a pink and yellow plastic toy wings.'], ['The objects in the image are a pink, rainbow-colored sculpture of an ang'], ['The objects in the image are a pink plastic angel wing and a pink plastic'], ['A pink and blue winged hat.'], ['A pink, rainbow-colored plastic wing.'], ['A pink and yellow plastic wing.'], ['The objects in the image are a pink wing and a pink hat.'], ['A pink winged hat.'], ['The objects in the image are a pink, colorful, abstract sculpture, and a p'], ['The objects in the image are a pink and blue colored, colorful, abstract, and art'], ['The objects in the image are a pink and purple wing-shaped sculpture.']]"
data/images/noun/2006-600.jpg,2006,space ship top,34,64,31,3,"[['A silver spaceship or spacecraft.'], ['A silver object that looks like a spaceship.'], ['A silver metal object with a hole in the center.'], ['The objects in the image are a silver metal top and a silver metal base.'], ['A silver spaceship model.'], ['The objects in the image are a silver metal spacecraft and a silver metal top.'], ['The objects in the image are a silver dome and a silver top.'], ['The objects in the image are a silver dome and a silver metal post.'], ['A silver metal object with a dome shape.'], ['The objects in the image are a silver spaceship and a silver dome.'], ['The objects in the image are a silver spaceship or a silver spaceship model.'], ['The objects in the image are a silver space ship, or a model of a space ship, and'], ['The objects in the image are a silver space ship and a silver dome.'], ['The objects in the image are a silver spacecraft and a silver top.'], ['The objects in the image are a silver dome and a silver top.'], ['A silver dome and a silver cone.'], ['A silver object with a blue top.'], ['The objects in the image are a silver dome and a silver dome with a red dot.'], ['The objects in the image are a silver or grey space ship or UFO-like object, with'], ['A silver spaceship or spaceship-like object.'], ['A silver metal object.'], ['The objects in the image are a silver spaceship and a silver top.'], ['A silver spaceship, a silver dome, and a silver object that resembles a satellite'], ['A silver spaceship, a silver spaceship model, and a silver spaceship toy.'], ['The objects in the image are a silver dome and a silver cone.'], ['A silver spaceship, or UFO, is the main object in the image.'], ['The objects in the image are a silver top and a silver base.'], ['The objects in the image are a silver top, a silver dome, and a silver cone.'], ['A silver spaceship-like object with a dome-shaped top.'], ['A silver space ship, also known as a UFO, is the main object in the image.'], ['The objects in the image are a silver spaceship and a silver dome.'], ['A silver, circular object with a red dot on it.'], ['A silver dome-shaped object with a blue top.'], ['The objects in the image are a silver space ship and a silver dome.'], ['A silver dome-shaped object.'], ['The objects in the image are a silver or gray top, which could be a cap or a d'], ['The objects in the image are a silver, round, metallic object and a silver, round'], ['A silver spacecraft or UFO.'], ['A silver spaceship with a dome-shaped top.'], ['A silver spaceship model and a silver dome.']]"
data/images/noun/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,"[['A black and red object.'], ['The objects in the image are a red plastic handle and a black plastic top.'], ['A black and red object, possibly a toy or a piece of sports equipment, is shown in'], ['A black object with a red tip and a red object with a black tip.'], ['The objects in the image are a black plastic object with a red handle and a red plastic'], ['A black object and a red object.'], ['A red and black object, which is a plastic ball, and a red object, which is'], ['A red object and a black object.'], ['A black object and a red object.'], ['A red and black object, which is a toy or a tool, is sitting on a white'], ['A black object with a red tip and a black object with a red tip.'], ['The objects in the image are a red handle and a black object.'], ['A black object with a red tip.'], ['A black object with a red handle.'], ['A black object and a red object.'], ['The objects in the image are a red plastic toy and a black rubber ball.'], ['A red and black object, which appears to be a plastic toy or a decoration,'], ['A black object and a red object.'], ['A black ball with a red handle.'], ['A red plastic handle and a black plastic object.'], ['A black object and a red object.'], ['A black object with a red handle and a black object with a red handle.'], ['A black and red object, possibly a toy or a tool.'], ['A red and black object, which is a plastic or rubber item, and a white background'], ['A red and black object, which appears to be a ball, and a red object with a black'], ['A black object with a red handle.'], ['A red and black object, possibly a toy, and a white background.'], ['A black and red object.'], ['A black object with a red tip.'], ['A black object with a red handle.'], ['A black and red object.'], ['A black object with a red tip and a red object with a black tip.'], ['The objects in the image are a red handle and a black ball.'], ['The objects in the image are a red plastic item and a black plastic item.'], ['A black and red object.'], ['A black object and a red object.'], ['A black and red object.'], ['The objects in the image are a black plastic item with a red tip and a red plastic'], ['A black object and a red object.'], ['A red and black object, which appears to be a plastic tube or a black and red']]"
data/images/noun/2008.jpg,2008,curlers formed together,34,25,48,16,"[['A blue tube, a blue tube, and a blue tube.'], ['The objects in the image are blue tubes or cylinders.'], ['The objects in the image are blue tubes or pipes.'], ['The objects in the image are blue tubing or pipes.'], ['A blue object and a white object.'], ['The objects in the image are blue cylinders.'], ['The objects in the image are blue tubing, also known as blue pipe, and blue tubes'], ['The objects in the image are blue tubes or pipes.'], ['The objects in the image are blue cylinders.'], ['The objects in the image are blue tubes or cylinders.'], ['The objects in the image are blue tubing or pipes.'], ['The objects in the image are blue plastic tubing or pipes.'], ['The objects in the image are blue tubes or pipes.'], ['The objects in the image are blue plastic tubes or pipes.'], ['The objects in the image are blue plastic tubing or pipes.'], ['The objects in the image are blue ropes.'], ['The objects in the image are blue tubing or pipes.'], ['The objects in the image are blue tubes or cylinders.'], ['The objects in the image are blue plastic tubing.'], ['The objects in the image are blue plastic tubes.'], ['The objects in the image are blue plastic tubing or pipes.'], ['The objects in the image are blue tubes or pipes.'], ['The objects in the image are blue plastic tubing or pipes.'], ['A blue tube and a blue cylinder.'], ['A blue tube and a blue handle.'], ['The objects in the image are blue tubing, also known as PVC piping, and a'], ['A blue tube, a blue rod, and a blue cylinder.'], ['The objects in the image are blue cylinders or tubes.'], ['The objects in the image are blue tubes or pipes.'], ['The objects in the image are blue plastic tubing or pipes.'], ['The objects in the image are blue tubes.'], ['The objects in the image are blue tubes or pipes.'], ['The objects in the image are blue plastic tubes.'], ['The objects in the image are blue cylinders.'], ['The objects in the image are blue tubes or cylinders.'], ['The objects in the image are blue cylinders or tubes.'], ['The objects in the image are blue ropes or tubes.'], ['The objects in the image are blue tubes or pipes.'], ['A blue tube and two blue ropes.'], ['A blue tube, a blue wire, and a blue pipe.']]"
data/images/noun/2009-600.jpg,2009,dog toy,47,78,65,45,"[['The objects in the image are a pair of orange spiky balls.'], ['The objects in the image are two orange, spiky, and furry balls.'], ['The objects in the image are a pair of orange, spiky balls.'], ['The objects in the image are two orange, spiky balls.'], ['The objects in the image are a pair of orange spiky things, possibly toys or sculpt'], ['The objects in the image are a pair of orange and yellow cactus-like toys or'], ['The objects in the image are a pair of orange, spiky balls.'], ['The objects in the image are two orange, spiky, and round objects.'], ['The objects in the image are a pair of orange spiky balls.'], ['The objects in the image are two orange, spiky, and hairy things.'], ['The objects in the image are a pair of orange, spiky, and odd-shaped'], ['The objects in the image are a pair of orange and yellow spiky things.'], ['The objects in the image are two orange, spiky, and pointy objects.'], ['The objects in the image are a pair of orange, spiky, and fuzzy balls'], ['The objects in the image are a pair of orange, spiky, furry things.'], ['The objects in the image are a pair of orange, spiky, and round things.'], ['The objects in the image are two orange and yellow spiky things, which appear to be orange'], ['The objects in the image are a pair of orange spiky things.'], ['The objects in the image are a pair of orange spiky balls, also known as cact'], ['The objects in the image are two orange and yellow cactus-like balls.'], ['The objects in the image are two orange and brown spiky balls.'], ['The objects in the image are a pair of orange spiky things, which are possibly toys'], ['The objects in the image are a pair of orange cactus-like plants or fruits.'], ['The objects in the image are a pair of orange spiky things, possibly resembling a'], ['The objects in the image are a pair of orange, spiky balls.'], ['A pair of orange and yellow cactus-like objects.'], ['The objects in the image are two orange spiky balls.'], ['The objects in the image are a pair of orange, spiky, warty-looking'], ['The objects in the image are two orange balls.'], ['A large orange ball and a small orange ball.'], ['The objects in the image are two orange, spiky, and round-shaped things.'], ['The objects in the image are two orange spiky balls.'], ['A red, orange, and yellow object.'], ['The objects in the image are a pair of orange spiky balls.'], ['The objects in the image are a pair of orange cactus-like things.'], ['The objects in the image are two orange, spiky balls.'], ['The objects in the image are a pair of orange and yellow balls.'], ['A cactus and a flower.'], ['The objects in the image are two orange spiky balls, which are likely toys or decor'], ['The objects in the image are a pair of orange, spiky, and hairy things.']]"
data/images/noun/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,"[['A red and yellow ball.'], ['The objects in the image are two red and yellow balls.'], ['The objects in the image are two red and yellow balls.'], ['The objects in the image are two red and yellow balls.'], ['The objects in the image are two red and yellow balls.'], ['The objects in the image are two red and yellow balls.'], ['The objects in the image are two red and yellow balls with blue spots.'], ['The objects in the image are two red and blue balls.'], ['The objects in the image are two red and blue balls.'], ['The objects in the image are two red and yellow balls with blue spots.'], ['A red and yellow ball with a blue dot.'], ['The objects in the image are two red and yellow balls.'], ['A red and blue ball with yellow dots.'], ['The objects in the image are two red and yellow balls with blue dots on them.'], ['The objects in the image are two red and yellow balls.'], ['The objects in the image are two red and yellow balls.'], ['The objects in the image are two red and yellow balls.'], ['The objects in the image are two red and blue balls.'], ['The objects in the image are two red and yellow balls.'], ['A red and blue ball with yellow dots.'], ['The objects in the image are two red and yellow balls.'], ['The objects in the image are two red and yellow balls.'], ['The objects in the image are two red and yellow balls with blue spots.'], ['The objects in the image are two red and blue balls with yellow spots.'], ['The objects in the image are two red and yellow balls.'], ['The objects in the image are two red and blue balls with yellow polka dots.'], ['The objects in the image are two red and yellow balls.'], ['A red and blue ball.'], ['The objects in the image are two red and yellow balls with blue spots.'], ['The objects in the image are two red and yellow balls.'], ['The objects in the image are two red and blue balls.'], ['A red and yellow ball.'], ['The objects in the image are two red and yellow balls.'], ['A red and blue ball with a yellow center.'], ['The objects in the image are two red and yellow balls with blue spots.'], ['The objects in the image are two red and blue balls.'], ['The objects in the image are two red and yellow balls.'], ['A red and blue ball with yellow dots.'], ['A red and blue ball with a yellow center.'], ['The objects in the image are two red and yellow balls.']]"
