index,image_file,llava_output,shuffled_options,prompted_questions
2,data/images/quantifier/test_2.png,"[['B'], ['E'], ['E'], ['H'], ['A']]","[{'a': 'almost none', 'b': 'almost all', 'c': 'some', 'd': 'all', 'e': 'the smaller part', 'f': 'most', 'g': 'few', 'h': 'none', 'i': 'many'}, {'a': 'the smaller part', 'b': 'few', 'c': 'some', 'd': 'all', 'e': 'none', 'f': 'almost none', 'g': 'many', 'h': 'most', 'i': 'almost all'}, {'a': 'few', 'b': 'all', 'c': 'many', 'd': 'the smaller part', 'e': 'none', 'f': 'almost all', 'g': 'most', 'h': 'almost none', 'i': 'some'}, {'a': 'few', 'b': 'the smaller part', 'c': 'many', 'd': 'almost all', 'e': 'all', 'f': 'most', 'g': 'almost none', 'h': 'none', 'i': 'some'}, {'a': 'none', 'b': 'the smaller part', 'c': 'most', 'd': 'almost none', 'e': 'many', 'f': 'some', 'g': 'few', 'h': 'almost all', 'i': 'all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: almost all\nC: some\nD: all\nE: the smaller part\nF: most\nG: few\nH: none\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: few\nC: some\nD: all\nE: none\nF: almost none\nG: many\nH: most\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: all\nC: many\nD: the smaller part\nE: none\nF: almost all\nG: most\nH: almost none\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: the smaller part\nC: many\nD: almost all\nE: all\nF: most\nG: almost none\nH: none\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: the smaller part\nC: most\nD: almost none\nE: many\nF: some\nG: few\nH: almost all\nI: all\nAnswer:']"
5,data/images/quantifier/test_5.png,"[['E'], ['I'], ['C'], ['E'], ['C: none']]","[{'a': 'almost all', 'b': 'most', 'c': 'the smaller part', 'd': 'many', 'e': 'few', 'f': 'none', 'g': 'all', 'h': 'some', 'i': 'almost none'}, {'a': 'almost none', 'b': 'most', 'c': 'almost all', 'd': 'some', 'e': 'none', 'f': 'many', 'g': 'the smaller part', 'h': 'all', 'i': 'few'}, {'a': 'all', 'b': 'the smaller part', 'c': 'none', 'd': 'few', 'e': 'many', 'f': 'some', 'g': 'almost all', 'h': 'almost none', 'i': 'most'}, {'a': 'the smaller part', 'b': 'almost all', 'c': 'most', 'd': 'many', 'e': 'none', 'f': 'all', 'g': 'few', 'h': 'almost none', 'i': 'some'}, {'a': 'all', 'b': 'almost none', 'c': 'none', 'd': 'most', 'e': 'few', 'f': 'almost all', 'g': 'the smaller part', 'h': 'some', 'i': 'many'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: most\nC: the smaller part\nD: many\nE: few\nF: none\nG: all\nH: some\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: most\nC: almost all\nD: some\nE: none\nF: many\nG: the smaller part\nH: all\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: the smaller part\nC: none\nD: few\nE: many\nF: some\nG: almost all\nH: almost none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: almost all\nC: most\nD: many\nE: none\nF: all\nG: few\nH: almost none\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: almost none\nC: none\nD: most\nE: few\nF: almost all\nG: the smaller part\nH: some\nI: many\nAnswer:']"
13,data/images/quantifier/test_13.png,"[['D'], ['B'], ['A'], ['I'], ['C']]","[{'a': 'the smaller part', 'b': 'all', 'c': 'almost all', 'd': 'almost none', 'e': 'few', 'f': 'most', 'g': 'many', 'h': 'some', 'i': 'none'}, {'a': 'almost all', 'b': 'almost none', 'c': 'none', 'd': 'many', 'e': 'the smaller part', 'f': 'all', 'g': 'some', 'h': 'most', 'i': 'few'}, {'a': 'none', 'b': 'the smaller part', 'c': 'few', 'd': 'most', 'e': 'some', 'f': 'all', 'g': 'almost none', 'h': 'almost all', 'i': 'many'}, {'a': 'all', 'b': 'the smaller part', 'c': 'some', 'd': 'most', 'e': 'almost all', 'f': 'none', 'g': 'few', 'h': 'many', 'i': 'almost none'}, {'a': 'few', 'b': 'many', 'c': 'none', 'd': 'all', 'e': 'almost none', 'f': 'almost all', 'g': 'some', 'h': 'the smaller part', 'i': 'most'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: all\nC: almost all\nD: almost none\nE: few\nF: most\nG: many\nH: some\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: almost none\nC: none\nD: many\nE: the smaller part\nF: all\nG: some\nH: most\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: the smaller part\nC: few\nD: most\nE: some\nF: all\nG: almost none\nH: almost all\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: the smaller part\nC: some\nD: most\nE: almost all\nF: none\nG: few\nH: many\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: many\nC: none\nD: all\nE: almost none\nF: almost all\nG: some\nH: the smaller part\nI: most\nAnswer:']"
16,data/images/quantifier/test_16.png,"[['B'], ['D'], ['E'], ['C'], ['A']]","[{'a': 'some', 'b': 'almost none', 'c': 'almost all', 'd': 'most', 'e': 'the smaller part', 'f': 'none', 'g': 'few', 'h': 'many', 'i': 'all'}, {'a': 'all', 'b': 'none', 'c': 'most', 'd': 'almost none', 'e': 'the smaller part', 'f': 'few', 'g': 'almost all', 'h': 'many', 'i': 'some'}, {'a': 'almost all', 'b': 'most', 'c': 'some', 'd': 'all', 'e': 'none', 'f': 'many', 'g': 'almost none', 'h': 'the smaller part', 'i': 'few'}, {'a': 'some', 'b': 'almost all', 'c': 'none', 'd': 'almost none', 'e': 'all', 'f': 'few', 'g': 'most', 'h': 'the smaller part', 'i': 'many'}, {'a': 'many', 'b': 'almost none', 'c': 'some', 'd': 'almost all', 'e': 'all', 'f': 'few', 'g': 'the smaller part', 'h': 'most', 'i': 'none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: almost none\nC: almost all\nD: most\nE: the smaller part\nF: none\nG: few\nH: many\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: none\nC: most\nD: almost none\nE: the smaller part\nF: few\nG: almost all\nH: many\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: most\nC: some\nD: all\nE: none\nF: many\nG: almost none\nH: the smaller part\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: almost all\nC: none\nD: almost none\nE: all\nF: few\nG: most\nH: the smaller part\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: almost none\nC: some\nD: almost all\nE: all\nF: few\nG: the smaller part\nH: most\nI: none\nAnswer:']"
20,data/images/quantifier/test_20.png,"[['B'], ['A: none'], ['I: none'], ['A: none'], ['B']]","[{'a': 'most', 'b': 'none', 'c': 'all', 'd': 'the smaller part', 'e': 'almost all', 'f': 'almost none', 'g': 'some', 'h': 'many', 'i': 'few'}, {'a': 'none', 'b': 'almost none', 'c': 'many', 'd': 'most', 'e': 'the smaller part', 'f': 'all', 'g': 'some', 'h': 'almost all', 'i': 'few'}, {'a': 'most', 'b': 'many', 'c': 'almost none', 'd': 'the smaller part', 'e': 'almost all', 'f': 'few', 'g': 'some', 'h': 'all', 'i': 'none'}, {'a': 'none', 'b': 'few', 'c': 'some', 'd': 'most', 'e': 'all', 'f': 'almost all', 'g': 'the smaller part', 'h': 'many', 'i': 'almost none'}, {'a': 'all', 'b': 'almost none', 'c': 'many', 'd': 'most', 'e': 'some', 'f': 'almost all', 'g': 'none', 'h': 'few', 'i': 'the smaller part'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: none\nC: all\nD: the smaller part\nE: almost all\nF: almost none\nG: some\nH: many\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: almost none\nC: many\nD: most\nE: the smaller part\nF: all\nG: some\nH: almost all\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: many\nC: almost none\nD: the smaller part\nE: almost all\nF: few\nG: some\nH: all\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: few\nC: some\nD: most\nE: all\nF: almost all\nG: the smaller part\nH: many\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: almost none\nC: many\nD: most\nE: some\nF: almost all\nG: none\nH: few\nI: the smaller part\nAnswer:']"
24,data/images/quantifier/test_24.png,"[['D'], ['B'], ['B'], ['I'], ['F']]","[{'a': 'some', 'b': 'all', 'c': 'almost none', 'd': 'the smaller part', 'e': 'many', 'f': 'most', 'g': 'none', 'h': 'few', 'i': 'almost all'}, {'a': 'the smaller part', 'b': 'few', 'c': 'almost all', 'd': 'many', 'e': 'all', 'f': 'almost none', 'g': 'some', 'h': 'none', 'i': 'most'}, {'a': 'the smaller part', 'b': 'none', 'c': 'almost all', 'd': 'few', 'e': 'some', 'f': 'many', 'g': 'all', 'h': 'almost none', 'i': 'most'}, {'a': 'almost all', 'b': 'some', 'c': 'the smaller part', 'd': 'many', 'e': 'none', 'f': 'most', 'g': 'all', 'h': 'few', 'i': 'almost none'}, {'a': 'the smaller part', 'b': 'many', 'c': 'all', 'd': 'almost all', 'e': 'almost none', 'f': 'none', 'g': 'few', 'h': 'some', 'i': 'most'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: all\nC: almost none\nD: the smaller part\nE: many\nF: most\nG: none\nH: few\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: few\nC: almost all\nD: many\nE: all\nF: almost none\nG: some\nH: none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: none\nC: almost all\nD: few\nE: some\nF: many\nG: all\nH: almost none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: some\nC: the smaller part\nD: many\nE: none\nF: most\nG: all\nH: few\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: many\nC: all\nD: almost all\nE: almost none\nF: none\nG: few\nH: some\nI: most\nAnswer:']"
25,data/images/quantifier/test_25.png,"[['B: almost none'], ['D'], ['G'], ['D'], ['C']]","[{'a': 'few', 'b': 'almost none', 'c': 'all', 'd': 'many', 'e': 'the smaller part', 'f': 'some', 'g': 'almost all', 'h': 'none', 'i': 'most'}, {'a': 'the smaller part', 'b': 'all', 'c': 'almost all', 'd': 'almost none', 'e': 'none', 'f': 'many', 'g': 'some', 'h': 'most', 'i': 'few'}, {'a': 'the smaller part', 'b': 'most', 'c': 'almost none', 'd': 'some', 'e': 'almost all', 'f': 'many', 'g': 'few', 'h': 'none', 'i': 'all'}, {'a': 'almost none', 'b': 'almost all', 'c': 'all', 'd': 'few', 'e': 'most', 'f': 'the smaller part', 'g': 'none', 'h': 'many', 'i': 'some'}, {'a': 'almost none', 'b': 'many', 'c': 'none', 'd': 'few', 'e': 'almost all', 'f': 'the smaller part', 'g': 'most', 'h': 'some', 'i': 'all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost none\nC: all\nD: many\nE: the smaller part\nF: some\nG: almost all\nH: none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: all\nC: almost all\nD: almost none\nE: none\nF: many\nG: some\nH: most\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: most\nC: almost none\nD: some\nE: almost all\nF: many\nG: few\nH: none\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: almost all\nC: all\nD: few\nE: most\nF: the smaller part\nG: none\nH: many\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: many\nC: none\nD: few\nE: almost all\nF: the smaller part\nG: most\nH: some\nI: all\nAnswer:']"
29,data/images/quantifier/test_29.png,"[['B'], ['B'], ['G: None'], ['B'], ['C']]","[{'a': 'all', 'b': 'almost none', 'c': 'many', 'd': 'most', 'e': 'almost all', 'f': 'few', 'g': 'the smaller part', 'h': 'some', 'i': 'none'}, {'a': 'almost all', 'b': 'none', 'c': 'some', 'd': 'few', 'e': 'the smaller part', 'f': 'almost none', 'g': 'many', 'h': 'most', 'i': 'all'}, {'a': 'few', 'b': 'the smaller part', 'c': 'almost none', 'd': 'almost all', 'e': 'most', 'f': 'some', 'g': 'none', 'h': 'many', 'i': 'all'}, {'a': 'few', 'b': 'almost none', 'c': 'the smaller part', 'd': 'all', 'e': 'some', 'f': 'almost all', 'g': 'many', 'h': 'none', 'i': 'most'}, {'a': 'some', 'b': 'all', 'c': 'almost none', 'd': 'few', 'e': 'none', 'f': 'many', 'g': 'almost all', 'h': 'the smaller part', 'i': 'most'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: almost none\nC: many\nD: most\nE: almost all\nF: few\nG: the smaller part\nH: some\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: none\nC: some\nD: few\nE: the smaller part\nF: almost none\nG: many\nH: most\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: the smaller part\nC: almost none\nD: almost all\nE: most\nF: some\nG: none\nH: many\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost none\nC: the smaller part\nD: all\nE: some\nF: almost all\nG: many\nH: none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: all\nC: almost none\nD: few\nE: none\nF: many\nG: almost all\nH: the smaller part\nI: most\nAnswer:']"
37,data/images/quantifier/test_37.png,"[['I'], ['A'], ['D'], ['D'], ['B']]","[{'a': 'almost none', 'b': 'almost all', 'c': 'many', 'd': 'few', 'e': 'none', 'f': 'most', 'g': 'all', 'h': 'the smaller part', 'i': 'some'}, {'a': 'all', 'b': 'none', 'c': 'many', 'd': 'few', 'e': 'almost none', 'f': 'the smaller part', 'g': 'almost all', 'h': 'some', 'i': 'most'}, {'a': 'most', 'b': 'almost none', 'c': 'the smaller part', 'd': 'none', 'e': 'almost all', 'f': 'few', 'g': 'many', 'h': 'all', 'i': 'some'}, {'a': 'most', 'b': 'few', 'c': 'all', 'd': 'many', 'e': 'almost all', 'f': 'some', 'g': 'none', 'h': 'the smaller part', 'i': 'almost none'}, {'a': 'most', 'b': 'none', 'c': 'almost none', 'd': 'few', 'e': 'almost all', 'f': 'the smaller part', 'g': 'many', 'h': 'some', 'i': 'all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: almost all\nC: many\nD: few\nE: none\nF: most\nG: all\nH: the smaller part\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: none\nC: many\nD: few\nE: almost none\nF: the smaller part\nG: almost all\nH: some\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: almost none\nC: the smaller part\nD: none\nE: almost all\nF: few\nG: many\nH: all\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: few\nC: all\nD: many\nE: almost all\nF: some\nG: none\nH: the smaller part\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: none\nC: almost none\nD: few\nE: almost all\nF: the smaller part\nG: many\nH: some\nI: all\nAnswer:']"
44,data/images/quantifier/test_44.png,"[['C'], ['B'], ['B: almost none'], ['A: almost none'], ['A']]","[{'a': 'few', 'b': 'all', 'c': 'some', 'd': 'most', 'e': 'almost all', 'f': 'almost none', 'g': 'the smaller part', 'h': 'none', 'i': 'many'}, {'a': 'almost all', 'b': 'none', 'c': 'the smaller part', 'd': 'many', 'e': 'most', 'f': 'few', 'g': 'some', 'h': 'almost none', 'i': 'all'}, {'a': 'some', 'b': 'almost none', 'c': 'few', 'd': 'most', 'e': 'the smaller part', 'f': 'none', 'g': 'many', 'h': 'all', 'i': 'almost all'}, {'a': 'almost none', 'b': 'few', 'c': 'none', 'd': 'most', 'e': 'all', 'f': 'the smaller part', 'g': 'some', 'h': 'almost all', 'i': 'many'}, {'a': 'the smaller part', 'b': 'all', 'c': 'few', 'd': 'almost all', 'e': 'none', 'f': 'many', 'g': 'most', 'h': 'almost none', 'i': 'some'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: all\nC: some\nD: most\nE: almost all\nF: almost none\nG: the smaller part\nH: none\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: none\nC: the smaller part\nD: many\nE: most\nF: few\nG: some\nH: almost none\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: almost none\nC: few\nD: most\nE: the smaller part\nF: none\nG: many\nH: all\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: few\nC: none\nD: most\nE: all\nF: the smaller part\nG: some\nH: almost all\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: all\nC: few\nD: almost all\nE: none\nF: many\nG: most\nH: almost none\nI: some\nAnswer:']"
