image,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,llava_output
data/images/noun/2001-600.jpg,2001,bee have trap,19,50,66,14,"[['In the image, there is a clear plastic container with a yellow color, containing a yellow object'], ['In the image, there are two clear plastic containers, each containing a small toy or figur'], ['In the image, there are two plastic containers with a yellow color, sitting side by side on'], ['In the image, there is a clear plastic container with a hole in the center, which is'], ['In the image, there is a pair of yellow plastic balls, each with a hole in the'], ['In the image, there are two plastic containers with small holes in them, sitting side by side'], ['In the image, there are two plastic containers, one orange and one yellow, sitting next to'], ['In the image, there is a close-up view of a clear plastic container, possibly a'], ['In the image, there are two yellow plastic containers with a hole in the center. The containers'], ['In the image, there is a clear plastic container with a hole in the center, which appears'], ['In the image, there are two plastic toy balls, one on top of the other,'], ['In the image, there are two yellow plastic containers with small holes in them. They are sitting'], ['In the image, there are two clear plastic containers, which appear to be plastic bags'], ['In the image, there is a pair of yellow plastic containers with a clear plastic lining'], ['In the image, there is a close-up of a yellow plastic object with a hole in'], ['In the image, there are two yellow plastic containers, possibly egg holders, sitting on a'], ['In the image, there are two plastic containers, one yellow and one orange, sitting next to'], ['In the image, there is a clear plastic container with a yellow color. The container is round'], ['In the image, there are two yellow plastic toys shaped like ears. They are sitting'], ['In the image, there are two small, clear plastic containers with holes in the center. They'], ['In the image, there are two yellow plastic containers or dishes with holes in them. They'], ['In the image, there are two plastic yellow objects that look like they are made to be used'], ['In the image, there are two clear plastic containers, each with a hole in the center.'], ['In the image, there are two small, clear, plastic containers with a yellowish hue'], ['In the image, there are two plastic toy animal figures, specifically two yellow frogs,'], ['In the image, there is a clear plastic container with a yellowish hue, possibly made'], ['In the image, there is a close-up view of two yellow plastic containers, which appear'], ['In the image, there are two yellow plastic containers with holes in them, sitting on a white'], ['In the image, there are two yellow plastic objects, which appear to be toys or containers'], ['In the image, there is a close-up view of two yellow plastic toys, which'], ['In the image, there is a close-up view of two yellow plastic containers, possibly a'], ['In the image, there is a clear plastic container with a yellowish tint. The container'], ['In the image, there are two small, clear, plastic containers with holes in the bottom.'], ['In the image, there is a close-up of two yellow plastic containers, which appear to'], ['In the image, there is a pair of plastic, yellow, and clear objects that resemble'], ['In the image, there are two clear plastic containers, one on top of the other, with'], ['In the image, there is a clear plastic container with a yellow hue, possibly made of'], ['In the image, there is a close-up view of a yellow plastic container with a hole'], ['In the image, there is a pair of yellow plastic ear molds or earplugs.'], ['In the image, there is a pair of clear plastic, yellow, and black containers, which']]"
data/images/noun/2002-600.jpg,2002,bookend,22,83,59,9,"[['In the image, there is a red vase with a curved shape, resembling a'], ['In the image, there is a red vase that is shaped like a large red triangle.'], ['In the image, there is a red vase with a unique design, resembling a person'], ['In the image, there is a red vase, which is a sculpture, placed on a'], ['In the image, there is a red vase with a curved design, possibly resembling'], ['In the image, there is a red vase with a curved shape, possibly made of glass'], ['In the image, there is a red vase or sculpture, possibly made of metal, sitting'], ['In the image, there is a red vase with a curved shape, sitting on a white'], ['In the image, there is a red vase with a curved shape, resembling a'], ['In the image, there is a red sculpture of a vase or a sculpture of a'], ['In the image, there is a red vase that is shaped like a cone. It is'], ['In the image, there is a red vase that is curved and shaped like a woman'], ['In the image, there is a red vase or sculpture with a curved design. The'], ['In the image, there is a red vase with a unique design. The vase is sh'], ['In the image, there is a red vase or sculpture, which appears to be made of'], ['In the image, there is a red sculpture or vase with a curved shape, possibly'], ['In the image, there is a red sculpture of a vase with a curved shape.'], ['In the image, there is a red sculpture of a vase with a curved shape.'], ['In the image, there is a red vase with a curved design, sitting on a white'], ['In the image, there is a red vase or sculpture with a curved shape, sitting'], ['In the image, there is a red vase or sculpture with a curved shape, res'], ['In the image, there is a red vase with a unique shape, resembling a large'], ['In the image, there is a red sculpture or statue of a vase. The vase'], ['In the image, there is a red vase with a curved shape, sitting on a white'], ['In the image, there is a red vase or sculpture with a unique design. It appears'], ['In the image, there is a red vase or sculpture, which is shaped like a'], ['In the image, there is a red sculpture of a vase. It is a unique and'], ['In the image, there is a red vase or sculpture, which appears to be made of'], ['In the image, there is a red vase with a curved shape, sitting on a white'], ['In the image, there is a red vase with a curved shape, sitting on a white'], ['In the image, there is a red vase with a curved design. The vase is'], ['In the image, there is a red vase with a curved shape, resembling a'], ['In the image, there is a red sculpture of a vase, possibly a ceramic'], ['In the image, there is a red vase with a unique, curved shape. The v'], ['In the image, there is a red sculpture of a vase. The vase is sh'], ['In the image, there is a red vase with a unique, curved shape, possibly res'], ['In the image, there is a red vase with a curved shape, possibly a sculpture'], ['In the image, there is a red sculpture of a vase. The vase is made'], ['In the image, there is a red vase with a curved design, placed on a white'], ['In the image, there is a red vase or sculpture with a unique shape, resemb']]"
data/images/noun/2003-600.jpg,2003,fidget toy,59,74,19,0,"[['In the image, there is a wooden toy that resembles a puzzle or a building'], ['In the image, there is a wooden toy shaped like a large letter ""H"" made'], ['In the image, there is a colorful wooden puzzle with interlocking pieces. The puzz'], ['In the image, there is a colorful wooden toy, resembling a puzzle or'], ['In the image, there is a stack of wooden blocks with different colors. The blocks are arranged in'], ['In the image, there is a wooden toy shaped like a giant letter ""F"" made'], ['In the image, there is a stack of wooden blocks with different colors. The blocks are arranged in'], ['In the image, there is a colorful wooden block with letters on it. The block is designed'], ['In the image, there is a colorful wooden block with a variety of colors, including red,'], ['In the image, there is a stack of wooden blocks arranged in a colorful pattern. The blocks'], ['In the image, there is a wooden toy with a colorful design. It is a three'], ['In the image, there is a colorful wooden toy made up of multiple interconnected blocks.'], ['In the image, there is a stack of colorful wooden blocks, each with different colors, arranged'], ['In the image, there is a stack of wooden blocks with letters on them. The blocks are arranged'], ['In the image, there is a colorful wooden toy made up of various colored blocks, forming'], ['In the image, there is a wooden toy shaped like a letter. It is made up'], ['In the image, there is a colorful wooden toy made of interlocking blocks. The'], ['In the image, there is a wooden toy shaped like a letter. The toy is'], ['In the image, there is a colorful wooden toy, which appears to be a stack of'], ['In the image, there is a wooden toy shaped like a large letter ""E"" with'], ['In the image, there is a colorful wooden toy made up of interlocking blocks.'], ['In the image, there is a colorful wooden toy in the shape of a large letter ""'], ['In the image, there is a stack of wooden blocks arranged in a colorful pattern. The blocks'], ['In the image, there is a colorful wooden puzzle toy. It consists of multiple wooden'], ['In the image, there is a colorful wooden toy that resembles a puzzle or'], ['In the image, there is a wooden toy shaped like a letter ""Y"" with colored'], ['In the image, there is a colorful wooden toy that resembles a puzzle.'], ['In the image, there is a stack of colored wooden blocks. The blocks are arranged in a way'], ['In the image, there is a colorful stack of wooden blocks. The blocks are arranged in a'], ['In the image, there is a colorful wooden puzzle made up of five different colored blocks.'], ['In the image, there is a stack of wooden blocks, specifically a toy building block set.'], ['In the image, there is a colorful wooden toy made of different colored blocks, resemb'], ['In the image, there is a colorful wooden toy, which appears to be a stack of'], ['In the image, there is a wooden toy shaped like a letter T, made up of'], ['In the image, there is a colorful wooden block with a variety of colored shapes, including red'], ['In the image, there is a colorful wooden toy in the shape of a letter ""L'], ['In the image, there is a colorful wooden puzzle made up of several wooden blocks. The'], ['In the image, there is a wooden toy shaped like a giant letter ""T"" made'], ['In the image, there is a stack of colored wooden blocks. The blocks are arranged in a tri'], ['In the image, there is a colorful wooden toy, possibly a building block or a puzz']]"
data/images/noun/2004-600.jpg,2004,pencil sharpener,41,70,48,52,"[['In the image, there is a bright orange plastic ring with a hole in the middle, sitting'], ['In the image, there is a bright orange rubber ring with a hole in the center. The'], ['In the image, there is a close-up of a yellow and orange toy. The to'], ['In the image, there is a close-up view of a bright orange and yellow toy,'], ['In the image, there is a small, brightly colored, orange toy. It appears to'], ['In the image, there is a close-up of a yellow plastic object with a hole in'], ['In the image, there is a small orange toy with a hole in the middle. It is'], ['In the image, there is a close-up of a yellow and orange plastic toy,'], ['In the image, there is a small, bright orange plastic object with a hole in the middle'], ['In the image, there is a close-up of a yellow, circular object with a hole in'], ['In the image, there is a small, round, bright orange object with a hole in the center'], ['In the image, there is a close-up view of a bright orange, round, and slightly'], ['In the image, there is a bright yellow, plastic ring with a hole in the center.'], ['In the image, there is a bright orange toy, possibly a frisbee or a'], ['In the image, there is a close-up view of a yellow plastic ring with a hole'], ['In the image, there is a bright yellow plastic ring with a hole in the center. The'], ['In the image, there is a close-up of a yellow, round, plastic item with'], ['In the image, there is a close-up view of a yellow and orange plastic ring with'], ['In the image, there is a small, brightly colored, orange and yellow plastic toy'], ['In the image, there is a close-up view of a yellow plastic ring with a hole'], ['In the image, there is a close-up of a bright orange toy with a hole in'], ['In the image, there is a small, round, orange plastic object with a hole in the'], ['In the image, there is a close-up of a yellow and orange object with a hole in'], ['In the image, there is a bright orange rubber ring with a hole in the center. The'], ['In the image, there is a close-up of a bright orange toy, possibly a to'], ['In the image, there is a small, bright orange plastic ring with a hole in the center'], ['In the image, there is a close-up view of a yellow object, which appears to be'], ['In the image, there is a bright orange toy, which appears to be a toy ring'], ['In the image, there is a bright orange, round, and slightly curved plastic object.'], ['In the image, there is a small, bright orange plastic object with a hole in the center'], ['In the image, there is a small, bright orange toy with a hole in the center.'], ['In the image, there is a close-up of a yellow plastic ring with a hole in'], ['In the image, there is a bright orange toy with a hole in the middle, which appears'], ['In the image, there is a small, round, orange toy with a hole in the middle'], ['In the image, there is a bright orange and yellow plastic toy with a hole in the'], ['In the image, there is a bright orange plastic object with a hole in the center. It'], ['In the image, there is a close-up view of a bright orange rubber ring. The'], ['In the image, there is a bright yellow plastic toy with a hole in the center.'], ['In the image, there is a small, brightly colored, plastic toy with a hole'], ['In the image, there is a close-up of a bright orange plastic ring, which is']]"
data/images/noun/2005-600.jpg,2005,fish tank stone,6,25,81,13,"[['In the image, there is a pink and purple plastic toy wing, which is'], [""In the image, there is a pink and white sculpture that resembles a bird'""], [""In the image, there is a pink and yellow sculpture of a bird's wing,""], ['In the image, there is a pink and yellow plastic piece of artwork, possibly a'], ['In the image, there is a pink, rainbow-colored, wing-shaped'], ['In the image, there is a pink and purple piece of artwork that resembles'], ['In the image, there is a colorful, abstract, and artistic sculpture of a bird'], ['In the image, there is a pink, rainbow-colored sculpture or decoration'], ['In the image, there is a colorful, rainbow-colored wing-shaped object'], ['In the image, there is a pink, colorful, and rainbow-colored wing'], ['In the image, there is a pink and yellow wing-shaped object, which appears to'], ['In the image, there is a pink and yellow winged hat with a feathery design'], ['In the image, there is a pink plastic piece with a bird-like shape, res'], ['In the image, there is a pink, rainbow-colored wing-shaped object'], ['In the image, there is a pink, colorful, and abstract sculpture that resemb'], ['In the image, there is a pink, rainbow-colored, and white sculpture'], ['In the image, there is a colorful, rainbow-colored wing-shaped object'], ['In the image, there is a pink and yellow sculpture of a bird wing, possibly a'], ['In the image, there is a pink plastic wing with a rainbow-colored design'], ['In the image, there is a pink and yellow sculpture of a bird wing. The wing'], ['In the image, there is a pink, plastic, wing-shaped object, which'], ['In the image, there is a colorful, pink, and yellow plastic wing or hat'], ['In the image, there is a pink and yellow plastic item that looks like a hat,'], ['In the image, there is a pink plastic item that resembles a crown or a'], [""In the image, there is a colorful, three-dimensional sculpture of a bird's""], ['In the image, there is a pink, rainbow-colored plastic wing with a'], ['In the image, there is a colorful, rainbow-colored sculpture of a bird'], ['In the image, there is a pink, colorful, and abstract wing-shaped object'], ['In the image, there is a pink and yellow plastic wing-shaped object. It'], ['In the image, there is a colorful, artistic, and abstract pink wing-sh'], ['In the image, there is a pink plastic object that resembles a bird wing.'], ['In the image, there is a pink plastic item with wings that is shaped like a'], ['In the image, there is a pink, colorful, and shiny sculpture of an'], ['In the image, there is a pink, plastic, colorful, and rainbow-'], ['In the image, there is a pink and purple plastic winged hat with a rain'], ['In the image, there is a pink and white plastic winged hat, which is sh'], ['In the image, there is a pink, rainbow-colored winged sculpture.'], ['In the image, there is a pink, rainbow-colored sculpture of a bird'], ['In the image, there is a pink and purple colored plastic winged hat with a'], ['In the image, there is a pink and yellow winged sculpture, which appears to be']]"
data/images/noun/2006-600.jpg,2006,space ship top,34,64,31,3,"[['In the image, there is a silver, round object with a dome-shaped top.'], ['In the image, there is a small silver object with a dome-shaped top. It'], ['In the image, there is a silver or metallic object that appears to be a small satellite'], ['In the image, there is a silver object that resembles a flying saucer or a top'], ['In the image, there is a silver object that looks like a space ship or a flying saucer'], ['In the image, there is a silver object that appears to be a small spaceship or a silver'], ['In the image, there is a silver metal object that looks like a silver dome or a silver'], ['In the image, there is a silver metal object with a round top, which appears to be a'], ['In the image, there is a silver, circular object with a hole in the center. The object'], ['In the image, there is a silver metal object that resembles a flying saucer or a'], ['In the image, there is a small silver object that resembles a spaceship or a U'], ['In the image, there is a silver object with a round top that resembles a satellite d'], ['In the image, there is a small silver object with a dome-shaped top. The'], ['In the image, there is a silver, metallic, and round object with a hole in'], ['In the image, there is a silver, round object with a hole in the center. It is'], ['In the image, there is a silver, circular object with a dome-like shape, which'], ['In the image, there is a small silver object with a blue top, which appears to be a'], ['In the image, there is a small silver object that resembles a top or a saucer'], ['In the image, there is a small, silver, round object with a hole in the center.'], ['In the image, there is a small silver object that looks like a top or a cap. It'], ['In the image, there is a small silver dome with a blue top. It appears to be'], ['In the image, there is a silver or grey metal object that looks like a top or a d'], ['In the image, there is a silver, round object that looks like a spaceship or a top'], ['In the image, there is a silver metal object that resembles a small spaceship or a'], ['In the image, there is a silver object that resembles a top, possibly a silver d'], ['In the image, there is a small silver object with a blue top. The object appears to be'], ['In the image, there is a small silver object that resembles a spaceship or a U'], ['In the image, there is a small, silver, round object that resembles a spaceship'], ['In the image, there is a small, silver, round object with a dome-shaped'], ['In the image, there is a silver, circular object with a dome-shaped top.'], ['In the image, there is a silver object that appears to be a top of a metal or pl'], ['In the image, there is a silver metal object that resembles a top or a small satellite'], ['In the image, there is a small silver object with a dome-shaped top, res'], ['In the image, there is a silver, round object with a hole in the middle, resemb'], ['In the image, there is a silver object with a dome-shaped top, which appears'], ['In the image, there is a silver metal object with a circular shape and a hole in the middle'], ['In the image, there is a silver object that resembles a spaceship or a top.'], ['In the image, there is a silver, metallic, circular object with a hole in the'], ['In the image, there is a small silver object that resembles a flying saucer or a'], ['In the image, there is a silver object that appears to be a model or a toy spaces']]"
data/images/noun/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,"[['In the image, there is a small black object with a red tip, sitting on a white background'], ['In the image, there is a small black object with a red top, which appears to be a'], ['In the image, there is a black object with a red tip. It is sitting on a white'], ['In the image, there is a black plastic object with a red tip. The object appears to'], ['In the image, there is a small black ball with a red tip. The ball is sitting on'], ['In the image, there is a black object with a red tip. It appears to be a pl'], ['In the image, there is a black object with a red tip. It appears to be a black'], ['In the image, there is a small black object with a red tip. The object appears to be'], ['In the image, there is a black and red object that looks like a large black ball with a'], ['In the image, there is a small black object with a red tip. It appears to be a'], ['In the image, there is a small black ball with a red tip. The ball appears to be'], ['In the image, there is a black plastic object with a red tip, which appears to be'], ['In the image, there is a black object with a red tip. It appears to be a to'], ['In the image, there is a black plastic object with a red top. It appears to be'], ['In the image, there is a black plastic object with a red plastic top, resemb'], ['In the image, there is a black object with a red tip. It appears to be a small'], ['In the image, there is a black object with a red tip, which appears to be a black'], ['In the image, there is a small black object with a red tip. The object is sitting on'], ['In the image, there is a small black object with a red top, which appears to be a'], ['In the image, there is a black object that looks like a small, round, black ball with'], ['In the image, there is a black object with a red tip, which appears to be a large'], ['In the image, there is a black plastic item with a red plastic tip, which appears'], ['In the image, there is a black object with a red tip, which appears to be a rub'], ['In the image, there is a black object with a red top, which appears to be a pl'], ['In the image, there is a black object with a red tip, which appears to be a pl'], ['In the image, there is a black object with a red tip, which appears to be a pl'], ['In the image, there is a black and red object, which appears to be a black plastic'], ['In the image, there is a black and red object that looks like a toy or a piece'], ['In the image, there is a black object with a red tip, which appears to be a to'], ['In the image, there is a small black object with a red top, which appears to be a'], ['In the image, there is a black and red object that looks like a small ball or a rub'], ['In the image, there is a black object with a red top, which appears to be a pl'], ['In the image, there is a small black object, which appears to be a black and red to'], ['In the image, there is a black object with a red tip, which appears to be a black'], ['In the image, there is a black object with a red tip, which appears to be a black'], ['In the image, there is a small black object with a red top, resembling a to'], ['In the image, there is a small black ball with a red stem, sitting on a white background'], ['In the image, there is a black object with a red tip, which appears to be a pl'], ['In the image, there is a black object that appears to be a small, round, black ball'], ['In the image, there is a black plastic item with a red tip. The item is sitting']]"
data/images/noun/2008.jpg,2008,curlers formed together,34,25,48,16,"[['In the image, there is a blue object with a curled shape, which appears to be a'], ['In the image, there is a blue object with a white tip. It appears to be a cur'], ['In the image, there is a blue plastic object with a twisted shape. The object appears'], ['In the image, there is a blue object with three white stripes, which appears to be a'], ['In the image, there is a blue object with a spiral shape, which appears to be a'], ['In the image, there is a blue object with a twisted shape, resembling a blue'], ['In the image, there is a blue object that appears to be a curled-up piece of'], ['In the image, there is a blue object with a curved shape, resembling a cur'], ['In the image, there is a blue object that appears to be a cylinder, possibly made of'], ['In the image, there is a blue rubber item that looks like a bunch of blue tubes'], ['In the image, there is a blue object with a white top, which appears to be a blue'], ['In the image, there is a blue object with a spiral shape and three white knobs on'], ['In the image, there is a blue object with a curved shape, possibly a blue pipe or'], ['In the image, there is a blue object with three blue tubes or rods coming out of'], ['In the image, there is a blue object that resembles a bunch of wires or a'], ['In the image, there is a blue plastic tube with three blue plastic tubes wrapped'], ['In the image, there is a blue object that appears to be a curled-up or tw'], ['In the image, there is a blue cylinder with a white top, which appears to be a'], ['In the image, there is a blue plastic object with three blue tubes or pipes attached'], ['In the image, there is a blue object with a spiral shape, which appears to be a'], ['In the image, there is a blue object with a twisted shape, resembling a blue'], ['In the image, there is a blue object with a white stripe, which appears to be a'], ['In the image, there is a blue object that appears to be a tube or a piece of'], ['In the image, there is a blue cylinder with a white top. The blue cylinder is'], ['In the image, there is a blue rubber object with three white caps on it. The object'], ['In the image, there is a blue object with three white plugs on it. The object is'], ['In the image, there is a blue object that looks like a tube or a pipe. It'], ['In the image, there is a blue cylinder with a white top, which appears to be a'], ['In the image, there is a blue object with a twisted shape, resembling a blue'], ['In the image, there is a blue object that appears to be a piece of art or a sculpt'], ['In the image, there is a blue object that appears to be a piece of art or a sculpt'], ['In the image, there is a blue plastic tube or pipe with a white object inside of'], ['In the image, there is a blue object that looks like a piece of art or a sculpture'], ['In the image, there is a blue object that looks like a curled-up blue pipe or'], ['In the image, there is a blue object that resembles a bunch of blue grapes'], ['In the image, there is a blue object that looks like a curled-up, twisted'], ['In the image, there is a blue object that resembles a curled up blue pipe.'], ['In the image, there is a blue object that resembles a curled-up piece of'], ['In the image, there is a blue rubber tube that has been cut in half, reve'], ['In the image, there is a blue object that looks like a blue cylinder or a blue t']]"
data/images/noun/2009-600.jpg,2009,dog toy,47,78,65,45,"[['In the image, there is an orange, spiky, and fuzzy object that res'], ['In the image, there is a close-up of a bright orange, spiky, and'], ['In the image, there is a close-up of a bright orange, spiky, and'], ['In the image, there is an orange, spiky object that resembles a cact'], ['In the image, there is a close-up of an orange, spiky, and fur'], ['In the image, there is a close-up of an orange, spiky, and fur'], ['In the image, there is an orange, spiky, and round object that appears to be'], ['In the image, there is a close-up view of an orange, spiky, and'], ['In the image, there is a close-up view of a bright orange object that resembles'], ['In the image, there is an orange and white spiky object, possibly a toy or'], ['In the image, there is a close-up of an orange, spiky object that looks'], ['In the image, there is a close-up of an orange, spiky, and fur'], ['In the image, there is a close-up of a bright orange, spiky, and'], ['In the image, there is a close-up view of a large, bright orange, spik'], ['In the image, there is a close-up of a bright orange, spiky, and'], ['In the image, there is a close-up of an orange and white object that looks like a'], ['In the image, there is a close-up of an orange, spiky, and f'], ['In the image, there is a close-up of a bright orange, spiky object,'], ['In the image, there is a close-up of an orange, spiky, and possibly'], ['In the image, there is a close-up of an orange, fuzzy, and sp'], ['In the image, there is a close-up of an orange, spiky object that res'], ['In the image, there is an orange, spiky, and round object, possibly a to'], ['In the image, there is a close-up view of an orange and yellow ball-shaped'], ['In the image, there is an orange, spiky object that appears to be a small ball'], ['In the image, there is a close-up of a bright orange, spiky object,'], ['In the image, there is a close-up of an orange, spiky, and fur'], ['In the image, there is a close-up of an orange, spiky, and odd'], ['In the image, there is a close-up of an orange and yellow object that resembles'], ['In the image, there is a close-up of a small, bright orange, spiky'], ['In the image, there is a close-up of a large orange object that resembles a'], ['In the image, there is a close-up of an orange, spiky, and f'], ['In the image, there is a close-up view of an orange, spiky, and'], ['In the image, there is a close-up view of a bright orange, spiky,'], ['In the image, there is a close-up view of an orange, spiky, and'], ['In the image, there is an orange, spiky, and possibly rubber-like object'], ['In the image, there is a close-up of an orange, spiky, and hair'], ['In the image, there is an orange, spiky, and round object that appears to be'], ['In the image, there is a close-up view of a bright orange, spiky,'], ['In the image, there is an orange, spiky object with a shape resembling a'], ['In the image, there is a close-up of a large orange spiky object, which']]"
data/images/noun/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,"[['In the image, there is a red and yellow ball with a blue dot on top. The ball'], ['In the image, there are two red and yellow balls sitting on a white background. They appear to'], ['In the image, there is a close-up of a red and blue ball with yellow polka'], ['In the image, there is a red and yellow toy with blue spots, resembling'], ['In the image, there is a red and blue ball with a yellow center, sitting on a white'], ['In the image, there is a red and blue ball with a yellow center. The ball is sitting'], ['In the image, there is a red and yellow ball with a blue center. The ball is made'], ['In the image, there is a close-up view of a red and yellow rubber toy'], ['In the image, there is a red and blue ball with a white background. The ball is covered'], ['In the image, there is a red and blue toy with a red body and blue spikes'], ['In the image, there is a red and yellow ball with a blue center. The ball is sitting'], ['In the image, there are two red and yellow balls with blue spots. They are sitting side'], ['In the image, there is a red and blue ball with yellow polka dots. The ball'], ['In the image, there is a red and blue rubber ball with a pattern of yellow and blue'], ['In the image, there are two red and yellow balls with blue spots. They are sitting on'], ['In the image, there are two red and yellow balls with blue spots. They are sitting on'], ['In the image, there are two red and yellow plastic balls with blue dots on them.'], ['In the image, there are two red and yellow balls with blue spots on them. They are'], ['In the image, there is a red and blue toy, which appears to be a rubber'], ['In the image, there is a red and blue ball with a yellow center, sitting on a white'], ['In the image, there are two red and yellow balls with blue spots, sitting next to each'], ['In the image, there are two red and blue balls with yellow polka dots, sitting on'], ['In the image, there are two red and yellow balls with blue dots. They are sitting on'], ['In the image, there is a red and yellow ball with a blue dot on top. The ball'], ['In the image, there are two red and blue balls with yellow spots, sitting side by side'], ['In the image, there are two red and yellow balls with blue spots, sitting side by side'], ['In the image, there are two red and yellow plastic balls with blue spots, sitting on'], ['In the image, there are two red and yellow balls with blue spots on them. They are'], ['In the image, there is a red and yellow ball with blue spots. The ball is sitting'], ['In the image, there are two red and yellow balls with blue dots. They are sitting on'], ['In the image, there are two red and yellow balls with blue dots on them. They are'], ['In the image, there is a red and yellow ball with blue spots on it. The ball'], ['In the image, there is a close-up of a red and yellow ball with a blue center'], ['In the image, there is a red and blue ball with yellow polka dots, sitting on'], ['In the image, there is a close-up of a red and yellow ball with blue dots'], ['In the image, there are two red and yellow balls with blue spots. They are placed on'], ['In the image, there is a close-up of a red and blue toy, which appears'], ['In the image, there is a red and yellow ball with blue spots. The ball has a'], ['In the image, there is a red and yellow ball with blue dots, which appears to be'], ['In the image, there is a red and yellow ball with blue dots on it. The ball']]"
