image,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,llava_output
data/images/noun/2001-600.jpg,2001,bee have trap,19,50,66,14,"[['In the image, there are two clear plastic containers, each containing a small yellow ball. The'], ['In the image, there are two small, clear, plastic containers with a yellowish hue'], ['In the image, there are two clear plastic containers, which appear to be plastic eggs,'], ['In the image, there are two clear plastic containers, which are shaped like a pair of'], ['In the image, there is a pair of yellow plastic containers or containers with holes in them.']]"
data/images/noun/2002-600.jpg,2002,bookend,22,83,59,9,"[['The image features a red sculpture or vase, which appears to be a piece of art.'], ['The image features a red vase with a unique, curved shape, possibly resembling a'], ['In the image, there is a red sculpture or vase that is shaped like a large'], ['In the image, there is a red sculpture of a vase or a statue, which appears'], ['In the image, there is a red sculpture of a vase with a hole in the middle']]"
data/images/noun/2003-600.jpg,2003,fidget toy,59,74,19,0,"[['In the image, there is a stack of wooden blocks with letters on them. The blocks are color'], ['The image features a colorful wooden toy in the shape of a large letter ""L."" The'], ['In the image, there is a wooden toy with a unique design. It consists of a series'], ['In the image, there is a colorful wooden toy made up of various colored blocks. The'], ['The image features a colorful wooden toy, which appears to be a puzzle or a stack']]"
data/images/noun/2004-600.jpg,2004,pencil sharpener,41,70,48,52,"[['In the image, there is a close-up view of a yellow plastic object, possibly a'], ['In the image, there is a bright orange plastic toy with a hole in the middle,'], ['In the image, there is a yellow toy, possibly a rubber toy or a piece'], ['In the image, there is a bright orange, plastic ring with a hole in the center.'], ['In the image, there is a yellow plastic toy that appears to be a small orange ball']]"
data/images/noun/2005-600.jpg,2005,fish tank stone,6,25,81,13,"[['In the image, there is a pink and yellow wing-shaped object, possibly a piece'], ['The image features a pink, rainbow-colored, and shiny object that resemb'], ['The image features a pink and yellow wing-shaped object, possibly a sculpture or a'], ['In the image, there is a pink and white winged object, which appears to be a'], ['In the image, there is a pink and yellow winged object, possibly a sculpture or']]"
data/images/noun/2006-600.jpg,2006,space ship top,34,64,31,3,"[['In the image, there is a silver object with a round top and a hole in the center.'], ['In the image, there is a small silver object with a dome-shaped top. The'], ['In the image, there is a silver object with a round top, which appears to be a model'], ['In the image, there is a small silver object that resembles a spaceship or a flying'], ['In the image, there is a silver object with a circular top and a silver base. The object']]"
data/images/noun/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,"[['In the image, there is a small black ball with a red top, sitting on a white background'], ['In the image, there is a black and red object, possibly a plastic toy or a'], ['In the image, there is a black object with a red tip, which appears to be a to'], ['In the image, there is a black and red object that looks like a toy or a decor'], ['In the image, there is a black plastic item that looks like a ball or a black rub']]"
data/images/noun/2008.jpg,2008,curlers formed together,34,25,48,16,"[['In the image, there is a blue object that appears to be a piece of plastic or rub'], ['In the image, there is a blue object that looks like a curled-up piece of pipe'], ['In the image, there is a blue object that appears to be a piece of art or a sculpt'], ['In the image, there is a blue object that looks like a curled-up piece of pl'], ['In the image, there is a blue object that looks like a large blue tube or a blue']]"
data/images/noun/2009-600.jpg,2009,dog toy,47,78,65,45,"[['In the image, there is a close-up of a large, bright orange, spiky'], ['In the image, there is a close-up of a large, orange, spiky object'], ['In the image, there is a close-up of a bright orange, spiky, and'], ['In the image, there is a close-up of an orange and yellow ball with many small b'], ['In the image, there is a close-up of a bright orange, spiky, and']]"
data/images/noun/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,"[['In the image, there is a red and yellow ball with blue spots, sitting on a white'], ['In the image, there is a red and yellow ball with blue dots, sitting on a white'], ['In the image, there are two red and yellow balls with blue spots on them. They are'], ['In the image, there is a red and yellow ball with a blue center, sitting on a white'], ['In the image, there is a close-up view of a red and yellow toy, possibly']]"
