index,image_file,llava_filtered_output
2,data/images/quantifier/test_2.png,"['the smaller part', 'some', 'some', 'the smaller part', 'some', 'some', 'some', 'many', 'few', 'all', 'few', 'few', 'many', 'few', 'few', 'none', 'some', 'almost all', 'many', 'some', 'all', 'all', 'almost all', 'most', 'some', 'none', 'some', 'none', 'few', 'many', 'almost none', 'the smaller part', 'all', 'many', 'none', 'none', 'some', 'some', 'all', 'none']"
5,data/images/quantifier/test_5.png,"['some', 'the smaller part', 'many', 'none', 'most', 'most', 'none', 'some', 'some', 'many', 'none', 'all', 'few', 'some', 'many', 'some', 'all', 'the smaller part', 'few', 'many', 'few', 'some', 'all', 'few', 'almost all', 'few', 'some', 'some', 'all', 'most', 'almost all', 'some', 'few', 'most', 'the smaller part', 'many', 'all', 'many', 'all', 'none']"
13,data/images/quantifier/test_13.png,"['some', 'many', 'some', 'many', 'some', 'almost all', 'some', 'few', 'almost all', 'some', 'some', 'some', 'some', 'most', 'most', 'the smaller part', 'many', 'some', 'few', 'most', 'all', 'few', 'some', 'many', 'many', 'few', 'some', 'all', 'few', 'most', 'almost none', 'almost all', 'few', 'some', 'none', 'few', 'almost all', 'few', 'few', 'the smaller part']"
16,data/images/quantifier/test_16.png,"['none', 'most', 'some', 'most', 'almost none', 'most', 'some', 'all', 'some', 'the smaller part', 'few', 'almost none', 'many', 'almost all', 'many', 'almost none', 'almost none', 'some', 'some', 'some', 'most', 'almost none', 'all', 'most', 'most', 'many', 'the smaller part', 'some', 'many', 'few', 'few', 'some', 'many', 'all', 'few', 'the smaller part', 'many', 'all', 'the smaller part', 'some']"
20,data/images/quantifier/test_20.png,"['almost none', 'the smaller part', 'many', 'few', 'few', 'many', 'most', 'some', 'the smaller part', 'some', 'most', 'many', 'almost all', 'many', 'few', 'all', 'all', 'all', 'some', 'some', 'almost none', 'some', 'almost none', 'few', 'few', 'many', 'few', 'some', 'none', 'few', 'almost all', 'some', 'all', 'all', 'many', 'some', 'many', 'some', 'almost none', 'some']"
24,data/images/quantifier/test_24.png,"['some', 'some', 'most', 'few', 'none', 'the smaller part', 'some', 'some', 'many', 'some', 'many', 'few', 'none', 'all', 'some', 'almost none', 'almost all', 'many', 'almost all', 'most', 'some', 'some', 'almost all', 'all', 'few', 'many', 'some', 'few', 'some', 'almost none', 'almost all', 'many', 'many', 'some', 'most', 'many', 'many', 'few', 'many', 'all']"
25,data/images/quantifier/test_25.png,"['some', 'all', 'most', 'none', 'some', 'few', 'some', 'almost none', 'few', 'most', 'the smaller part', 'few', 'few', 'few', 'most', 'some', 'some', 'many', 'most', 'almost all', 'all', 'some', 'some', 'some', 'almost all', 'some', 'all', 'the smaller part', 'few', 'some', 'many', 'some', 'all', 'the smaller part', 'all', 'some', 'most', 'most', 'some', 'some']"
29,data/images/quantifier/test_29.png,"['none', 'some', 'many', 'almost none', 'most', 'some', 'few', 'most', 'none', 'few', 'almost all', 'most', 'all', 'none', 'the smaller part', 'some', 'almost all', 'the smaller part', 'some', 'the smaller part', 'almost all', 'few', 'few', 'few', 'some', 'almost none', 'some', 'few', 'many', 'the smaller part', 'almost all', 'many', 'the smaller part', 'none', 'none', 'some', 'some', 'few', 'many', 'some']"
37,data/images/quantifier/test_37.png,"['some', 'the smaller part', 'almost none', 'few', 'some', 'some', 'many', 'many', 'many', 'almost all', 'all', 'all', 'many', 'few', 'many', 'some', 'all', 'all', 'many', 'many', 'some', 'some', 'the smaller part', 'few', 'some', 'few', 'some', 'almost all', 'some', 'all', 'all', 'some', 'few', 'most', 'almost none', 'few', 'most', 'many', 'almost all', 'few']"
44,data/images/quantifier/test_44.png,"['many', 'few', 'some', 'almost all', 'none', 'most', 'almost none', 'the smaller part', 'few', 'most', 'almost all', 'some', 'none', 'few', 'some', 'few', 'some', 'few', 'some', 'all', 'few', 'most', 'almost none', 'some', 'almost all', 'some', 'all', 'some', 'some', 'most', 'none', 'some', 'almost none', 'almost all', 'few', 'few', 'many', 'many', 'the smaller part', 'some']"
46,data/images/quantifier/test_46.png,"['the smaller part', 'some', 'most', 'many', 'many', 'almost none', 'some', 'many', 'some', 'none', 'few', 'few', 'few', 'some', 'some', 'most', 'almost none', 'many', 'the smaller part', 'almost all', 'none', 'some', 'many', 'all', 'many', 'all', 'almost all', 'some', 'few', 'almost none', 'the smaller part', 'few', 'none', 'almost none', 'many', 'none', 'some', 'few', 'some', 'many']"
49,data/images/quantifier/test_49.png,"['few', 'few', 'almost all', 'many', 'some', 'few', 'none', 'some', 'all', 'the smaller part', 'many', 'none', 'few', 'almost all', 'many', 'some', 'almost all', 'few', 'all', 'most', 'many', 'many', 'almost none', 'some', 'few', 'most', 'none', 'some', 'almost none', 'some', 'almost all', 'all', 'almost all', 'some', 'almost all', 'all', 'all', 'none', 'many', 'all']"
52,data/images/quantifier/test_52.png,"['some', 'none', 'all', 'some', 'none', 'almost none', 'few', 'none', 'many', 'many', 'almost all', 'some', 'many', 'some', 'few', 'the smaller part', 'many', 'some', 'many', 'almost all', 'many', 'most', 'few', 'few', 'the smaller part', 'all', 'all', 'some', 'some', 'few', 'almost all', 'none', 'none', 'many', 'almost all', 'all', 'few', 'few', 'some', 'few']"
56,data/images/quantifier/test_56.png,"['some', 'all', 'few', 'few', 'all', 'some', 'the smaller part', 'some', 'almost none', 'many', 'some', 'some', 'some', 'some', 'few', 'almost none', 'some', 'some', 'many', 'all', 'none', 'none', 'almost none', 'all', 'many', 'many', 'almost all', 'few', 'almost none', 'almost all', 'some', 'all', 'none', 'some', 'many', 'almost all', 'most', 'many', 'almost none', 'few']"
60,data/images/quantifier/test_60.png,"['few', 'few', 'few', 'few', 'few', 'most', 'few', 'most', 'almost none', 'few', 'almost all', 'few', 'many', 'some', 'many', 'many', 'many', 'most', 'few', 'all', 'all', 'almost none', 'few', 'some', 'few', 'all', 'the smaller part', 'none', 'few', 'none', 'almost all', 'many', 'most', 'many', 'almost all', 'all', 'almost none', 'none', 'few', 'some']"
