index,image_file,fromage_filtered_output
2,data/images/quantifier/test_2.png,"['some', 'most', 'some', 'many', 'many']"
5,data/images/quantifier/test_5.png,"['few', 'many', 'none', 'almost none', 'almost none']"
13,data/images/quantifier/test_13.png,"['none', 'none', 'some', 'the smaller part', 'all']"
16,data/images/quantifier/test_16.png,"['some', 'most', 'most', 'all', 'all']"
20,data/images/quantifier/test_20.png,"['few', 'many', 'many', 'few', 'most']"
24,data/images/quantifier/test_24.png,"['many', 'the smaller part', 'all', 'almost all', 'none']"
25,data/images/quantifier/test_25.png,"['most', 'some', 'some', 'some', 'almost all']"
29,data/images/quantifier/test_29.png,"['almost all', 'almost none', 'almost none', 'almost all', 'all']"
46,data/images/quantifier/test_46.png,"['all', 'some', 'almost none', 'all', 'most']"
49,data/images/quantifier/test_49.png,"['many', 'all', 'all', 'most', 'almost all']"
52,data/images/quantifier/test_52.png,"['almost none', 'almost all', 'almost all', 'the smaller part', 'most']"
56,data/images/quantifier/test_56.png,"['almost all', 'all', 'almost none', 'almost all', 'few']"
60,data/images/quantifier/test_60.png,"['none', 'most', 'few', 'almost all', 'some']"
63,data/images/quantifier/test_63.png,"['the smaller part', 'most', 'many', 'many', 'many']"
66,data/images/quantifier/test_66.png,"['most', 'all', 'all', 'many', 'most']"
69,data/images/quantifier/test_69.png,"['many', 'the smaller part', 'some', 'many', 'few']"
76,data/images/quantifier/test_76.png,"['many', 'the smaller part', 'none', 'few', 'the smaller part']"
84,data/images/quantifier/test_84.png,"['all', 'most', 'the smaller part', 'most', 'the smaller part']"
86,data/images/quantifier/test_86.png,"['almost none', 'many', 'few', 'almost none', 'almost all']"
93,data/images/quantifier/test_93.png,"['almost all', 'many', 'most', 'many', 'almost all']"
111,data/images/quantifier/test_111.png,"['the smaller part', 'many', 'most', 'many', 'none']"
112,data/images/quantifier/test_112.png,"['many', 'almost all', 'almost all', 'none', 'almost all']"
114,data/images/quantifier/test_114.png,"['almost all', 'most', 'almost all', 'some', 'some']"
115,data/images/quantifier/test_115.png,"['almost all', 'the smaller part', 'the smaller part', 'almost all', 'almost all']"
116,data/images/quantifier/test_116.png,"['few', 'all', 'the smaller part', 'almost none', 'almost none']"
117,data/images/quantifier/test_117.png,"['most', 'none', 'the smaller part', 'almost none', 'few']"
119,data/images/quantifier/test_119.png,"['many', 'the smaller part', 'many', 'the smaller part', 'almost none']"
121,data/images/quantifier/test_121.png,"['the smaller part', 'most', 'most', 'many', 'almost none']"
122,data/images/quantifier/test_122.png,"['the smaller part', 'the smaller part', 'the smaller part', 'most', 'the smaller part']"
128,data/images/quantifier/test_128.png,"['none', 'most', 'many', 'most', 'none']"
132,data/images/quantifier/test_132.png,"['the smaller part', 'almost none', 'almost none', 'many', 'almost all']"
134,data/images/quantifier/test_134.png,"['few', 'many', 'none', 'none', 'many']"
