image_path,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,"FROMAGe, nucleus, caption_1","FROMAGe, nucleus, saliency_1","FROMAGe, nucleus, caption_2","FROMAGe, nucleus, saliency_2","FROMAGe, nucleus, caption_3","FROMAGe, nucleus, saliency_3","FROMAGe, nucleus, caption_4","FROMAGe, nucleus, saliency_4","FROMAGe, nucleus, caption_5","FROMAGe, nucleus, saliency_5","FROMAGe, nucleus, caption_6","FROMAGe, nucleus, saliency_6","FROMAGe, nucleus, caption_7","FROMAGe, nucleus, saliency_7","FROMAGe, nucleus, caption_8","FROMAGe, nucleus, saliency_8","FROMAGe, nucleus, caption_9","FROMAGe, nucleus, saliency_9","FROMAGe, nucleus, caption_10","FROMAGe, nucleus, saliency_10",fromage_saliency_rate,model_color_saliency,color_pearsonr,model_texture_saliency,texture_pearsonr
data/images/noun/2001-600.jpg,2001,bee have trap,19,50,66,14, A pair of glasses.,"([], [])", The image is a representation of a human hand.,"([], [])", A little ball with a smiley face.,"([], [])", A pair of glasses!,"([], [])", A pair of glasses.,"([], [])", A pair of glasses.,"([], [])", The image shows a blue ball in the center of a white circle.,"(['Blue', 'White'], [])", A lot of people are having a hard time to see the image.,"([], ['Hard'])", The image is a representation of a person's hand.,"([], [])", A set of 3 balls in a row.,"([], [])","(10, 10)",10,0.21798948579031271,10,0.15229419323563126
data/images/noun/2002-600.jpg,2002,bookend,22,83,59,9, A man in a red dress with a red umbrella.,"(['Red'], [])", A red ball in a glass of water.,"(['Red'], [])"," A man and a woman, both of them are holding a red flower.","(['Red'], [])"," A person, a person, a person, a person, a person, a person, a person, a person, a person, a person, a person","([], [])", A beautiful red wine glass with a gold rim.,"(['Red', 'Gold'], [])"," A person, a person, a person, a person, a person, a person, a person, a person, a person, a person, a person","([], [])", A person with a red dress.,"(['Red'], [])", A red wine glass with a white figure on it.,"(['Red', 'White'], [])", A beautiful red and white vase with a white figure.,"(['Red', 'White'], [])"," A beautiful woman, in the middle of the image, with a flower in her hand.","([], [])","(70, 0)",70,0.21798948579031271,0,0.15229419323563126
data/images/noun/2003-600.jpg,2003,fidget toy,59,74,19,0, A bunch of blocks of different colors.,"([], [])", A set of interlocking cubes.,"([], [])", A: A : A : A : A : A : A : A : A : A : A : A : A : A : A : A :,"([], [])", A set of colorful blocks.,"([], [])", I see a child playing with a set of blocks.,"([], [])", The image is a representation of a cube with a twist.,"([], [])", A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,"([], [])", A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,"([], [])", The image is a representation of the letter Q.,"([], [])", A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,"([], [])","(0, 0)",0,0.21798948579031271,0,0.15229419323563126
data/images/noun/2004-600.jpg,2004,pencil sharpener,41,70,48,52," A person with a yellow cap, a red body and a red arm.","(['Red', 'Yellow'], [])", The image shows a man wearing a hat.,"([], [])", A man with a red hat and a white shirt.,"(['Red', 'White'], [])", A person with a white helmet and a yellow helmet.,"(['Yellow', 'White'], [])", A man wearing a pair of glasses.,"([], [])", A man and a woman are holding hands.,"([], [])", A man with a big nose.,"([], [])", A yellow ball with a red dot in the middle.,"(['Red', 'Yellow'], [])", A yellow ball with a white stripe and a white dot.,"(['Yellow', 'White'], [])", A circle with a dot in the middle.,"([], [])","(50, 0)",50,0.21798948579031271,0,0.15229419323563126
data/images/noun/2005-600.jpg,2005,fish tank stone,6,25,81,13," A crown, which is a symbol of royalty.","([], [])"," The image is a rainbow, but the colors are not the same as the rainbow.","([], [])", A crown.,"([], [])", A gold crown.,"(['Gold'], [])", The image is a rainbow of colors.,"([], [])", The image shows a white crown with a pink crown on top of it.,"(['Pink', 'White'], [])", The image is a 3D rendering of a pink and white feather.,"(['Pink', 'White'], [])", I see a crown with a blue background.,"(['Blue'], [])", A golden crown!,"(['Gold'], [])", The image is a 3D model of a skull.,"([], [])","(50, 0)",50,0.21798948579031271,0,0.15229419323563126
data/images/noun/2006-600.jpg,2006,space ship top,34,64,31,3, The image shows the model of the ship in the game.,"([], [])", This is a model of the space shuttle.,"([], [])", A small model of a space shuttle.,"([], [])", This is a close up of the space shuttle in the movie.,"([], [])", This is a photo of a model of a spacecraft.,"([], [])", This is a model of the spacecraft.,"([], [])"," A rocket ship, the main character of the film.","([], [])"," The image shows the model of the spacecraft, which is a small model of the spacecraft.","([], [])"," A spacecraft, the first one in the series.","([], [])", A model of a spacecraft.,"([], [])","(0, 0)",0,0.21798948579031271,0,0.15229419323563126
data/images/noun/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6, A ball with a red dot on it.,"(['Red'], [])", A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,"([], [])"," A red ball, a white ball, a yellow ball, a blue ball, a green ball, a red ball, a white ball, a yellow ball,","(['Red', 'Yellow', 'Green', 'Blue', 'White'], [])", A rubber ball with a hole in it.,"([], ['Rubber'])", A rubber ball.,"([], ['Rubber'])", A small red ball.,"(['Red'], [])", A red ball in a black container.,"(['Red', 'Black'], [])"," A red ball, which is used for measuring the volume of a liquid.","(['Red'], [])", A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,"([], [])", A rubber ball with a red dot on it.,"(['Red'], ['Rubber'])","(60, 30)",60,0.21798948579031271,30,0.15229419323563126
data/images/noun/2008.jpg,2008,curlers formed together,34,25,48,16, I see a bunch of people in a line.,"([], [])", A pair of arms reaching out from the center of the image.,"([], [])", A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,"([], [])", The image shows a pair of hands with a red and blue colored ball in each hand.,"(['Red', 'Blue'], [])"," A ball, a ball, a ball, a ball, a ball, a ball, a ball, a ball, a ball, a ball, a ball","([], [])", I see a lot of colors and a lot of lines.,"([], [])", The image is a representation of the relationship between the forces of the system.,"([], [])"," I see a person with a long, thin, and flexible arm.","([], [])", I see a man with a cane and a woman with a walking stick.,"([], [])", The image shows a person with a cane.,"([], [])","(10, 0)",10,0.21798948579031271,0,0.15229419323563126
data/images/noun/2009-600.jpg,2009,dog toy,47,78,65,45," A plant, in the image, it has a stem, leaves, and a flower.","([], [])", A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,"([], [])", A ball of yarn,"([], [])", A ball of red yarn with a green and white ball of yarn on it.,"(['Red', 'Green', 'White'], [])", A coral reef.,"(['Coral'], [])", A ball of ice!,"([], [])", A ball of yarn,"([], [])", I see a flower in the image.,"([], [])", A 3D model of a plant.,"([], [])", A ball of yarn,"([], [])","(20, 0)",20,0.21798948579031271,0,0.15229419323563126
data/images/noun/2010-600.jpg,2010,dog toy pet shop,66,52,50,25, I see a cute little ball of fur with a cute little tail and a cute little nose.,"([], [])", A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,"([], [])", A red ball with a white stripe.,"(['Red', 'White'], [])", A colorful ball with a hole in it.,"([], [])", A 3d model of a diamond.,"([], [])", A beautiful and colorful flower.,"([], [])", A 3D model of a dog in a 3D environment.,"([], [])", A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,"([], [])", A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,"([], [])", A dog!,"([], [])","(10, 0)",10,0.21798948579031271,0,0.15229419323563126
