image,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,fromage_output
data/images/noun/2001-600.jpg,2001,bee have trap,19,50,66,14,"[['the objects are in the image.'], ['the objects are in the image.'], ['the objects are : \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\'], ['a: b: c: d: e: f: g: h: i: j: k: l: m: n: o: p:'], ['the objects are : \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\'], ['the objects are shown in the image.'], ['the objects are in the image.'], ['the objects are in the image.'], ['the objects are shown in the image.'], ['the objects are in the image.'], ['the objects are in the image.'], ['the objects are in the image.'], ['the objects are in the image.'], ['the objects are a set of 3 objects.'], ['a: the objects in the image are : \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\'], ['the objects are a set of balls.'], ['the objects are in the image.'], ['the objects in the image are : \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\'], ['the objects in the image are : \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\'], ['the objects in the image are : \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\'], ['a : the object in the image is a ball.'], ['the objects are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n'], ['the objects are : \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\'], ['the objects in the image are a set of two objects.'], ['the objects in the image are : \\n1.'], ['the objects are in the image.'], ['the objects are in the image.'], ['the objects are in the image.'], ['the objects are : - a ball - a cube - a sphere - a pyramid - a pyramid with a ball - a pyramid with a cube - a pyramid with'], ['the objects are in the image.'], ['the objects are in the image.'], ['the objects are in the image.'], ['the objects are in the image.'], ['the objects are in the image.'], ['the objects in the image are the following : \\n1.'], ['the objects are in the image.'], ['the objects in the image are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['the objects are in the image.'], ['the objects in the image are : \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\'], ['the objects are in the image.']]"
data/images/noun/2002-600.jpg,2002,bookend,22,83,59,9,"[['they are all made of metal.'], ['the objects are in the image.'], ['the objects in the image are : \\n1.'], ['the objects in the image are : \\n1.'], ['the objects are in the image.'], ['they are all made of red glass.'], ['the objects are in the image.'], ['the objects are in the image.'], ['the objects in the image are a set of three red and white ceramic vases.'], ['the objects are in the image.'], ['the objects in the image are the following : \\n1.'], ['the objects are in the image.'], ['the objects are in the image.'], ['the objects are : a wine glass, a wine bottle, a wine cork, a wine stopper, a wine bottle cap, a wine bottle stopper'], ['the objects in the image are : \\n1.'], ['the objects are a set of 3 figurines, each one with a different color.'], ['the objects are shown in the image.'], ['the objects are in the image.'], ['the objects are in the image.'], ['the objects are in the image.'], ['the objects in the image are red and white.'], ['the objects in the image are : \\n1.'], ['they are : 1.'], ['the objects are a red wine glass, a blue wine glass, a red wine glass and a white wine glass.'], ['the objects are : - a bowl - a cup - a vase - a pendant - a ring - a bracelet - a necklace - a key - a'], ['the objects in the image are a wine glass, a wine stopper, a wine bottle, a wine cork, a wine bottle cap, a wine bottle'], ['the objects are a set of figurines.'], ['the objects are in the form of a sculpture.'], ['the objects are in the image.'], ['the objects in the image are a sculpture of a man, a vase and a flower.'], ['the objects are in the image.'], ['the objects in the image are red, white, and blue.'], ['the objects in the image are : \\n1.'], ['the objects are in the image.'], ['the objects in the image are : 1.'], ['the objects in the image are a sculpture, a vase and a flower.'], ['they are all made of metal.'], ['the objects are in the form of a vase.'], ['the objects in the image are a set of four figurines.'], ['they are all in a row.']]"
data/images/noun/2003-600.jpg,2003,fidget toy,59,74,19,0,"[['the objects are a set of cubes.'], ['the objects are a set of cubes.'], ['the objects are a set of cubes.'], ['the objects are named in the following order: \\n1.'], ['the objects are in a row.'], ['the objects are in a line and are colored in the rainbow.'], ['the objects are in the shape of a triangle.'], ['the objects are a set of colorful cubes.'], ['the objects are cubes.'], ['the objects are a set of wooden blocks.'], ['the objects are in the shape of a triangle.'], ['the objects are in the image.'], ['the objects are in the image.'], ['the objects in the image are the same color and are arranged in a line.'], ['the objects in the image are called the blocks.'], ['the objects are a set of cubes.'], ['the objects are a set of cubes.'], ['the objects are in a cube.'], ['the objects are in the shape of a cube.'], ['the objects in the image are a set of wooden blocks arranged in a square pattern.'], ['the objects are in the shape of a cube.'], ['the objects in the image are a set of cubes.'], ['the objects are in a series of wooden blocks.'], ['the objects in the image are a set of cubes.'], ['the objects are a set of wooden cubes arranged in a triangular shape.'], ['the objects are the following: \\na: 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22'], ['the objects are in the shape of a triangle.'], ['the objects are in the image.'], ['the objects are blocks of wood.'], ['the objects are cubes.'], ['the objects are in the image.'], ['the objects in the image are a set of wooden blocks.'], ['the objects are a set of cubes with different colors.'], ['the objects are in a row.'], ['the objects are in the image.'], ['the objects are the same color and have the same shape.'], ['the objects are cubes.'], ['the objects are a set of cubes and a set of cubes with a hole in the middle.'], ['the objects are in the shape of a triangle.'], ['the objects are the following : \\na: 1 - a cube \\na: 2 - a cylinder \\na: 3 - a pyramid \\n']]"
data/images/noun/2004-600.jpg,2004,pencil sharpener,41,70,48,52,"[['the objects are : - a ball - a ball with a hole - a ball with a hole with a ball - a ball with a hole with a ball -'], ['the objects in the image are : \\n1.'], ['the objects are in the image.'], ['the objects are : \\n1.'], ['the objects are in the image.'], ['a: b: c: d: e: f: g: h: i: j: k: l: m: n: o: p:'], ['the objects in the image are : \\n1.'], ['the objects in the image are : \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\'], ['the objects in the image are a set of objects that are used in the game.'], ['the objects are in the image.'], ['a: the objects are in the image.'], ['the objects are in the image.'], ['the objects are shown in the image.'], ['the objects are in the image.'], ['the objects are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n'], ['the objects are in the image.'], ['the objects are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n'], ['the objects in the image are : \\n \\n1.'], ['the objects are : - \\na: a: a : a : a : a : a : a : a : a : a : a : a'], ['the objects in the image are a set of balls.'], ['the objects in the image are : \\n1.'], ['the objects in the image are : \\n\\n1.'], ['a: the objects in the image are a ball, a stick, a stick, a ball, a ball, a stick, a ball, a stick,'], ['the objects are : \\n1.'], ['a: b: c: d: e: f: g: h: i: j: k: l: m: n: o: p:'], ['the objects in the image are : \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\'], ['the objects in the image are : \\n1.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a: the objects are in the image.'], ['the objects are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n'], ['the objects are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n'], ['the objects are shown in the image.'], ['the objects in the image are : \\n1.'], ['the objects in the image are a set of objects.'], ['the objects in the image are : \\n1.'], ['the objects in the image are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['the objects in the image are : \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\'], ['the objects in the image are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['the objects in the image are a.'], ['the objects are shown in the image.']]"
data/images/noun/2005-600.jpg,2005,fish tank stone,6,25,81,13,"[['the objects in the image are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['the objects in the image are : \\n1.'], ['the objects in the image are : - a glass bottle with a gold cap - a metal plate with a gold decoration - a metal plate with a gold decoration -'], ['the objects are : \\n1.'], ['the objects in the image are: a flower, a bird, a rainbow, a rainbow, a rainbow, a rainbow, a rainbow, a rainbow, a'], ['the objects in the image are : 1.'], ['the objects are in the image.'], ['the objects in the image are : \\n1.'], ['the objects in the image are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['the objects in the image are : \\n1.'], ['the objects are in the image.'], ['the objects are : - a small pink flower - a small pink flower with a pink stem - a small pink flower with a pink stem with a pink flower on'], ['the objects in the image are : \\n1.'], ['the objects in the image are : \\n1.'], ['the objects are : \\n - a pink and white flower \\n - a blue and white flower \\n - a white and pink flower \\n - a'], ['left to right: 1.'], ['the objects in the image are : - a: a feather - b: a leaf - c: a flower - d: a leaf - e: a flower'], ['the objects are : - a crown - a skull - a cross - a crown - a skull - a cross - a crown - a skull - a cross -'], ['the objects in the image are : \\n1.'], ['the objects in the image are : \\n1.'], ['the objects in the image are: 1.'], ['the objects are shown in the image.'], ['1.'], ['the objects in the image are: \\n1.'], ['the objects in the image are a pair of white and pink feather boas.'], ['the objects are in the image.'], ['the objects in the image are : \\n1.'], ['left to right : - 3d - 1 - 1 - 1 - 1 - 1 - 1 - 1 - 1 - 1 - 1 - 1 - 1 -'], ['the objects in the image are : \\n1.'], ['the objects in the image are : \\n \\n a) a flower b) a bird c) a tree d) a rock e) a leaf f'], ['the objects are in the image.'], ['the objects in the image are : \\n \\n1.'], ['the objects in the image are : - the crown - the cross - the crown - the cross - the crown - the crown - the cross - the crown -'], ['the objects are in the image.'], ['the objects in the image are : \\n1.'], ['left : the first object is the left side of the image.'], ['the objects in the image are: 1.'], ['the objects in the image are : \\n - a large pink flower \\n - a small pink flower \\n - a small pink flower with a green stem'], ['left : the object is a pink flower.'], ['the objects in the image are a pair of wings.']]"
data/images/noun/2006-600.jpg,2006,space ship top,34,64,31,3,"[['name the objects in the image.'], ['the objects are in the image.'], ['name the objects in the image.'], ['name the objects in the image.'], ['name the objects in the image.'], ['name the objects in the image.'], ['the objects are in the image.'], ['name the objects in the image.'], ['name the objects in the image.'], ['name the objects in the image.'], ['name the objects in the image.'], ['name the objects in the image.'], ['the objects in the image are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['this is a picture of the objects in the image.'], ['name the objects in the image.'], ['name the objects in the image.'], ['the objects are in the image.'], ['name the objects in the image.'], ['the object in the image is a model of the space shuttle.'], ['name the objects in the image.'], ['name the objects in the image.'], ['name the objects in the image.'], ['name the objects in the image.'], ['name the objects in the image.'], ['name the objects in the image.'], ['name the objects in the image.'], ['this is a screenshot from the game.'], ['name the objects in the image.'], ['name the objects in the image.'], ['the objects in the image are named in the following order : \\na: 1st : spacecraft \\na: 2nd : spacecraft \\n'], ['name the objects in the image.'], ['name the objects in the image.'], ['name the objects in the image.'], ['the objects in the image are the following: \\na: 1st object is a model of a ship.'], ['the object on the left is a small model of the space shuttle.'], ['the objects in the image are called.'], ['the objects in the image are : \\na: 1.'], ['this is a screenshot of the game.'], ['the objects in the image are part of a set of objects that are used in the game.'], ['name the objects in the image.']]"
data/images/noun/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,"[['the objects are in the image.'], ['a: the objects are a ball, a stick, a rope, a stick, a rope, a ball, a ball, a stick, a rope,'], ['the objects in the image are : \\na: a: a: a: a: a: a: a: a: a: a: a'], ['the objects in the image are a set of three objects.'], ['1.'], ['1.'], ['1.'], ['the objects are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n'], ['the objects are in the image.'], ['the objects are : \\n - a ball \\n - a stick \\n - a cone \\n - a funnel \\n - a ring \\n -'], ['the objects are in the image.'], ['the objects in the image are : \\n1.'], ['the objects in the image are : \\na: the objects in the image are : \\na: the objects in the image are : \\na'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['1.'], ['the objects are a set of four.'], ['the objects in the image are : \\n1.'], ['the objects in the image are : \\n \\n 1.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['the objects are shown in the image.'], ['the objects in the image are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['the objects are : \\n - a rubber ball \\n - a rubber ball with a hole \\n - a rubber ball with a hole with a string \\'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['the objects in the image are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['the objects are in the image.'], ['the objects in the image are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['1.'], ['the objects are : \\n - a ball \\n - a cylinder \\n - a cone \\n - a stick \\n - a ring \\n -'], ['a: the objects are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n'], ['the objects in the image are.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['the objects in the image are : \\n1.'], ['the objects are a.'], ['the objects are in the image.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['the objects in the image are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['the objects in the image are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['1.']]"
data/images/noun/2008.jpg,2008,curlers formed together,34,25,48,16,"[['the objects in the image are : 1.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['they are a set of plastic objects that are used for teaching the concept of friction.'], ['the objects are made of plastic.'], ['the objects are in the following order : \\n1.'], ['they are called.'], ['the objects in the image are called the : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['the objects are cylinders with a rounded end.'], ['the objects in the image are : \\n1.'], ['the objects are in the image.'], ['a: the objects are in the image.'], ['they are the following : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['the objects in the image are called.'], ['the objects are in the image.'], ['a: they are called a pair of arms.'], ['they are all made of plastic.'], ['the objects are in the image.'], ['the objects are in the shape of a pipe.'], ['a: the objects in the image are : \\n1.'], ['the objects are : \\n1.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['the objects are in the image.'], ['they are : \\n1.'], ['a: they are cylinders.'], ['the objects are made of metal and are used to hold the ends of the wire.'], ['the objects are : 1.'], ['a: the objects are cylinders.'], ['1.'], ['the objects are cylinders.'], ['the objects are a set of metal objects.'], ['the objects are a set of 4 round metal objects.'], ['1.'], ['the objects are a set of four cylinders.'], ['the objects are in the image.'], ['the objects in the image are a set of three.'], ['the objects in the image are called.'], ['1.'], ['the objects are in the following order : \\n1.'], ['the objects are in the image.'], ['the objects are : - a : a rubber band - b : a rubber band - c : a rubber band - d : a rubber band - e : a']]"
data/images/noun/2009-600.jpg,2009,dog toy,47,78,65,45,"[['1.'], ['the objects in the image are.'], ['a: b: c: d: e: f: g: h: i: j: k: l: m: n: o: p:'], ['the objects in the image are \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n'], ['the objects in the image are: \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['1.'], ['1.'], ['the objects in the image are \\n\\n1.'], ['the objects in the image are : \\n\\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['the objects in the image are \\n1.'], ['the objects are : \\n1.'], ['the objects in the image are \\n\\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n'], ['the objects are in the image.'], ['the objects in the image are \\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n'], ['the objects in the image are \\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n'], ['a: b: c: d: e: f: g: h: i: j: k: l: m: n: o: p:'], ['1.'], ['the objects are : \\n1.'], ['the objects are : \\n1.'], ['the objects are in the image.'], ['1.'], ['the objects in the image are \\na: \\na: \\na: \\na: \\na: \\na: \\n'], ['the objects in the image are.'], ['the objects are in the image.'], ['1.'], ['the objects are in the image.'], ['the objects in the image are \\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n'], ['a: b: c: d: e: f: g: h: i: j: k: l: m: n: o: p:'], ['1.'], ['the objects in the image are \\n1.'], ['1.'], ['the objects in the image are \\n1.'], ['the objects are in the image.'], ['the objects are in the image.'], ['the objects in the image are.'], ['the objects in the image are : \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\ \\'], ['1.'], ['the objects in the image are: \\n\\n1.'], ['the objects are \\n1.'], ['the objects are in the image.']]"
data/images/noun/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,"[['1.'], ['name the objects in the image.'], ['name the objects in the image.'], ['name the objects in the image.'], ['the objects in the image are a red ball, a blue ball, a yellow ball, a green ball, a white ball, a blue ball, a red'], ['the objects in the image are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['1.'], ['1.'], ['the objects in the image are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['name the objects in the image.'], ['name the objects in the image.'], ['the objects in the image are : \\n1.'], ['name the objects in the image.'], ['the objects in the image are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['the objects in the image are : \\n1.'], ['1.'], ['the objects in the image are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['the objects are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n'], ['name the objects in the image.'], ['name the objects in the image.'], ['the objects in the image are : \\n1.'], ['the objects are in the image.'], ['name the objects in the image.'], ['1.'], ['name the objects in the image.'], ['1.'], ['1.'], ['1.'], ['name the objects in the image.'], ['the objects are : \\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n'], ['name the objects in the image.'], ['name the objects in the image.'], ['the objects in the image are : \\n1.'], ['the objects in the image are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['1.'], ['the objects in the image are: \\n1.'], ['name the objects in the image.'], ['the objects are in the image.'], ['name the objects in the image.'], ['\\nname the objects in the image.']]"
