Unnamed: 0,vg_image_id,vg_object_id,image,link_vg,vg_obj_name,vg_domain,vg_synset,vg_same_object,vg_adequacy_mean,vg_inadequacy_type,vg_image_name,vg_cat,clusters,topname,adequacy_mean,inadequacy_type,total_responses,perc_top,H,N,domain,split,same_object,vg_bbox_xywh,mn_bbox_xywh,human_nouns,blip2_output
18193,2387724,1273336,http://manynames.upf.edu//2387724_1273336_zebra.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2387724.jpg,zebra,animals_plants,ungulate.n.01,{},1.0,{'None': 1.0},2387724.jpg,animal,[{'33': ['zebra']}],zebra,{'zebra': 1.0},{'zebra': {'None': 1.0}},33,1.0,0.0,1,animals_plants,train,{'zebra': {'zebra': 1.0}},"[0, 25, 437, 234]","[0, 23, 529, 286]","{'zebra': 33, 'animal': 1}","[['a zebra'], ['the zebra.'], ['a zebra, standing in the grass.'], ['this is a zebra lying down on the grass'], ['zebra, standing on grass']]"
1167,2315536,1055732,http://manynames.upf.edu//2315536_1055732_cat.png,https://cs.stanford.edu/people/rak248/VG_100K/2315536.jpg,cat,animals_plants,feline.n.01,{},1.0,{'None': 1.0},2315536.jpg,animal,"[{'32': ['cat']}, {'3': ['bag']}]",cat,"{'bag': 0.17, 'cat': 1.0}","{'bag': {'bounding box': 1.0}, 'cat': {'None': 1.0}}",32,1.0,0.0,1,animals_plants,train,"{'bag': {'bag': 1.0, 'cat': 0.0}, 'cat': {'bag': 0.0, 'cat': 1.0}}","[171, 16, 293, 318]","[197, 12, 356, 386]","{'cat': 32, 'bag': 3}","[['the object in the red box with the first name that comes to mind is a cat.'], ['red leather bag with cat in it'], ['red purse'], ['the cat'], ['a kitten inside a purse']]"
3293,2326378,2808821,http://manynames.upf.edu//2326378_2808821_sheep.png,https://cs.stanford.edu/people/rak248/VG_100K/2326378.jpg,sheep,animals_plants,ungulate.n.01,{'animal': 1.0},1.0,{'None': 1.0},2326378.jpg,animal,"[{'31': ['sheep', 'animal']}]",sheep,"{'sheep': 1.0, 'animal': 1.0}","{'sheep': {'None': 1.0}, 'animal': {'None': 1.0}}",31,0.935483870967742,0.345117314944953,2,animals_plants,train,"{'sheep': {'sheep': 1.0, 'animal': 1.0}, 'animal': {'sheep': 1.0, 'animal': 1.0}}","[127, 120, 209, 215]","[145, 136, 257, 264]","{'sheep': 29, 'animal': 2, 't-shirt': 1, 'pant': 1}","[['a person shearing a sheep'], ['sheep'], ['sheep shearing'], ['an old man with a big white beard shearing a sheep'], ['sheep.']]"
2950,2324227,2970972,http://manynames.upf.edu//2324227_2970972_giraffe.png,https://cs.stanford.edu/people/rak248/VG_100K/2324227.jpg,giraffe,animals_plants,ungulate.n.01,"{'animal': 0.75, 'giraffe': 1.0}",1.0,{'None': 1.0},2324227.jpg,animal,"[{'31': ['giraffe', 'animal']}]",giraffe,"{'giraffe': 1.0, 'animal': 0.88}","{'giraffe': {'None': 1.0}, 'animal': {'None': 0.8, 'other': 0.2}}",31,0.935483870967742,0.345117314944953,2,animals_plants,train,"{'giraffe': {'giraffe': 1.0, 'animal': 0.75}, 'animal': {'giraffe': 0.75, 'animal': 1.0}}","[135, 75, 138, 299]","[154, 82, 171, 363]","{'giraffe': 29, 'animal': 2}","[['a giraffe, with a red box in it, in a zoo'], ['giraffe feeding at a zoo'], ['giraffe'], ['giraffe eating yellow thing'], ['giraffe with yellow object in its mouth']]"
16503,2380237,1349065,http://manynames.upf.edu//2380237_1349065_dog.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2380237.jpg,dog,animals_plants,dog.n.01,{},1.0,{'None': 1.0},2380237.jpg,animal,[{'35': ['dog']}],dog,{'dog': 1.0},{'dog': {'None': 1.0}},35,1.0,0.0,1,animals_plants,train,{'dog': {'dog': 1.0}},"[41, 77, 328, 194]","[42, 85, 399, 239]","{'dog': 35, 'animal': 1}","[['the dog chasing the frisbee'], ['dog catching a frisbee'], [""dog's mouth""], ['a dog with a frisbee in his mouth'], ['a dog']]"
2711,2322899,3351088,http://manynames.upf.edu//2322899_3351088_sheep.png,https://cs.stanford.edu/people/rak248/VG_100K/2322899.jpg,sheep,animals_plants,ungulate.n.01,"{'lamb': 1.0, 'goat': 0.5, 'sheep': 1.0}",1.0,{'None': 1.0},2322899.jpg,animal,"[{'36': ['lamb', 'sheep', 'goat']}]",sheep,"{'sheep': 1.0, 'lamb': 0.88, 'goat': 0.5}","{'sheep': {'None': 1.0}, 'lamb': {'None': 0.8, 'bounding box': 0.2}, 'goat': {'visual': 1.0}}",36,0.8333333333333334,0.8030717273241024,3,animals_plants,test,"{'sheep': {'sheep': 1.0, 'lamb': 1.0, 'goat': 0.5}, 'lamb': {'sheep': 1.0, 'lamb': 1.0, 'goat': 0.5}, 'goat': {'sheep': 0.5, 'lamb': 0.5, 'goat': 1.0}}","[237, 155, 263, 177]","[276, 178, 321, 218]","{'sheep': 30, 'lamb': 4, 'goat': 2}","[['sheep'], ['sheep'], ['a sheep'], ['sheep, shearer, sheepskin, shepherd'], ['sheep']]"
7615,2347522,890016,http://manynames.upf.edu//2347522_890016_zebra.png,https://cs.stanford.edu/people/rak248/VG_100K/2347522.jpg,zebra,animals_plants,ungulate.n.01,{},1.0,{'None': 1.0},2347522.jpg,animal,[{'29': ['zebra']}],zebra,{'zebra': 1.0},{'zebra': {'None': 1.0}},29,1.0,0.0,1,animals_plants,val,{'zebra': {'zebra': 1.0}},"[19, 75, 424, 300]","[16, 82, 512, 365]","{'zebra': 29, 'giraffe': 1}","[['two zebras'], ['the zebra'], ['the black and white striped zebra'], ['the second person is a female.'], ['a zebra with its head turned toward the camera']]"
11130,2360751,786174,http://manynames.upf.edu//2360751_786174_cat.png,https://cs.stanford.edu/people/rak248/VG_100K/2360751.jpg,cat,animals_plants,feline.n.01,{},1.0,{'None': 1.0},2360751.jpg,animal,[{'32': ['cat']}],cat,{'cat': 1.0},{'cat': {'None': 1.0}},32,1.0,0.0,1,animals_plants,train,{'cat': {'cat': 1.0}},"[121, 110, 244, 198]","[137, 124, 298, 243]","{'cat': 32, 'animal': 1}","[['my cat.'], ['a cat'], ['cat'], ['the cat'], ['the cat']]"
2676,2322781,2763680,http://manynames.upf.edu//2322781_2763680_dog.png,https://cs.stanford.edu/people/rak248/VG_100K/2322781.jpg,bird,animals_plants,bird.n.01,{'dog': 0.67},0.33,"{'other': 0.3, 'visual': 0.7}",2322781.jpg,animal,[{'33': ['dog']}],dog,{'dog': 1.0},{'dog': {'None': 1.0}},33,1.0,0.0,1,animals_plants,train,{'dog': {'dog': 1.0}},"[163, 107, 199, 215]","[188, 121, 245, 264]","{'dog': 33, 'puppy': 1, 'baby dog': 1, 'pillow': 1}","[['my dog'], [''], ['the dog'], ['dog'], ['']]"
16324,2379523,552269,http://manynames.upf.edu//2379523_552269_zebra.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2379523.jpg,zebra,animals_plants,ungulate.n.01,{},1.0,{'None': 1.0},2379523.jpg,animal,[{'35': ['zebra']}],zebra,{'zebra': 1.0},{'zebra': {'None': 1.0}},35,1.0,0.0,1,animals_plants,train,{'zebra': {'zebra': 1.0}},"[90, 18, 377, 273]","[100, 14, 456, 332]","{'zebra': 35, 'carse': 1}","[['zebra'], ['zebra in a field'], ['zebra'], ['a black and white zebra'], ['the red rectangle is the zebra']]"
