index,image_file,blip2_filtered_output
2,data/images/quantifier/test_2.png,"['some', 'the smaller part', 'few', 'all', 'most', 'none', 'all', 'the smaller part', 'all', 'none', 'none', 'most', 'none', 'some', 'none', 'none', 'none', 'none', 'all', 'most', 'few']"
5,data/images/quantifier/test_5.png,"['all', 'all', 'none', 'all', 'none', 'many', 'all', 'some', 'none', 'the smaller part', 'all', 'few', 'all', 'none', 'almost all', 'many', 'many', 'the smaller part', 'all', 'some', 'the smaller part']"
13,data/images/quantifier/test_13.png,"['some', 'almost all', 'all', 'none', 'some', 'many', 'most', 'some', 'none', 'all', 'all', 'all', 'the smaller part', 'all', 'none', 'the smaller part', 'many', 'many', 'the smaller part', 'few', 'the smaller part']"
16,data/images/quantifier/test_16.png,"['almost none', 'all', 'none', 'the smaller part', 'almost none', 'the smaller part', 'none', 'none', 'none', 'none', 'all', 'most', 'none', 'almost none', 'few', 'some', 'all', 'the smaller part', 'some', 'almost none', 'almost none']"
20,data/images/quantifier/test_20.png,"['almost all', 'all', 'all', 'all', 'many', 'some', 'some', 'most', 'many', 'all', 'almost none', 'none', 'all', 'none', 'some', 'all', 'none', 'some', 'all', 'all', 'many']"
24,data/images/quantifier/test_24.png,"['all', 'none', 'all', 'few', 'all', 'almost all', 'all', 'some', 'none', 'some', 'all', 'almost none', 'none', 'all', 'all', 'most', 'many', 'almost all', 'none', 'all', 'some']"
25,data/images/quantifier/test_25.png,"['most', 'some', 'the smaller part', 'all', 'almost none', 'most', 'few', 'all', 'none', 'all', 'none', 'almost none', 'the smaller part', 'all', 'all', 'some', 'none', 'all', 'the smaller part', 'all', 'all']"
29,data/images/quantifier/test_29.png,"['all', 'all', 'almost all', 'almost all', 'most', 'the smaller part', 'all', 'almost all', 'none', 'many', 'all', 'most', 'few', 'most', 'the smaller part', 'some', 'many', 'few', 'almost none', 'none', 'many']"
37,data/images/quantifier/test_37.png,"['all', 'the smaller part', 'all', 'all', 'some', 'none', 'almost all', 'all', 'none', 'all', 'many', 'many', 'most', 'all', 'all', 'none', 'all', 'many', 'some', 'almost all', 'none']"
44,data/images/quantifier/test_44.png,"['the smaller part', 'most', 'none', 'most', 'none', 'all', 'none', 'the smaller part', 'few', 'almost all', 'most', 'all', 'almost none', 'none', 'none', 'few', 'all', 'some', 'none', 'some', 'all']"
46,data/images/quantifier/test_46.png,"['almost all', 'none', 'none', 'all', 'the smaller part', 'many', 'most', 'some', 'the smaller part', 'none', 'many', 'all', 'most', 'none', 'the smaller part', 'many', 'all', 'the smaller part', 'most', 'all', 'some']"
49,data/images/quantifier/test_49.png,"['many', 'many', 'all', 'all', 'all', 'all', 'almost all', 'most', 'almost none', 'most', 'the smaller part', 'all', 'all', 'all', 'the smaller part', 'none', 'few', 'most', 'some', 'almost none', 'all']"
52,data/images/quantifier/test_52.png,"['few', 'none', 'the smaller part', 'the smaller part', 'most', 'some', 'none', 'the smaller part', 'all', 'none', 'almost none', 'few', 'few', 'most', 'the smaller part', 'all', 'many', 'the smaller part', 'all', 'all', 'the smaller part']"
56,data/images/quantifier/test_56.png,"['most', 'all', 'almost none', 'all', 'many', 'all', 'almost none', 'the smaller part', 'few', 'some', 'none', 'the smaller part', 'none', 'none', 'many', 'few', 'the smaller part', 'none', 'almost all', 'the smaller part', 'the smaller part']"
60,data/images/quantifier/test_60.png,"['many', 'few', 'few', 'none', 'all', 'none', 'most', 'some', 'many', 'all', 'the smaller part', 'all', 'none', 'all', 'most', 'none', 'all', 'all', 'many', 'few', 'many']"
63,data/images/quantifier/test_63.png,"['none', 'the smaller part', 'none', 'all', 'none', 'the smaller part', 'all', 'none', 'few', 'almost none', 'most', 'most', 'none', 'all', 'some', 'the smaller part', 'some', 'some', 'few', 'none', 'the smaller part']"
