image,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,fromage_output
data/images/noun/2001-600.jpg,2001,bee have trap,19,50,66,14,"[['a ball of plastic in a glass of water.'], ['the image is a picture of a person with a pair of glasses.'], ['the image is a picture of a man with a pair of glasses.'], ['a person with a smile on his face.'], ['a bunch of balls!']]"
data/images/noun/2002-600.jpg,2002,bookend,22,83,59,9,"[['a red flower, a white bird, a black cat, a white cat, a red bird, a white bird, a black cat, a red bird,'], ['a person in a red dress.'], ['a person holding a red flower.'], ['a red and white ceramic sculpture of a woman holding a flower.'], ['a man holding a flower.']]"
data/images/noun/2003-600.jpg,2003,fidget toy,59,74,19,0,"[['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a cube with a line through it.'], ['i see a colorful toy with a colorful rope.']]"
data/images/noun/2004-600.jpg,2004,pencil sharpener,41,70,48,52,"[['a lot of people are looking for a new product that can help them to get rid of their wrinkles.'], ['a man with a fishing rod and a hook.'], ['a fish with a red spot on its head.'], ['a fish swimming in a pond.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:']]"
data/images/noun/2005-600.jpg,2005,fish tank stone,6,25,81,13,"[['a crown of gold.'], ['a beautiful flower.'], ['a rainbow of colors, a rainbow of colors, a rainbow of colors, a rainbow of colors, a rainbow of colors, a rainbow of colors, a rainbow'], ['a lot of people are seeing a lot of different things in this image.'], ['the image is a representation of a rainbow.']]"
data/images/noun/2006-600.jpg,2006,space ship top,34,64,31,3,"[['a model of the spacecraft.'], ['the image shows the first prototype of the spacecraft.'], ['a spacecraft.'], ['a model of the spacecraft.'], ['a spacecraft in orbit around the earth.']]"
data/images/noun/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,"[['a ball with a hole in it.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a ball with a red dot on it.'], ['a ball, a ball, a ball.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:']]"
data/images/noun/2008.jpg,2008,curlers formed together,34,25,48,16,"[['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a man with a gun.'], ['i see a person with a blue head and a white body.'], ['a ball of wire.'], ['a ball of rubber in a box.']]"
data/images/noun/2009-600.jpg,2009,dog toy,47,78,65,45,"[['a 3d model of a dog.'], ['a 3d model of a plant'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a 3d model of a dog, made of polymer clay.'], ['a ball of ice, frozen in the shape of a ball.']]"
data/images/noun/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,"[['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a red ball with a white stripe.'], ['a red ball with a white dot on it.'], ['a red and white ball with a hole in the middle.'], ['a 3d model of a dog.']]"
