image,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,blip2_output
data/images/noun/2001-600.jpg,2001,bee have trap,19,50,66,14,"[['the image shows a yellow plastic toy'], ['the image is of an orange water bottle'], ['a round orange plastic toy with a black hole in it'], ['an orange plastic toy that has a large hole on top'], ['an egg shape with a small hole at the top']]"
data/images/noun/2002-600.jpg,2002,bookend,22,83,59,9,"[['red abstract sculpture'], ['in the image you can see a red vase on a square base'], ['red abstract sculpture - photo 4'], ['- a red metal sculpture with an artistic form of a wave'], ['the abstract sculpture is in red.']]"
data/images/noun/2003-600.jpg,2003,fidget toy,59,74,19,0,"[['q: what do you see in the image?'], [""the letters 'e' 'g' and 'd'""], ['a multi - colored blocks and a stack'], ['a rainbow-colored wooden letter, and some blocks stacked together'], ['a block of toy blocks stacked on top of each other']]"
data/images/noun/2004-600.jpg,2004,pencil sharpener,41,70,48,52,"[['q: what do you see in the image?'], ['a yellow plastic ball with a white surface'], ['this is a photo of a colorful yellow and orange plastic object'], ['- a: i see a round orange plastic ball'], ['the image shows an orange, yellow, and white object with an oval shape.']]"
data/images/noun/2005-600.jpg,2005,fish tank stone,6,25,81,13,"[['i see a rainbow tie dyed piece of cake'], ['i see the sun'], ['-the image is not a toy -it is not a real piece of jewelry -the image is'], ['a rainbow unicorn head'], ['in the image i see a rainbow colored bird.']]"
data/images/noun/2006-600.jpg,2006,space ship top,34,64,31,3,"[['i see a small metal toy that looks like it is a ufo'], ['this image shows a space ship with its nose pointing down'], ['ufo model'], ['the top of a large metal disk with a metal lid'], ['a red button with the words ""enterprise"" on it.']]"
data/images/noun/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,"[['rubber penis pump with rubber toy balls in it'], ['a black ball with a red handle'], ['a rubber ball with a red tip'], ['a black ball with a red tip'], ['in this image, a black ball with red handle']]"
data/images/noun/2008.jpg,2008,curlers formed together,34,25,48,16,"[['in a blue bow - 3d printed product'], ['- a dark blue and white dog bone'], ['blue rubber ball'], [''], ['q: what do you see in the image?']]"
data/images/noun/2009-600.jpg,2009,dog toy,47,78,65,45,"[['the image of an orange shaped toy with a spiky ball attached to it'], ['a jellyfish'], ['orange cuddly ball toy - for dogs'], ['the dog is lying on his back and has an orange fur ball attached to his arm'], ['the toy is a stuffed toy with the letter x in it']]"
data/images/noun/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,"[['a red, multicolored rubber ball'], ['i see a red rubber ball and a dog playing with it'], ['the dog is using a toy that is shaped like a round red ball'], ['this is a red rubber ball with colorful sprinkles'], ['red pet toy']]"
data/images/noun/2011-600.jpg,2011,noisemaker,22,75,88,3,"[['the image shows the orange and green plastic toy'], ['an orange and green plastic toy with an orange handle'], ['toy airplane'], ['a toy water sprinkler'], [""a child's toy that has two plastic toys attached together""]]"
data/images/noun/2012-600.jpg,2012,coiled worm toy,41,50,59,41,"[['a red plastic sea urchin'], ['an orange and red sea urchin'], ['a pink plastic sea anemone, with orange tentacles and a red star on the center'], ['the image is an image of the red coral eel (cnidaria marina)'], ['i am looking at a pink, large starfish on a white background']]"
data/images/noun/2013-600.jpg,2013,sling shot,6,20,87,6,"[['this is a picture of a pair of orange and yellow plastic legs'], ['the product has been modified in the image'], [''], ['the image shows a plastic foot with an orange and yellow top'], ['the image shows the orange leg on a white background']]"
data/images/noun/2014-600.jpg,2014,this light-up toy,38,75,39,0,"[['a colorful ball with a handle'], ['this is a photo of a ball that has been painted with various designs'], ['pink ball with pink and yellow polka dot'], ['an inflatable ball with colorful dots and balls on it'], ['the yellow and pink balls are spinning around and bouncing']]"
data/images/noun/2015-600.jpg,2015,ball catcher,38,78,55,10,"[['this is a blue plastic shoe holder for a heel support'], ['the image looks like a blue shoe'], ['we see the blue plastic shoe holder in the image'], ['blue - this is an image of the product'], ['i see blue plastic boat shoes']]"
data/images/noun/2016 600dpi.jpg,2016,bird toy,28,21,61,6,"[['an orange, blue, and white mop with an orange handle'], ['1-6 oz. plastic dog toy dispenser orange with blue and white'], ['a toy cone with colorful yarn'], ['a rubber ball with blue and white rope tied to it'], ['a cottony wispy mop']]"
data/images/noun/2017-600.jpg,2017,kenetic wheel,41,29,23,13,"[['we see the image of the small cat toy with the cat toy in the background.'], ['a plastic and metal rod with a plastic ball attached'], ['q: what do you see in the image?'], ['i see a green plastic ball, a red and blue plastic ball and a plastic wheel with two wheels'], ['the metal and plastic pipe holder is attached to the wheel.']]"
data/images/noun/2018-600.jpg,2018,this coils string,16,50,61,6,"[['the image shows a yellow and green plastic lid that is shaped like a round bowl'], ['you see the yellow lid of the container'], ['the image shows an empty yellow container with a lid on it'], ['q: what do you see in the image?'], ['i see a yellow and clear plastic container with a small black lid']]"
data/images/noun/2019-600.jpg,2019,cat nip toy,31,67,38,25,"[['an ugly little bird wearing a red and yellow dress'], ['a candy corn in a box'], ['a plastic toy egg with a face'], ['a chicken egg on a white surface'], ['a yellow egg with a white face and orange body']]"
data/images/noun/2020.jpg,2020,jacobs ladder,41,36,29,6,"[['a set of coasters in various colors'], ['4x4 coasters'], ['you see the different colored wooden coasters with ribbons'], ['4 different colored plastic coasters with matching matching green ribbon'], ['அட்டி ப']]"
data/images/noun/2021-600.jpg,2021,foam arrow,9,29,84,3,"[['q: what do you see in the image?'], ['【green/pink sponge cleaning pads】 【12-pack】 【3'], ['q: what do you see in the image? a: q: what do you see in the'], ['q: what do you see in the image? a:'], ['']]"
data/images/noun/2022-600.jpg,2022,marker,9,15,70,13,"[['this is a green plastic flower pot'], ['the image of the green plastic plug is against white background'], ['the image shows a plastic plastic flower pot with green leaves'], ['this is a single use plastic bottle cap'], ['the picture shows a small green horn shaped object']]"
data/images/noun/2023-600.jpg,2023,color changing ball,13,31,87,17,"[['a broken and twisted white and black toy ball'], ['i see an orange, black and white plastic ball.'], ['a large, black and white flower with an open stem'], [''], ['white and black']]"
data/images/noun/2024-600.jpg,2024,connected disk toy,81,44,41,3,"[['a plastic toy that has colorful shapes'], ['a colorful star with six parts in the center'], ['a blue, red and yellow ball that is shaped like a star'], ['the toy is blue and red, with four different colored pieces'], ['the yellow and blue pieces of a toy that are in the shape of a star']]"
data/images/noun/2025-600.jpg,2025,boomerang,6,14,58,13,"[['a blue plastic footrest'], ['- a blue and white rubber shoe'], ['what do you see in the image?you’ve probably already heard of these, but'], ['the image shows a blue rubber foot plate'], ['blue foot pedicure insert']]"
data/images/noun/2026-600.jpg,2026,dog toy,16,71,63,17,"[['a wooden dog toy'], ['green plastic toy'], ['an artificial human shoulder'], ['a green rubber toy'], ['the plastic dog bone is green, has red handle']]"
