index,image_file,blip2_output,shuffled_options,prompted_questions
2,data/images/quantifier/test_2.png,"[['there are some animals in the image'], ['most'], [''], ['all'], ['c']]","[{'a': 'few', 'b': 'many', 'c': 'almost all', 'd': 'none', 'e': 'almost none', 'f': 'some', 'g': 'all', 'h': 'most', 'i': 'the smaller part'}, {'a': 'many', 'b': 'almost all', 'c': 'most', 'd': 'few', 'e': 'some', 'f': 'almost none', 'g': 'the smaller part', 'h': 'all', 'i': 'none'}, {'a': 'the smaller part', 'b': 'some', 'c': 'few', 'd': 'many', 'e': 'almost none', 'f': 'none', 'g': 'most', 'h': 'all', 'i': 'almost all'}, {'a': 'all', 'b': 'few', 'c': 'almost none', 'd': 'the smaller part', 'e': 'most', 'f': 'none', 'g': 'almost all', 'h': 'some', 'i': 'many'}, {'a': 'all', 'b': 'many', 'c': 'none', 'd': 'almost all', 'e': 'few', 'f': 'the smaller part', 'g': 'almost none', 'h': 'most', 'i': 'some'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: many\nC: almost all\nD: none\nE: almost none\nF: some\nG: all\nH: most\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: almost all\nC: most\nD: few\nE: some\nF: almost none\nG: the smaller part\nH: all\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: some\nC: few\nD: many\nE: almost none\nF: none\nG: most\nH: all\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: few\nC: almost none\nD: the smaller part\nE: most\nF: none\nG: almost all\nH: some\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: many\nC: none\nD: almost all\nE: few\nF: the smaller part\nG: almost none\nH: most\nI: some\nAnswer:']"
5,data/images/quantifier/test_5.png,"[['almost all'], ['all'], ['d'], ['the smaller part'], ['c']]","[{'a': 'none', 'b': 'many', 'c': 'most', 'd': 'almost none', 'e': 'few', 'f': 'some', 'g': 'the smaller part', 'h': 'all', 'i': 'almost all'}, {'a': 'none', 'b': 'most', 'c': 'many', 'd': 'almost all', 'e': 'the smaller part', 'f': 'all', 'g': 'some', 'h': 'almost none', 'i': 'few'}, {'a': 'all', 'b': 'many', 'c': 'almost none', 'd': 'the smaller part', 'e': 'none', 'f': 'some', 'g': 'most', 'h': 'almost all', 'i': 'few'}, {'a': 'none', 'b': 'all', 'c': 'most', 'd': 'some', 'e': 'almost none', 'f': 'many', 'g': 'the smaller part', 'h': 'almost all', 'i': 'few'}, {'a': 'all', 'b': 'almost all', 'c': 'the smaller part', 'd': 'some', 'e': 'few', 'f': 'almost none', 'g': 'many', 'h': 'most', 'i': 'none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: many\nC: most\nD: almost none\nE: few\nF: some\nG: the smaller part\nH: all\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: most\nC: many\nD: almost all\nE: the smaller part\nF: all\nG: some\nH: almost none\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: many\nC: almost none\nD: the smaller part\nE: none\nF: some\nG: most\nH: almost all\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: all\nC: most\nD: some\nE: almost none\nF: many\nG: the smaller part\nH: almost all\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: almost all\nC: the smaller part\nD: some\nE: few\nF: almost none\nG: many\nH: most\nI: none\nAnswer:']"
13,data/images/quantifier/test_13.png,"[['b'], ['some'], ['h'], ['d'], ['the smaller part']]","[{'a': 'some', 'b': 'almost none', 'c': 'almost all', 'd': 'the smaller part', 'e': 'most', 'f': 'many', 'g': 'few', 'h': 'all', 'i': 'none'}, {'a': 'many', 'b': 'almost all', 'c': 'some', 'd': 'most', 'e': 'all', 'f': 'the smaller part', 'g': 'few', 'h': 'none', 'i': 'almost none'}, {'a': 'most', 'b': 'many', 'c': 'none', 'd': 'few', 'e': 'all', 'f': 'some', 'g': 'almost none', 'h': 'almost all', 'i': 'the smaller part'}, {'a': 'some', 'b': 'almost all', 'c': 'few', 'd': 'the smaller part', 'e': 'almost none', 'f': 'many', 'g': 'most', 'h': 'all', 'i': 'none'}, {'a': 'many', 'b': 'almost all', 'c': 'few', 'd': 'almost none', 'e': 'most', 'f': 'the smaller part', 'g': 'none', 'h': 'some', 'i': 'all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: almost none\nC: almost all\nD: the smaller part\nE: most\nF: many\nG: few\nH: all\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: almost all\nC: some\nD: most\nE: all\nF: the smaller part\nG: few\nH: none\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: many\nC: none\nD: few\nE: all\nF: some\nG: almost none\nH: almost all\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: almost all\nC: few\nD: the smaller part\nE: almost none\nF: many\nG: most\nH: all\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: almost all\nC: few\nD: almost none\nE: most\nF: the smaller part\nG: none\nH: some\nI: all\nAnswer:']"
16,data/images/quantifier/test_16.png,"[['a'], ['a'], ['g'], ['a'], ['g']]","[{'a': 'none', 'b': 'almost all', 'c': 'many', 'd': 'almost none', 'e': 'some', 'f': 'few', 'g': 'most', 'h': 'all', 'i': 'the smaller part'}, {'a': 'none', 'b': 'many', 'c': 'almost all', 'd': 'most', 'e': 'almost none', 'f': 'some', 'g': 'the smaller part', 'h': 'few', 'i': 'all'}, {'a': 'almost none', 'b': 'some', 'c': 'almost all', 'd': 'all', 'e': 'most', 'f': 'none', 'g': 'the smaller part', 'h': 'many', 'i': 'few'}, {'a': 'none', 'b': 'almost all', 'c': 'many', 'd': 'some', 'e': 'the smaller part', 'f': 'few', 'g': 'all', 'h': 'almost none', 'i': 'most'}, {'a': 'most', 'b': 'few', 'c': 'many', 'd': 'almost none', 'e': 'some', 'f': 'none', 'g': 'almost all', 'h': 'all', 'i': 'the smaller part'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: almost all\nC: many\nD: almost none\nE: some\nF: few\nG: most\nH: all\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: many\nC: almost all\nD: most\nE: almost none\nF: some\nG: the smaller part\nH: few\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: some\nC: almost all\nD: all\nE: most\nF: none\nG: the smaller part\nH: many\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: almost all\nC: many\nD: some\nE: the smaller part\nF: few\nG: all\nH: almost none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: few\nC: many\nD: almost none\nE: some\nF: none\nG: almost all\nH: all\nI: the smaller part\nAnswer:']"
20,data/images/quantifier/test_20.png,"[['b'], ['the smaller part'], ['some'], ['almost all'], ['some']]","[{'a': 'most', 'b': 'many', 'c': 'all', 'd': 'almost none', 'e': 'almost all', 'f': 'none', 'g': 'few', 'h': 'some', 'i': 'the smaller part'}, {'a': 'almost none', 'b': 'all', 'c': 'none', 'd': 'many', 'e': 'few', 'f': 'the smaller part', 'g': 'most', 'h': 'some', 'i': 'almost all'}, {'a': 'the smaller part', 'b': 'some', 'c': 'many', 'd': 'few', 'e': 'none', 'f': 'most', 'g': 'all', 'h': 'almost none', 'i': 'almost all'}, {'a': 'the smaller part', 'b': 'all', 'c': 'none', 'd': 'few', 'e': 'almost all', 'f': 'some', 'g': 'most', 'h': 'many', 'i': 'almost none'}, {'a': 'few', 'b': 'all', 'c': 'some', 'd': 'almost all', 'e': 'none', 'f': 'almost none', 'g': 'many', 'h': 'the smaller part', 'i': 'most'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: many\nC: all\nD: almost none\nE: almost all\nF: none\nG: few\nH: some\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: all\nC: none\nD: many\nE: few\nF: the smaller part\nG: most\nH: some\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: some\nC: many\nD: few\nE: none\nF: most\nG: all\nH: almost none\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: all\nC: none\nD: few\nE: almost all\nF: some\nG: most\nH: many\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: all\nC: some\nD: almost all\nE: none\nF: almost none\nG: many\nH: the smaller part\nI: most\nAnswer:']"
24,data/images/quantifier/test_24.png,"[['g'], ['a'], ['e'], ['b'], ['b']]","[{'a': 'almost none', 'b': 'none', 'c': 'few', 'd': 'almost all', 'e': 'most', 'f': 'many', 'g': 'the smaller part', 'h': 'all', 'i': 'some'}, {'a': 'many', 'b': 'the smaller part', 'c': 'all', 'd': 'none', 'e': 'most', 'f': 'few', 'g': 'almost none', 'h': 'some', 'i': 'almost all'}, {'a': 'all', 'b': 'none', 'c': 'some', 'd': 'few', 'e': 'many', 'f': 'the smaller part', 'g': 'almost all', 'h': 'almost none', 'i': 'most'}, {'a': 'the smaller part', 'b': 'many', 'c': 'almost none', 'd': 'none', 'e': 'almost all', 'f': 'most', 'g': 'few', 'h': 'some', 'i': 'all'}, {'a': 'some', 'b': 'almost none', 'c': 'almost all', 'd': 'few', 'e': 'most', 'f': 'none', 'g': 'many', 'h': 'all', 'i': 'the smaller part'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: none\nC: few\nD: almost all\nE: most\nF: many\nG: the smaller part\nH: all\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: the smaller part\nC: all\nD: none\nE: most\nF: few\nG: almost none\nH: some\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: none\nC: some\nD: few\nE: many\nF: the smaller part\nG: almost all\nH: almost none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: many\nC: almost none\nD: none\nE: almost all\nF: most\nG: few\nH: some\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: almost none\nC: almost all\nD: few\nE: most\nF: none\nG: many\nH: all\nI: the smaller part\nAnswer:']"
25,data/images/quantifier/test_25.png,"[['d'], ['a is the right answer'], [''], ['g'], ['all']]","[{'a': 'almost all', 'b': 'all', 'c': 'none', 'd': 'few', 'e': 'most', 'f': 'many', 'g': 'some', 'h': 'almost none', 'i': 'the smaller part'}, {'a': 'all', 'b': 'almost none', 'c': 'few', 'd': 'almost all', 'e': 'most', 'f': 'some', 'g': 'none', 'h': 'the smaller part', 'i': 'many'}, {'a': 'some', 'b': 'many', 'c': 'almost all', 'd': 'most', 'e': 'none', 'f': 'all', 'g': 'the smaller part', 'h': 'few', 'i': 'almost none'}, {'a': 'all', 'b': 'none', 'c': 'some', 'd': 'few', 'e': 'almost none', 'f': 'almost all', 'g': 'many', 'h': 'the smaller part', 'i': 'most'}, {'a': 'the smaller part', 'b': 'few', 'c': 'many', 'd': 'some', 'e': 'all', 'f': 'almost all', 'g': 'almost none', 'h': 'most', 'i': 'none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: all\nC: none\nD: few\nE: most\nF: many\nG: some\nH: almost none\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: almost none\nC: few\nD: almost all\nE: most\nF: some\nG: none\nH: the smaller part\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: many\nC: almost all\nD: most\nE: none\nF: all\nG: the smaller part\nH: few\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: none\nC: some\nD: few\nE: almost none\nF: almost all\nG: many\nH: the smaller part\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: few\nC: many\nD: some\nE: all\nF: almost all\nG: almost none\nH: most\nI: none\nAnswer:']"
29,data/images/quantifier/test_29.png,"[[''], ['g'], ['a'], ['c'], ['the smaller part']]","[{'a': 'many', 'b': 'all', 'c': 'the smaller part', 'd': 'almost all', 'e': 'none', 'f': 'some', 'g': 'most', 'h': 'few', 'i': 'almost none'}, {'a': 'almost none', 'b': 'many', 'c': 'most', 'd': 'all', 'e': 'almost all', 'f': 'some', 'g': 'few', 'h': 'none', 'i': 'the smaller part'}, {'a': 'few', 'b': 'some', 'c': 'almost none', 'd': 'many', 'e': 'the smaller part', 'f': 'none', 'g': 'almost all', 'h': 'all', 'i': 'most'}, {'a': 'some', 'b': 'few', 'c': 'none', 'd': 'almost all', 'e': 'the smaller part', 'f': 'most', 'g': 'almost none', 'h': 'many', 'i': 'all'}, {'a': 'the smaller part', 'b': 'almost all', 'c': 'all', 'd': 'some', 'e': 'none', 'f': 'almost none', 'g': 'many', 'h': 'most', 'i': 'few'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: all\nC: the smaller part\nD: almost all\nE: none\nF: some\nG: most\nH: few\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: many\nC: most\nD: all\nE: almost all\nF: some\nG: few\nH: none\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: some\nC: almost none\nD: many\nE: the smaller part\nF: none\nG: almost all\nH: all\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: few\nC: none\nD: almost all\nE: the smaller part\nF: most\nG: almost none\nH: many\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: almost all\nC: all\nD: some\nE: none\nF: almost none\nG: many\nH: most\nI: few\nAnswer:']"
37,data/images/quantifier/test_37.png,"[['a, d'], ['none'], ['a'], ['c'], ['a lot']]","[{'a': 'all', 'b': 'many', 'c': 'most', 'd': 'some', 'e': 'none', 'f': 'the smaller part', 'g': 'few', 'h': 'almost none', 'i': 'almost all'}, {'a': 'few', 'b': 'many', 'c': 'most', 'd': 'the smaller part', 'e': 'some', 'f': 'almost all', 'g': 'almost none', 'h': 'all', 'i': 'none'}, {'a': 'some', 'b': 'most', 'c': 'all', 'd': 'almost all', 'e': 'few', 'f': 'many', 'g': 'none', 'h': 'almost none', 'i': 'the smaller part'}, {'a': 'almost all', 'b': 'the smaller part', 'c': 'none', 'd': 'many', 'e': 'few', 'f': 'almost none', 'g': 'most', 'h': 'some', 'i': 'all'}, {'a': 'many', 'b': 'almost all', 'c': 'almost none', 'd': 'some', 'e': 'none', 'f': 'the smaller part', 'g': 'all', 'h': 'few', 'i': 'most'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: many\nC: most\nD: some\nE: none\nF: the smaller part\nG: few\nH: almost none\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: many\nC: most\nD: the smaller part\nE: some\nF: almost all\nG: almost none\nH: all\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: most\nC: all\nD: almost all\nE: few\nF: many\nG: none\nH: almost none\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: the smaller part\nC: none\nD: many\nE: few\nF: almost none\nG: most\nH: some\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: almost all\nC: almost none\nD: some\nE: none\nF: the smaller part\nG: all\nH: few\nI: most\nAnswer:']"
44,data/images/quantifier/test_44.png,"[['g'], ['the smaller part'], ['the smaller part'], ['all'], ['some']]","[{'a': 'the smaller part', 'b': 'almost none', 'c': 'most', 'd': 'almost all', 'e': 'some', 'f': 'many', 'g': 'few', 'h': 'all', 'i': 'none'}, {'a': 'none', 'b': 'the smaller part', 'c': 'all', 'd': 'few', 'e': 'almost all', 'f': 'some', 'g': 'almost none', 'h': 'most', 'i': 'many'}, {'a': 'many', 'b': 'few', 'c': 'almost all', 'd': 'all', 'e': 'some', 'f': 'none', 'g': 'the smaller part', 'h': 'almost none', 'i': 'most'}, {'a': 'none', 'b': 'almost none', 'c': 'the smaller part', 'd': 'almost all', 'e': 'some', 'f': 'all', 'g': 'most', 'h': 'few', 'i': 'many'}, {'a': 'all', 'b': 'some', 'c': 'the smaller part', 'd': 'few', 'e': 'almost none', 'f': 'none', 'g': 'most', 'h': 'almost all', 'i': 'many'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: almost none\nC: most\nD: almost all\nE: some\nF: many\nG: few\nH: all\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: the smaller part\nC: all\nD: few\nE: almost all\nF: some\nG: almost none\nH: most\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: few\nC: almost all\nD: all\nE: some\nF: none\nG: the smaller part\nH: almost none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: almost none\nC: the smaller part\nD: almost all\nE: some\nF: all\nG: most\nH: few\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: some\nC: the smaller part\nD: few\nE: almost none\nF: none\nG: most\nH: almost all\nI: many\nAnswer:']"
