image,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,fromage_output
data/images/noun/2001-600.jpg,2001,bee have trap,19,50,66,14,"[['a cat! \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['a turtle with a shell.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a pair of glasses with a yellow frame and a red nose.'], ['a ball with a hole in it.'], ['a ball in a box.'], ['a ball with a hole in it \\nq: what do you see in the image? \\na: a ball with a hole in it \\n'], ['a small yellow ball that is moving in the image.'], ['a set of 3 balls.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a pair of hands \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n'], ['the image is a 3d image of a person.'], ['a pair of hands.'], ['a pair of glasses \\nq: what do you see in the image? \\na: a pair of glasses \\nq: what do you see'], ['a pair of hands holding a ball \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['the image shows a white ball with a yellow dot inside it.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['the image is a reflection of a hand in a glass of water.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a man with a white face and a white hand.'], ['a pair of glasses.'], ['a man in a suit, with a briefcase, and a person in a wheelchair.'], ['the image shows a yellow ball with a black hole in the middle.'], ['a group of people.'], ['the image shows a person with a hand and a ball.'], ['a yellow ball with a white dot inside it.'], ['a pair of glasses.'], ['a man is sitting in a chair and a woman is sitting on the chair behind him.'], ['the image is a representation of a ball rolling down a hill.'], ['a pair of glasses.'], ['a group of people in a line \\nq: what do you see in the image? \\na: a group of people in a line \\n'], ['a circle with a dot in it \\nq: what do you see in the image? \\na: a circle with a dot in it \\n'], ['a group of people.'], ['a pair of hands \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n'], ['the image shows a person with a glass in his hand.'], ['a : a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a person sitting on a chair.'], ['a set of three animals in a glass jar \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['a pair of glasses.'], ['a : a ball of yellow plastic with a white plastic base and a white plastic top.']]"
data/images/noun/2002-600.jpg,2002,bookend,22,83,59,9,"[['a red and white sculpture of a woman holding a red and white flower.'], ['a red - orange - yellow - white - blue - green - brown - orange - yellow - white - blue - green - brown - orange - yellow - white'], ['a person in a red dress.'], ['a person with a red hat and a white dress.'], ['a person holding a red flower in his hand.'], ['a beautiful red and white vase with a white figure.'], ['a person with a red heart.'], ['a beautiful sculpture of a woman.'], ['a beautiful woman with a red dress.'], ['a man wearing a red tie.'], ['a red ball with a white dot on it.'], ['a woman with a red dress.'], ['a person, a human being, a person of the species homo sapiens.'], ['a red wine glass with a white marble base.'], ['a person.'], ['a person holding a red ball in his hand.'], ['a person standing on a red base.'], ['a man with a red umbrella, a symbol of good luck.'], ['a man and a woman holding hands.'], ['a red glass vase with a white flower in the center.'], ['a person in a red dress.'], ['a beautiful red vase with a flower on it.'], ['a: a red heart.'], ['a person, holding a person, holding a person.'], ['a red - red - red - red - red - red - red - red - red - red - red - red - red - red - red - red'], ['a red and white flower, the symbol of love.'], ['a red and white vase with a flower in it.'], ['a person with a red dress.'], ['a person with a red face and a white dress.'], ['a man with a red hat and a white dress.'], ['a beautiful red and white vase with a white flower.'], ['a person with a red head and a white body.'], ['a person holding a red flower in their hand.'], ['a person holding a red flower.'], ['a person holding a flower.'], ['a person, holding a small red flower.'], ['a red and white flower with a small red dot on it.'], ['a person in a red dress.'], ['a red heart on a white background.'], ['a: a man in a red dress.']]"
data/images/noun/2003-600.jpg,2003,fidget toy,59,74,19,0,"[['a: a cube with a small hole in it.'], ['a : a cube with a square in the middle \\nb : b : a cube with a square in the middle \\nc : c : a cube'], ['the image is a picture of a wooden block with a number of colorful cubes attached to it.'], ['a triangle, a triangle is a shape with three sides.'], ['a bunch of blocks \\nq: what do you think the image represents? \\na: a bunch of blocks \\nq: what do you think'], ['a: a cube with a square on each side \\nq: what do you see in the image? \\na: a: a cube with a'], ['the image is a colorful pattern of blocks.'], ['a: a colorful geometric shape! \\nq: what do you think the image represents? \\na: a: a colorful geometric shape! \\n'], ['a cube with a diagonal line \\nq: what do you see in the image? \\na: a cube with a diagonal line \\nq:'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a: a - q - r - i - n - t - y - u - w - h - i - l - e - s - t -'], ['a: a cube with a piece of wood in the middle of it.'], ['a cube with a triangle on each side \\nq: what do you see in the image? \\na: a cube with a triangle on each side'], ['a: a is a cube with a square on each side.'], ['a group of 3 wooden blocks arranged in a triangle \\nq: what do you see in the image? \\na: a group of 3 wooden blocks'], ['the image is a representation of the letter q.'], ['the image is a representation of a cube with a diagonal of 3.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a : a cube! \\nb : b : a cube! \\nc : c : a cube! \\nd : d : a cube!'], ['a bunch of blocks! \\nq: what do you think about the image? \\na: i like it! \\nq: what do you'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a: a : a letter q : what do you see in the image? \\na: a : a letter q : what do you see in the'], ['a triangle with a small circle on the top and a larger circle on the bottom.'], ['a: a triangle! \\nq: what is the name of the triangle? \\na: a: a triangle! \\nq: what is'], ['a: a cube with a small hole in the middle.'], ['a bunch of colorful cubes \\nq: what do you think of the image? \\na: i like it \\nq: what do you think'], ['a: a geometric shape \\nq: what do you see in the image? \\na: a: a geometric shape \\nq: what do'], ['a bunch of blocks \\nq: what do you see in the image? \\na: a bunch of blocks \\nq: what do you see'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a: a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a bunch of blocks that are all different colors \\nq: what do you think of when you hear the word? \\na: a bunch of blocks'], ['the image is a 3d model of a cube with a colored edge.'], ['a set of cubes in a line.'], ['a : a colorful toy for kids! \\nb : b : a colorful toy for kids! \\nc : c : a colorful toy for kids!'], ['a triangle with a square on each side.'], ['a: a cube with a different color on each side.'], ['a triangle with a single point.'], ['a: a cube with a hole in the middle.'], [""a: a child's toy.""]]"
data/images/noun/2004-600.jpg,2004,pencil sharpener,41,70,48,52,"[['a small plastic ball \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['the image shows a person wearing a pair of glasses.'], ['a man in a white suit with a yellow tie.'], ['a small yellow ball with a hole in it.'], ['a ball in a hole.'], ['a person \\nq: what do you see in the image? \\na: a person \\nq: what do you see in the image?'], ['a person.'], ['a : a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a ball with a hole in it.'], ['a sea turtle \\nq: what is the sea turtle? \\na: a sea turtle \\nq: what is the sea turtle? \\n'], ['a yellow ball.'], ['a circle with a dot in the middle \\nq: what is the meaning of the image? \\na: a circle with a dot in the middle'], ['the image shows a person with a yellow and orange hat.'], ['a man wearing a hat and sunglasses.'], ['a fish in a net.'], ['a man wearing a helmet \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a man with a white hat and a black and white striped shirt.'], ['a : a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['the image is a picture of a beach.'], ['a man with a camera.'], [""a lot of people have seen the image, but they don't know what it is.""], ['a circle with a dot in the middle.'], ['a : a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a person in a white outfit.'], ['the image shows a man wearing a hat.'], ['a : a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a man in a suit.'], ['a fish \\nq: what do you see in the image? \\na: a fish \\nq: what do you see in the image?'], ['a ball, a ball, a ball, a ball, a ball, a ball, a ball, a ball, a ball, a ball, a ball'], ['a group of people in a boat \\n\\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['a ball with a hole in it \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['a yellow ball in a dark room.'], ['the image shows a person with a yellow hat.'], ['the image is a diagram of a pendant.'], ['a : a ball \\nb : a : a ball \\nc : a : a ball \\nd : a : a ball \\ne :'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['the image shows a circle with a dot inside it.']]"
data/images/noun/2005-600.jpg,2005,fish tank stone,6,25,81,13,"[['a gold crown on a white background.'], ['a gold and white crown on a white background.'], ['a: a pink and white flower with a stem.'], ['a gold crown with a rainbow halo.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a gold crown with a feather in the middle.'], ['a beautiful flower.'], ['a: a beautiful rainbow of colors! \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n'], ['a rainbow! \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['the image shows a person wearing a crown.'], ['the image is a rainbow.'], ['a crown of gold.'], ['a: a golden crown.'], ['a: a rainbow! \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['a rainbow of colors! \\nq: what do you hear in the image? \\na: a sound of a rainbow! \\nq: what'], ['a: a rainbow of colors! \\nq: what do you hear in the image? \\na: a: a sound of a rainbow! \\'], ['a rainbow of colors! \\nq: what do you see in the image? \\na: a rainbow of colors! \\nq: what do'], ['a : a pinkish-white feather with a green background.'], ['a rainbow! \\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\'], ['a pink and white feather.'], ['a crown.'], ['a: a hand painted pink unicorn horn with a pink feather on top.'], ['a: a rainbow.'], ['the image is a 3d rendering of a skull.'], ['a: a gold crown.'], ['a rainbow! \\nq: what do you hear in the image? \\na: a choir! \\nq: what do you smell in the'], ['a rainbow! \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a: a rainbow of colors \\nq: what do you see in the image? \\na: a: a rainbow of colors \\nq:'], ['a crown of gold.'], ['a: a crown.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a crown.'], ['a rainbow! \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['a crown of flowers, a crown of flowers.'], ['a crown, a symbol of royalty.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a: a rainbow! : ) \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['a: a gold crown on a white background.'], ['a unicorn! \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\']]"
data/images/noun/2006-600.jpg,2006,space ship top,34,64,31,3,"[['a tiny model of the spacecraft.'], ['a model of a spacecraft.'], ['a spacecraft, of course! \\nq: what do you see in the image? \\na: a spacecraft, of course! \\nq:'], ['a ship in space.'], ['a spaceship in the image \\nq: what do you see in the image? \\na: a spaceship in the image \\nq: what do'], ['the model is a model of the spacecraft.'], ['the image shows a small model of the spacecraft.'], [""it's a satellite.""], ['a miniature model of the spacecraft.'], ['a space shuttle.'], ['a spaceship! \\nq: what do you see in the image? \\na: a spaceship! \\nq: what do you see in the'], ['the image shows the first of the three new ships that will be added to the game.'], ['the image shows a model of a spacecraft.'], ['a spaceship.'], ['a spaceship! \\nq: what do you see in the image? \\na: a spaceship! \\nq: what do you see in the'], ['a rocket! \\nq: what do you see in the image? \\na: a rocket! \\nq: what do you see in the'], ['a model of the ship.'], ['a spaceship, of course! \\nq: what do you see in the image? \\na: a spaceship, of course! \\nq:'], ['the image shows a close up of the space shuttle.'], ['a model of the ship from the game.'], ['a spacecraft in space.'], ['a spaceship in space.'], ['a model of the ship in the game.'], ['a model of the ship.'], ['a spaceship in the image \\nq: what do you see in the image? \\na: a spaceship in the image \\nq: what do'], ['a small rocket, it is used to launch the satellite into space.'], ['a spacecraft with a satellite.'], ['the image shows the model of the ship in the game.'], ['the image shows the space shuttle.'], ['a small model of the ship.'], ['a spaceship in the image \\nq: what do you see in the image? \\na: a spaceship in the image \\nq: what do'], ['a model of the space shuttle.'], ['a rocket with a satellite.'], [""it's a model of a spacecraft.""], ['a small spacecraft with a satellite on the top of it.'], ['a small metal object in the image \\nq: what do you see in the image? \\na: a small metal object in the image \\n'], [""it's a spacecraft.""], ['the image shows the image of a small ship in the background.'], ['a spacecraft in the image.'], ['the image shows a ship in space.']]"
data/images/noun/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,"[['a: a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a : a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a person with a gun.'], ['a : a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a: a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a: a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a rubber ball with a handle.'], ['a: a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a : a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a red ball, a ball, a red ball, a red ball, a red ball, a red ball, a red ball, a red ball, a'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a red ball.'], ['a ball.'], ['a red ball with a black dot.'], ['a red ball.'], ['a : a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a : a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a person with a gun.'], ['a: a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a: a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a ball with a hole in it.'], ['a ball.'], ['a : a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a ball, a small ball, a small ball, a small ball, a small ball, a small ball, a small ball, a small ball, a'], ['a rubber ball on a string.'], ['a : a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a red ball.'], ['a: a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a: a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a ball, a small ball, a ball, a ball, a ball, a ball, a ball, a ball, a ball, a ball, a'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a: a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a red ball.'], ['a : a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a: a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a rubber ball, a toy, a ball, a ball, a ball, a ball, a ball, a ball, a ball, a ball, a'], ['a red ball.'], ['a rubber ball with a hole in it.']]"
data/images/noun/2008.jpg,2008,curlers formed together,34,25,48,16,"[['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['the image shows a person in a wheelchair with a red and white striped blanket.'], ['a: a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a: a person holding a pen.'], ['a : a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a: a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a : a set of 3 colored pencils.'], ['a: a.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a set of 2 cylinders with a diameter of 2 mm each.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['the image is a representation of a person with a long neck and a short torso.'], ['the image shows a person in a white t - shirt with a blue and red band.'], ['i see a set of 2 people.'], ['a set of 4 colored pencils.'], ['a: a.'], ['a man with a long pipe in his hand.'], ['a man and a woman in a love scene.'], ['a: a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a: a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['the image shows a person holding a pipe in his hand.'], ['the image is a picture of a person in a wheelchair.'], ['a set of 3 colored pencils.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['the image shows a man with a long pipe.'], ['a pipe.'], ['a: a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a pipe with a cap.'], ['i see a bunch of people.'], ['i see a bunch of people holding up their arms and legs.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a: a rubber band.'], ['i see a ball of wire with a hook on the end.'], ['a rubber band.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a : a.'], ['a set of four.'], ['a: a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a set of 3 colored pencils.'], ['the image shows a person holding a pen in his hand.']]"
data/images/noun/2009-600.jpg,2009,dog toy,47,78,65,45,"[['a 3d model of a plant.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a 3d model of a 3d model of a 3d model of a 3d model of a 3d model of a 3d model of a 3'], ['a: a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a : a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a: a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a : a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a 3d image of a plant.'], ['a 3d image of a heart.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a : a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a 3d model of a flower.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a: a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a : a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a : a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a: a 3d model of a heart.'], ['a: a 3d model of a plant.'], ['a: a 3d model of a plant.'], ['a : a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a 3d model of a plant \\nq: what do you see in the image? \\na: a 3d model of a plant \\n'], ['a: a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a 3d model of a heart.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a 3d model of a flower.'], ['a : a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a: a 3d model of a heart.'], ['a 3d image of a plant with a 3d texture.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a 3d model of a dog.'], ['a 3d model of a plant.'], ['a 3d model of a flower.'], ['a : a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a: a ball of ice with a hole in the center.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a 3d model of a flower \\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\'], ['a 3d model of a plant \\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\']]"
data/images/noun/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,"[['a 3d object that has a texture that looks like a ball of mud \\nq: what do you see in the image? \\na: a'], ['a: a ball of dough with a hole in the center.'], ['a: a red ball on a white background \\nq: what do you see in the image? \\na: a: a red ball on a'], ['a group of colorful, shiny, and round objects \\nq: what do you see in the image? \\na: a group of colorful, shiny'], ['a group of colorful balls \\nq: what do you see in the image? \\na: a group of colorful balls \\nq: what do'], ['a 3d model of a hand with a ball in it.'], ['a red ball \\nq: what do you see in the image? \\na: a red ball \\nq: what do you see in the'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a red and white ball with a small hole in it \\nq: what do you see in the image? \\na: a red and white ball'], ['a: a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a red ball with a white dot on it \\nq: what do you see in the image? \\na: a red ball with a white dot'], ['a 3d model of a coral reef \\nq: what do you see in the image? \\na: a 3d model of a coral reef'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a: a ball of green confetti \\nq: what do you see in the image? \\na: a: a ball of red confetti'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a : a 3d model of a red and white candy ball \\nb : what do you see in the image? \\nc : what do you'], [""a 3d model of a dog's head.""], ['a cute little dog! \\nq: what do you see in the image? \\na: a cute little dog! \\nq: what do'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a: a red ball with a white dot on it.'], ['a ball of red and white balls \\nq: what do you see in the image? \\na: a ball of red and white balls \\n'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a 3d object that is a combination of a cube and a sphere \\nq: what do you see in the image? \\na: a 3'], ['a 3d model of a red ball on a white background \\n\\n\\n\\n\\n\\n\\n\\n\\n\\n'], ['a 3d object with a transparent surface \\nq: what do you see in the image? \\na: a 3d object with a transparent surface'], ['a cute little ball of fur! \\nq: what do you see in the image? \\na: a cute little ball of fur! \\n'], ['a : a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a: a small ball of red and white checkered pattern \\nq: what do you hear in the image? \\na: a: a'], ['a 3d object that is made of colorful cubes.'], ['a: a ball of red and white candy.'], ['a colorful ball of yarn \\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\'], ['a dog \\nq: what do you see in the image? \\na: a dog \\nq: what do you see in the image?'], ['a: a small red ball \\nq: what do you see in the image? \\na: a: a small red ball \\nq:'], ['a: a cube with a red and white checkered pattern \\nq: what do you hear in the image? \\na: a: a'], ['a: a : a : a : a : a : a : a : a : a : a : a : a : a : a : a :'], ['a: a red and white ball with a white dot on it.'], ['a colorful, cute, and cute ball with a red and white ball inside \\nq: what do you see in the image? \\na: a']]"
