image,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,llava_output
data/images/noun/2001-600.jpg,2001,bee have trap,19,50,66,14,"[['There are two plastic objects in the image.'], ['There are two plastic containers or plastic bags in the image.'], ['There are two yellow plastic objects in the image.'], ['There are two yellow plastic containers in the image.'], ['In the image, there are two clear plastic containers, which appear to be egg holders or'], ['There are two yellow plastic objects in the image.'], ['In the image, there are two clear plastic objects that are shaped like rabbit ears.'], ['There are two plastic containers in the image.'], ['There are two plastic containers or plastic balls in the image.'], ['There are two clear plastic containers, or plastic bags, in the image.'], ['There are two yellow plastic objects in the image.'], ['There are two plastic objects in the image.'], ['There are two plastic containers in the image.'], ['There are two plastic containers or cups in the image.'], ['There are two plastic containers or toys in the image.'], ['There are two plastic objects in the image, which appear to be yellow and are shaped like'], ['There are two plastic toy eggs in the image.'], ['In the image, there are two plastic toy eggs.'], ['There are two plastic containers in the image.'], ['There are two plastic objects in the image, which appear to be molded into the shape'], ['There are two plastic containers or plastic balls in the image.'], ['There are two plastic objects in the image, which are described as either toy or egg-'], ['There are two yellow plastic containers in the image.'], ['There are two plastic containers or dishes in the image.'], ['There are two yellow plastic objects in the image.'], ['There are two yellow plastic objects in the image.'], ['There are two plastic objects in the image.'], ['There are two yellow plastic objects in the image.'], ['There are two plastic containers or containers with holes in the image.'], ['In the image, there are two plastic containers, which appear to be clear and have a yellow'], ['In the image, there are two plastic, yellow, egg-shaped objects.'], ['In the image, there are two yellow plastic containers with holes in them.'], ['There are two plastic toys in the image.'], ['There are two yellow plastic containers in the image.'], ['There are two clear plastic containers in the image.'], ['There are two plastic containers, or bins, in the image.'], ['There are two plastic containers in the image.'], ['There are two plastic objects in the image.'], ['There are two yellow plastic containers in the image.'], ['There are two plastic objects in the image.']]"
data/images/noun/2002-600.jpg,2002,bookend,22,83,59,9,"[['There is a red vase in the image.'], ['There is a red vase in the image.'], ['In the image, there is a red vase or sculpture, which appears to be made of'], ['There is a red vase in the image.'], ['In the image, there is a red vase or sculpture.'], ['In the image, there is a red vase or sculpture, which is the main focus of'], ['There is a red sculpture or statue in the image.'], ['There is a red vase in the image.'], ['There is a red vase in the image.'], ['In the image, there is a red vase or sculpture with a unique shape.'], ['In the image, there is a red vase, which is a sculpture of a vase'], ['In the image, there is a red vase, which is the main object.'], ['In the image, there is a red vase or sculpture with a curved design, sitting'], ['In the image, there is a red vase with a curved shape, and it is placed'], ['There is a red vase in the image.'], ['In the image, there is a red vase or sculpture, which is a piece of art'], ['There are two objects in the image: a red vase and a red sculpture.'], ['There is a red vase in the image.'], ['In the image, there is a red sculpture or vase, which is shaped like a'], ['There is a red vase in the image.'], ['There is a red vase in the image.'], ['In the image, there is a red vase with a curved shape and a red sculpture'], ['In the image, there is a red sculpture or vase, which is a piece of art'], ['In the image, there is a red vase or sculpture, which is the main focus of'], ['In the image, there is a red vase or sculpture.'], ['In the image, there is a red vase or sculpture with a unique shape, sitting on'], ['There is a red vase in the image.'], ['In the image, there is a red vase or sculpture, which could be a statue or'], ['In the image, there is a red sculpture, which appears to be a vase or a'], ['There is a red sculpture in the image.'], ['In the image, there is a red vase with a curved design.'], ['In the image, there is a red vase or sculpture.'], ['In the image, there is a red vase or sculpture, which is shaped like a'], ['In the image, there is a red sculpture of a vase.'], ['In the image, there is a red vase with a curved design.'], ['In the image, there is a red vase or sculpture with a curved design.'], ['There is a red vase in the image.'], ['In the image, there is a red vase or sculpture with a unique design, resemb'], ['There is a red sculpture or vase in the image.'], ['There is a red sculpture in the image.']]"
data/images/noun/2003-600.jpg,2003,fidget toy,59,74,19,0,"[['The image features a wooden toy, specifically a wooden block or a toy block, with letters'], ['There are several colorful wooden blocks in the image.'], ['In the image, there is a stack of wooden blocks with letters on them.'], ['In the image, there are several wooden blocks arranged in a stack.'], ['There are wooden blocks in the image.'], ['The image features a wooden toy, which appears to be a puzzle or a building block,'], ['There are several wooden blocks in the image, which are colorful and stacked on top of each'], ['There are four wooden blocks in the image.'], ['The image features a wooden toy shaped like a large letter ""H"" made out of different'], ['The image features a stack of wooden blocks, which are red, blue, yellow, and green in'], ['The image features a wooden toy, which is a stack of colored blocks.'], ['The image features a colorful wooden toy, which is a stack of wooden blocks.'], ['In the image, there is a stack of wooden blocks with letters on them.'], ['The image features a wooden toy shaped like a large letter ""T"" made from blocks.'], ['There are wooden blocks in the image.'], ['In the image, there is a stack of colored blocks, which are made of wood and have letters'], ['In the image, there is a wooden toy shaped like a large letter ""F"" and'], ['The image features a wooden block with letters and numbers on it.'], ['There are several wooden blocks in the image, which are arranged in a colorful pattern.'], ['The image features a stack of wooden blocks, which are a combination of red, blue, green,'], ['In the image, there are several wooden blocks arranged in a stack.'], ['The image features a wooden toy, which is a stack of blocks, made up of various colors'], ['The image features a wooden toy, specifically a wooden block, made up of several different colored blocks'], ['The image features a stack of wooden blocks with letters on them.'], ['There are several wooden blocks in the image.'], ['In the image, there is a stack of wooden blocks with letters on them.'], ['The image features a stack of wooden blocks, which are colorful and designed to resemble letters.'], ['In the image, there is a wooden toy shaped like a letter ""T"" made of'], ['There are three wooden blocks in the image.'], ['The image features a stack of wooden blocks, each with different colors, including red, blue, yellow'], ['There are several wooden blocks in the image.'], ['In the image, there are wooden blocks or blocks made of wood and plastic. These blocks are'], ['There are several colorful wooden blocks in the image.'], ['There are several wooden blocks in the image, which are stacked together.'], ['There are several wooden blocks in the image.'], ['In the image, there are a bunch of colorful wooden blocks, specifically six wooden blocks of various'], ['The image features a stack of wooden blocks with letters on them.'], ['The image features a wooden toy, specifically a wooden block with letters on it, sitting on a'], ['There are several wooden blocks in the image, which are arranged in a stack or a pyramid'], ['There are wooden blocks in the image.']]"
data/images/noun/2004-600.jpg,2004,pencil sharpener,41,70,48,52,"[['In the image, there is a yellow object that appears to be a toy or a piece of'], ['In the image, there is a yellow plastic ring with a hole in the center.'], ['There is a yellow plastic object in the image.'], ['In the image, there is a small orange toy, which appears to be a piece of pl'], ['There is a small orange plastic ring in the image.'], ['In the image, there is a yellow toy shaped like a ring with a hole in it'], ['In the image, there is a small orange object, which appears to be a toy or a'], ['In the image, there is a small, orange, plastic ring with a hole in the center'], ['In the image, there is a small, orange plastic toy shaped like a donut'], ['There are two objects in the image: a yellow ring with a hole in the middle and a yellow'], ['In the image, there is a yellow and orange plastic toy, possibly a rubber du'], ['There is a yellow and orange toy, possibly a plastic ring or a frisbee'], ['In the image, there is a yellow and orange plastic ring, which appears to be a to'], ['In the image, there is a small orange toy, which appears to be a rubber or'], ['In the image, there is a small orange toy with a hole in the middle.'], ['In the image, there is a yellow plastic ring with a hole in the middle.'], ['There are two orange objects in the image.'], ['In the image, there is a yellow plastic object with a hole in the center, and it'], ['There is a yellow and orange plastic object in the image.'], ['There are two objects in the image: a yellow and orange rubber ring, and a small yellow'], ['In the image, there is a small, brightly colored, yellow plastic object with a hole'], ['In the image, there is a yellow plastic ring with a hole in the center.'], ['In the image, there is a small orange toy with a hole in the middle, which appears'], ['In the image, there is a small orange object with a hole in the middle, and a yellow'], ['In the image, there is a yellow plastic ring or ball with a hole in the center.'], ['In the image, there is a yellow and orange toy with a hole in the center, and'], ['In the image, there is a small, round, orange object with a hole in the middle.'], ['In the image, there is a yellow and orange toy shaped like a half-circle,'], ['In the image, there is a small orange plastic ring with a hole in the center.'], ['In the image, there is a small orange object with a hole in it, and a yellow object'], ['In the image, there is a yellow and orange rubber ring with a hole in the middle.'], ['In the image, there is a small, bright orange toy that is shaped like a half'], ['In the image, there is a small orange and yellow toy, which appears to be a pl'], ['In the image, there is a small orange toy, possibly a rubber or plastic item'], ['In the image, there is a yellow plastic ring with a hole in the middle.'], ['In the image, there is a yellow toy, which appears to be a plastic or rub'], ['There is a bright orange plastic ring in the image.'], ['In the image, there is a small, round, orange object with a hole in the middle,'], ['There is a yellow object in the image, which is a small plastic toy.'], ['There is a yellow plastic ring in the image.']]"
data/images/noun/2005-600.jpg,2005,fish tank stone,6,25,81,13,"[['In the image, there is a pink plastic piece of artwork, which appears to be'], ['There are two objects in the image. One is a pink winged hat, and the other'], ['In the image, there is a pink, rainbow-colored, and shiny wing'], ['There is a pink and yellow winged object in the image.'], ['In the image, there is a pink, rainbow-colored object that resembles'], ['In the image, there is a pink plastic wing and a pink plastic hat.'], ['In the image, there is a pink, colorful sculpture or art piece that resemb'], ['There are two objects in the image: a pink plastic wing and a pink plastic'], ['There are two objects in the image: a pink bird-shaped object and a pink'], [""In the image, there is a pink plastic object that resembles a bird's""], ['There is a pink and white plastic wing-shaped object in the image.'], ['There are two pink and yellow wings in the image.'], ['In the image, there is a pink and purple object that resembles a bird wing'], ['There are two objects in the image: a pink bird-shaped hat and a pink'], ['In the image, there is a pink, rainbow-colored wing or wing-sh'], [""In the image, there is a pink and yellow sculpture of a bird's wing,""], ['In the image, there is a pink winged hat and a pink winged headband'], ['In the image, there is a pink, rainbow-colored winged hat.'], ['In the image, there is a pink and yellow winged hat.'], ['In the image, there is a pink and purple bird-shaped hat, which is'], ['There is a pink plastic wing and a pink plastic hat in the image.'], ['There are two objects in the image: a pink wing-shaped piece of plastic and'], ['There is a pink and purple bird-shaped object in the image.'], ['In the image, there is a pink and white winged hat, which appears to be a'], ['In the image, there is a pink wing-shaped object and a pink bird statue'], ['There is a pink and purple wing-shaped object in the image.'], ['There are two objects in the image: a pink and purple wing-shaped sculpture'], ['In the image, there is a pink and white object that looks like a crown or a hat'], ['In the image, there is a pink, colorful, and shiny object that resemb'], ['There are two objects in the image: a pink and yellow bird-shaped hat and a'], ['In the image, there is a pink and yellow wing-shaped object, which appears to'], ['There is a pink wing-shaped object in the image.'], ['There are two objects in the image: a pink wing and a pink hat.'], ['There is a pink and yellow plastic object in the image, which appears to be a piece'], ['In the image, there is a pink, rainbow-colored, or multi-color'], ['There is a pink and purple sculpture in the image.'], [""In the image, there is a pink and yellow sculpture of an angel's wing""], ['In the image, there is a pink and purple wing-shaped object, which appears'], ['In the image, there is a pink plastic object that resembles a wing, possibly'], ['There are two pink wings in the image.']]"
data/images/noun/2006-600.jpg,2006,space ship top,34,64,31,3,"[['In the image, there is a small silver object, which appears to be a silver dome or'], ['In the image, there is a silver metal object with a round top, which could be described as'], ['In the image, there is a silver object that resembles a spaceship or a UFO'], ['In the image, there is a silver object that appears to be a small spaceship or a silver'], ['In the image, there is a small silver or grey metal object with a round top, which appears'], ['There is a silver object in the image, which appears to be a small silver top or a silver'], ['In the image, there is a silver, metallic object with a dome shape, which'], ['There are two objects in the image. One is a silver, dome-shaped object,'], ['There is a silver metal object with a hole in the center, which appears to be a top or'], ['In the image, there is a silver or chrome-colored object with a round top and a'], ['There is a silver object in the image, which appears to be a small silver dome or a'], ['In the image, there is a small silver or metallic object, which appears to be a'], ['There are two objects in the image: a silver dome and a silver saucer. The d'], ['In the image, there is a silver, round object with a central hole and a red dot in'], ['There is a silver, metallic, round object in the image.'], ['In the image, there is a silver object with a dome-shaped top and a silver'], ['In the image, there is a small silver object that resembles a spaceship or a satellite'], ['In the image, there is a silver metal object with a round top and a hole in the center'], ['In the image, there is a silver object that looks like a top or a silver dome,'], ['In the image, there is a small silver object, which appears to be a model of a spaces'], ['In the image, there is a silver object that resembles a small satellite dish or a'], ['In the image, there is a small silver object that looks like a silver dome or a top'], ['In the image, there is a silver metal object that appears to be a model of a spaceship'], ['In the image, there is a silver object that resembles a spaceship, with a circular'], ['There is a silver metal object in the image.'], ['In the image, there is a silver object that appears to be a space ship or a silver d'], ['There are two objects in the image: a silver spaceship and a silver dome.'], ['In the image, there is a small silver object, which appears to be a spacecraft or a'], ['In the image, there is a silver, round, metallic object that resembles a'], ['There is a silver object in the image, which appears to be a small model of a spaceship'], ['In the image, there is a silver object that looks like a spaceship or a satellite dish'], ['In the image, there is a silver object that resembles a silver spaceship or a silver'], ['In the image, there is a silver object that looks like a small spaceship or a silver top'], ['There is a small silver object in the image, which appears to be a piece of art or a'], ['In the image, there is a silver object that resembles a small spaceship or a top'], ['There is a silver object in the image, which appears to be a model of a spaceship or'], ['There is a silver, round, metallic object in the image.'], ['There is a silver metal object in the image, which is a small, round, metallic'], ['In the image, there is a silver object that resembles a silver dome or a silver'], ['In the image, there is a silver object that appears to be a silver spaceship or a silver']]"
data/images/noun/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,"[['In the image, there is a black object with a red tip and a red handle.'], ['In the image, there is a black object with a red handle, which is a plunger'], ['There is a black object and a red object in the image.'], ['In the image, there is a black plastic object with a red top, which appears to be'], ['In the image, there is a black object with a red tip, which appears to be a black'], ['In the image, there is a black object with a red tip and a red object with a black'], ['In the image, there is a black object with a red tip and a red object with a black'], ['In the image, there is a black object with a red tip, which appears to be a pl'], ['There is a black object with a red tip in the image.'], ['In the image, there is a black object with a red tip, which is likely a piece of'], ['There is a black object and a red object in the image. The black object is a plastic'], ['In the image, there is a black object with a red top and a red object with a black'], ['In the image, there is a black object, which appears to be a plastic or rubber'], ['In the image, there is a black object with a red top and a red bottom. It appears'], ['In the image, there is a black object, which appears to be a drain stopper,'], ['In the image, there is a black object with a red tip and a red object with a black'], ['There are two objects in the image: a red plastic object and a black object.'], ['In the image, there is a black object with a red tip and a red object with a black'], ['There are two objects in the image: a red object and a black object.'], ['There is a red object, which appears to be a toy or a plastic item, and'], ['In the image, there is a black plastic object with a red plastic handle, and it'], ['In the image, there is a red object, which appears to be a small toy or a'], ['There are two objects in the image: a black object and a red object.'], ['In the image, there is a black object with a red tip and a red handle.'], ['In the image, there is a black object with a red handle and a black object with a red'], ['In the image, there is a black object with a red tip, which appears to be a small'], ['In the image, there is a black object, which appears to be a rubber or plastic'], ['In the image, there is a black object with a red tip, which is likely a toy'], ['There is a black object with a red handle in the image.'], ['In the image, there is a red plastic object with a black top, and a black object'], ['In the image, there is a black object with a red handle, which appears to be a black'], ['In the image, there is a black object with a red handle and a red object with a black'], ['In the image, there is a black object with a red tip, which is a plastic or'], ['There are two objects in the image: a black ball and a red object.'], ['In the image, there is a black object with a red tip, which appears to be a black'], ['In the image, there is a red plastic object and a black object, which appears to be'], ['There are two objects in the image: a black plastic object and a red object.'], ['In the image, there is a black object, which appears to be a black plastic or rub'], ['In the image, there is a black object with a red top, which appears to be a red'], ['In the image, there is a black object with a red tip, which appears to be a to']]"
data/images/noun/2008.jpg,2008,curlers formed together,34,25,48,16,"[['There are three blue tubes in the image.'], ['In the image, there are two blue tubes or cylinders with white caps.'], ['There are three blue cylinders or tubes in the image.'], ['In the image, there are three blue cylindrical objects arranged in a triangular shape.'], ['There are three blue cylinders or tubes in the image.'], ['In the image, there are three blue objects, which appear to be some sort of tubing or'], ['There are two blue objects in the image, which are cylindrical and possibly made of rubber'], ['In the image, there are three blue cylindrical objects with white ends, arranged in a tri'], ['There are three blue objects in the image, which appear to be curved and possibly made of rub'], ['In the image, there are three blue cylinders or tubes, which are curled up'], ['In the image, there are three blue tubes or cylinders that are curled up and'], ['In the image, there is a blue object that is shaped like a circle and has a white'], ['There are three blue objects in the image, which are curled up and connected.'], ['In the image, there are three blue objects that are curled up and appear to be connected.'], ['In the image, there are three blue cylindrical objects arranged in a spiral shape.'], ['In the image, there are three blue objects, which appear to be a collection of blue tubes'], ['There are two blue plastic tubes or pipes in the image.'], ['In the image, there are three blue plastic tubes or cylinders.'], ['There are three blue cylindrical objects in the image.'], ['In the image, there are three blue cylindrical objects that are curled or twisted together'], ['There are two blue tubes or cylinders in the image.'], ['In the image, there is a blue tube and a blue cylinder. The blue tube'], ['There are three blue cylindrical objects in the image.'], ['In the image, there are three blue cylinders or tubes arranged in a spiral pattern'], ['There are three blue cylinders in the image.'], ['There are two blue tubes or pipes in the image.'], ['There are two blue cylinders or tubes in the image.'], ['In the image, there are three blue plastic tubes or cylinders arranged in a cur'], ['In the image, there are three blue cylindrical objects arranged in a spiral pattern.'], ['In the image, there are three blue cylinders or tubes that are twisted together.'], ['There are two blue cylinders in the image.'], ['In the image, there is a blue object that is shaped like a tube or a pipe'], ['There are three blue objects in the image, which appear to be cylindrical in shape and have'], ['In the image, there is a blue object that is shaped like a large ""Y"" or'], ['In the image, there are three blue objects, which appear to be rubber or plastic,'], ['There are two blue cylinders or tubes in the image.'], ['In the image, there are three blue cylindrical objects with white caps, which appear to be'], ['In the image, there is a blue rubber tube with three white caps on it.'], ['In the image, there are three blue plastic tubes or pipes, each with a white'], ['In the image, there are three blue objects, which appear to be curved, cylindrical']]"
data/images/noun/2009-600.jpg,2009,dog toy,47,78,65,45,"[['In the image, there is a large orange ball with spikes, which is an orange stuffed'], ['In the image, there is an orange object with multiple spikes, resembling a cact'], ['There are two orange objects in the image.'], ['In the image, there is a close-up of a small, orange, spiky object'], ['In the image, there is a small, orange, spiky object that resembles a'], ['In the image, there is a small orange ball and a larger orange ball. The larger orange ball'], ['There are two orange objects in the image.'], ['In the image, there is an orange ball with spikes, which is likely a toy or'], ['In the image, there is a bright orange object that appears to be a spiky, round'], ['There is a single orange object in the image.'], ['There are two orange objects in the image.'], ['In the image, there are two orange, spiky, and hairy objects that look like'], ['In the image, there is a close-up of a cactus with spines, and'], ['There is a single orange object in the image.'], ['In the image, there is an orange ball with a spiky surface, possibly a rubber'], ['There are two orange objects in the image.'], ['There are two orange objects in the image, which are described as being spiky and resemb'], ['There are two orange objects in the image.'], ['There are two orange, spiky, and furry objects in the image.'], ['There are two orange, spiky objects in the image.'], ['There are two orange, spiky objects in the image.'], ['In the image, there is an orange object that appears to be a spiky, round,'], ['In the image, there is a small, orange, spiky object that resembles a'], ['In the image, there is an orange, spiky, and round object, which appears to'], ['There is an orange, spiky object in the image, which appears to be a toy'], ['In the image, there is an orange ball with a spiky texture, which appears to be'], ['There are two orange objects in the image.'], ['There are two orange, spiky objects in the image.'], ['In the image, there is an orange, spiky, and possibly rubbery object,'], ['In the image, there is a close-up of a small orange ball with many spikes,'], ['In the image, there is a close-up of a bright orange, spiky, and'], ['In the image, there are two orange, spiky, and round objects, which appear to'], ['In the image, there is a close-up of a large orange spiky ball, which'], ['There is a large orange ball in the image.'], ['There are two orange objects in the image.'], ['In the image, there is a close-up of a small orange ball, which is likely a'], ['In the image, there is a close-up of a small orange object, which appears to be'], ['In the image, there is a large, oddly shaped, and bright orange object that res'], ['In the image, there is an orange, spiky, and furry object that resemb'], ['In the image, there is a close-up of an orange, spiky, and b']]"
data/images/noun/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,"[['In the image, there are two red and yellow balls with blue spots on them.'], ['In the image, there is a red and yellow rubber ball with blue spots, and a'], ['There are two red and yellow balls in the image.'], ['There are two red and yellow balls in the image.'], ['There are two red and yellow balls in the image.'], ['There are two red and yellow balls in the image.'], ['There are two red and yellow balls in the image.'], ['There are two red and blue balls in the image.'], ['There are two red and yellow balls in the image.'], ['There are two red and blue balls in the image.'], ['There are two red and yellow balls in the image.'], ['There are two red and yellow balls in the image.'], ['There are two red and blue balls in the image.'], ['In the image, there is a red and yellow ball with blue spots.'], ['There are two red and blue balls in the image.'], ['In the image, there is a red and yellow ball with a blue dot on it.'], ['There are two red and blue balls in the image.'], ['There are two red and yellow balls in the image.'], ['There are two red and blue balls in the image.'], ['There are two red and blue balls in the image.'], ['In the image, there are two red and yellow balls with blue dots on them.'], ['There are two red and blue balls in the image.'], ['There are two red and blue balls in the image.'], ['There are two red and yellow balls in the image.'], ['There are two red and blue balls in the image.'], ['There are two red and blue balls in the image.'], ['There are two red and yellow balls in the image.'], ['There are two red and yellow balls in the image.'], ['There are two red and blue balls in the image.'], ['In the image, there is a red and blue ball with yellow polka dots.'], ['There are two red and yellow balls in the image.'], ['In the image, there are two red and blue balls with yellow polka dots.'], ['There are two red and yellow balls in the image.'], ['There are two red and yellow balls in the image.'], ['There are two red and blue balls in the image.'], ['There are two red and blue balls in the image.'], ['There are two red and yellow balls in the image.'], ['There are two red and yellow balls in the image.'], ['In the image, there are two red and yellow balls with blue dots on them.'], ['There are two red and yellow balls in the image.']]"
