image,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,blip2_output
data/images/noun/2001-600.jpg,2001,bee have trap,19,50,66,14,"[['this is an image of an animal toy.\\n\\n\\n\\n\\n\\'], ['this is a small piece of amber glass. \\n \\nthe two pieces are connected by a'], ['the object is a dog toy, the toy is yellow, the objects are two toys.i'], ['the objects are a bottle and a candle'], ['the orange bowl is the bottom part of the bowl'], ['name the objects in the image.'], ['the object in the image is a glass bowl with a lid and a spout'], ['the image shows a pair of yellow objects sitting on top of one another'], ['the objects are a pair of orange plastic balls'], ['orange, egg, orange egg, egg, orange egg, egg, egg, egg, egg,'], ['the objects in the image are a cat toy and a cat food bowl'], ['the two objects are the toy car and the toy boat.this is so fucking stupid. i'], ['the objects in the image are two orange glass bottles, one holding a can of soda'], ['the object on the right is a plastic cup that has been painted to resemble a banana'], ['the object in the image is an orange plastic egg'], ['these are small balls in the center of the image.'], ['the small orange ball.'], [""it's a light bulb!""], [""i'm sorry, but we don't allow users to post photos of other people's personal items.""], ['the image has been cropped to show the object only, without the rest of the scene. the object'], ['objects: a) the large orange cylinder is the water tank and b) the small cylinder is the'], ['name the objects in the image.'], [''], ['in the image, the yellow object is the head of a large orange fish.'], ['the orange and yellow colored plastic bottle.\\n \\nq: what does the color yellow represent'], ['orange turtleit\'s not that easy to do. there\'s also a lot of ""junk'], ['the objects are a plastic fishbowl with a straw and a bottle of orange soda.'], ['the objects are the orange plastic cups on the right and the orange plastic tubes on the left'], ['these are orange balls of plastic and the balls are on a white background.'], ['1. \\n2. \\n3. \\n4. \\n5. \\n'], ['\\n\\na.1. name the objects in the image. \\n\\na'], ['a yellow plastic sphere with a hole on one end'], ['the objects are two eggs with an orange plastic shell.'], ['q: name the objects in the image.\\na: \\nname the objects in the'], ['the objects in the image are orange.'], [""it's an orange ball""], ['name the objects in the image.'], ['an orange glass cylinder'], ['1) a bottle in a small glass container with a bottle cap and a straw. \\n2'], [""it's an orange object, but it looks like a bowl""]]"
data/images/noun/2002-600.jpg,2002,bookend,22,83,59,9,"[[""the curved red glass vase in the middle is called a 'curved glass vase.' it""], ['red, abstract sculpture, small.dang, looks great!'], ['this is a photo of a small decorative statue, with a red glass base.if i ever'], ['the objects in the image are the sculpture of a woman and the vase on the white table'], ['the large, metal abstract shapes are ""l""s'], ['the objects are red.'], ['the objects in the image are red and are on a stand.'], ['the image is called ""red vase"" and contains the following objects: \\n1) a'], ['the objects in the image are an art sculpture called an abstract sculpture. the sculpture is red.'], [""it's a red metal vase with a curved bottom. \\n\\nthe shape is a""], ['this image shows a red abstract abstract shape.\\n\\n\\n\\n\\n\\'], ['the object on the right is an abstract design. the red vase is a decorative piece that is'], [''], ['name the objects in the image.'], [""i can name the objects in the image, but this is a very difficult exercise.that's""], ['name the objects in the image.'], ['the small red object with black marble pedestal. \\nq: what does it symbolize?'], ['this is a red abstract shape on a pedestal.'], ['these objects are metal sculptures. \\n'], ['name the objects in the image. \\n\\n\\nq: name the objects in the'], ['this is a sculpture made out of red metal, a metal alloy used to create strong and durable products'], ['the red shape vase'], ['name the objects in the image. \\n\\n\\n\\n \\n\\n\\'], ['this is a red abstract sculpture by ravi kansal, made of metal'], ['the object in the image is a decorative piece made of red metal.'], ['the objects are the red vase and the red sculpture'], ['the objects are a small red vase on a wooden stand.what do you think of the'], ['this sculpture is a decorative sculpture, so we can not tell you the name of the sculpture. \\'], ['red metal sculpture'], [""in the image is a red and white abstract sculpture. \\nthe name of the sculpture is '""], [""the sculpture is called'red' by the artist.""], ['\\nred and white abstract geometric shape sculpture\\nred and white abstract geometric shape sculpture\\n'], ['these are made by a local artist from clay. \\n\\n'], ['this image shows a red vase on a black stand. the object in the image is a metal'], ['these objects are the same objects, but in different colors'], ['\\n\\nred flower vase, in the shape of a curvy, red vase'], ['name the objects in the image.'], ['this is a red sculpture by doreen risley'], [""it's a red vase.\\nq: how do i know this is a vase""], ['a red metal sculpture on a white background']]"
data/images/noun/2003-600.jpg,2003,fidget toy,59,74,19,0,"[['it is a puzzle game in which the user has to guess what each object in the image is by'], ['the letter ""q"" is composed of blocks that are colored in various colors. \\n\\n'], ['color, shape, sizes, etc \\ncolor: multi colored\\nshape: straight,'], ['the objects in the image are made of wood. \\n\\nthe objects in the image are'], ['[colorful letter blocks]'], ['color block puzzle'], ['the objects in the image are wooden blocks. \\n\\n\\n'], ['there are 5 objects, and i believe the object on the left side is a letter q.\\'], ['\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n'], ['[color=blue, size=8, shape=square, color=yellow, shape=rect'], ['color-coded blocks'], ['these blocks are the letter ""b"" and the number ""4""'], ['the objects in the image are toys. \\n \\n \\n \\n \\n \\n'], ['the first letter in the first word in the first sentence in the second paragraph in the second paragraph'], ['the blocks are shown here in color.'], ['the object is a wooden block with several different colored pieces.'], ['the objects are in alphabetical order.you can go back to the store, have them do'], ['i think i have the answer. \\nq: what object is the second object in the image'], ['\\ncolorful wood blocks on white background. \\n\\n\\n\\n\\n'], ['they are blocks'], ['the objects are a number of colored cubes. \\nq: what are the objects? \\n'], ['\\nq: name the objects in the image. \\na: \\nq: name'], [''], ['the two blocks are blocks from the game tetris'], [""it's a collection of blocks. \\n\\nthe images are part of a project by the""], ['\\u003cbr\\u003ethe objects are \\u003cb\\u003ec'], ['this is the classic color puzzle game. in this game, you have to name the objects on the'], ['the object in the image is a set of colored wooden blocks, and the name is given by the'], ['the blocks are on a table'], ['color blocks'], ['this image shows the letters of the alphabet in order. \\n\\n\\n \\n\\'], ['an open loop of colorful plastic blocks, each piece with a single piece of paper'], ['wooden blocks - picture 1'], ['the objects are the toy blocks'], ['wood puzzle blocks, colorful and wooden'], ['colorful blocks. \\n\\n\\ncolorful blocks are in front of you on the'], ['the object in the image is a plastic set of wooden blocks, each one of the blocks has a'], ['wood and metal toy blocks, blocks for building houses, blocks for construction games, blocks for puzzle and'], ['a wooden puzzle of an object and two matching bricks,'], [""the three objects in the image are the letter 'q' and the letters 'q', 'q""]]"
data/images/noun/2004-600.jpg,2004,pencil sharpener,41,70,48,52,"[['the red object is a plastic egg that is hollowed out'], ['this image is a photograph of an object that can be identified by its shape. it is a round'], [""name the objects in the image.ferrari's charles leclerc 'happy' with""], [''], ['object 1. \\nobject 2. \\nobject 3. \\nobject 4. \\n'], ['there are no objects in the image.'], [''], ['name the objects in the image.'], ['the items in the image are all objects that can be named. \\n\\n\\n\\'], ['the object on the right is an orange and yellow ball with a hole in the middle'], ['the object is orange and yellow'], ['there is a banana shaped object on the left side of the image and an orange and yellow ball in'], ['name the objects in the image.'], [''], ['object in the image is an orange object, yellow object and a black object.'], [""i would say this is an orange plastic egg shape.it's not bad, but it's""], ['\\nthe yellow and orange ball is a plastic ball with an orange center'], [""it's an orange-brown egg with a yellow handle. \\nq: can you find the""], ['the objects in the image are the eggs of an ostrich egg, which is on a plastic egg'], [''], ['the objects are orange and yellow in the image'], ['an orange, white, and yellow plastic spherical object.'], ['the small yellow ball and the orange egg are in a row'], ['orange object'], ['you need to choose the correct word that starts with the object you are describing.\\nexample:'], ['name the objects in the image. \\n\\n\\n\\n\\n\\n\\'], ['it is a plastic toy for children, the orange object is a plastic ball, the yellow object is'], ['the ball is made from an orange and yellow plastic material.if you are talking about the ""'], ['an orange plastic ball with a yellow handle'], [""we've included a variety of objects and animals in our images to help our customers identify the product.""], ['i was trying to name a color that is very close to the one of the photo.\\n'], ['name the objects in the image. \\na: name the objects in the image. \\n'], ['you can name objects in images and photos on google. the object can be named, but there may'], ['the orange object in the image is a plastic food container.'], ['name the objects in the image. \\na: name the objects in the image. \\n'], ['the objects in the image are a plastic ball, and an orange and yellow colored plastic bottle.'], [''], [""q: what's the name of the object in the image? \\na: \\na""], ['in the image you can find a small orange and yellow object'], ['q: name the objects in the image. \\na: q: name the objects in the']]"
data/images/noun/2005-600.jpg,2005,fish tank stone,6,25,81,13,"[['\\n\\n'], [""i didn't name them""], ['these are not real items. \\nq: where did you get these from? \\na'], ['the pink and blue tie-dyed unicorn hat is shaped like a unicorn and sits atop a pink'], ['pinky is the unicorn.\\n\\n'], ['the pink, yellow, blue, green, and purple items in the image are from the same item'], ['there are two images in the gallery, one is a unicorn horn with pink, blue, and yellow'], ['there is a unicorn headband that is rainbow colored. the unicorn is on the side of the head'], [''], ['pink unicorn, rainbow unicorn, unicorn hair, unicorn tails. \\nq: why did you decide'], ['a unicorn head with rainbow hair'], ['the pink and blue tie-dyed hair bow was made by using a spray bottle and a pink'], [""it's a pair of sneakers on a white background. \\n\\n\\n\\nq""], ['it is a piece of rainbow tie dye fabric with an'], ['the rainbow colored butterfly, in the center of the image, is one of many'], ['a unicorn headband, a rainbow tie dye headband, and a rainbow tie dye unicorn headband'], ['there are 4 objects in the image, each of them is named.i just want to see'], ['the unicorn is pink, purple, and blue. the dragon is white, red, and black.'], ['a rainbow feather cap made of pink, blue and yellow foam.'], ['the object in the image is a unicorn head.i want to know what is going on in'], ['the objects in the image are in rainbow. \\nq: name the objects in the image.'], [""these are the rainbow wings that are designed by the artist.i don't understand how the fuck""], ['the objects are a pair of rainbow butterfly wings that are on a stand. \\n \\nq'], ['this is a unicorn hat. \\nq: name the objects in the image. \\na'], ['rainbow unicorn headband.'], ['the headdress is the tie dye of a rainbow of colorful hair'], [""this is a rainbow dragon crown. \\nq: why? \\na: because it's""], ['this is a tie dye feather hat with a rainbow pattern. \\n\\n\\n\\n'], ['the objects in the image are a pink rainbow colored tie dye bowl, an umbrella, and a tie'], ['the unicorn headband has been colored with the same pink as the top part of the image.'], ['this is a headband made from different colored hot pink, yellow, and blue foam.>'], ['the pink and yellow fish is a fishtail wig in a rainbow. the pink hat is a hair'], ['the rainbow and pink flower are from the new hair spray in our collection and they have an ultra smooth'], ['this image shows the object in the image.\\n \\n\\n\\n\\n\\'], ['these are two items of a large pile. they have a pink and white background and a large rainbow'], [""it's the rainbow tie - dyed rainbow feather headband!""], ['there is a rainbow tie dye cake headband in the image,'], [""i'm not sure if i'm allowed to put the brand name.""], ['the pink and blue tassel with a unicorn head in the center'], [""the pink and blue bowl is called the 'rainbow unicorn bowl' \\nthe yellow bowl is""]]"
data/images/noun/2006-600.jpg,2006,space ship top,34,64,31,3,"[['the star destroyer in space. \\n\\n\\n\\n\\n\\n\\n'], ['a starship that was designed to have a nuclear powered warp drive.'], ['space shuttle'], ['object 1: a silver-colored spaceship on a white background object 2: a small black object'], ['an example is a model spaceship.'], ['ufo'], ['this is an image of the model of the ufo spaceship.'], ['it is a silver metallic object with two holes on the back, one with a red ball and one'], ['the objects are in the image, but in different sizes'], [''], ['the object in the image is a space craft.'], ['star trek voyager starship bridge unit'], [""i've been told that a number of things in the image are star trek items. \\nhowever""], ['star trek voyager uss enterprise - warp 5 warp 7'], [""it's an egg, a dish, a spoon, a cup, a silver vessel with a white""], ['it is the space ship. \\n'], ['in the image is a metal star ship and a round mirror'], [""it's a very small silver spaceship.""], ['u.s.s enterprise'], ['\\nthe ufo is the object \\nthe star ship is the object that is in space'], ['an original, handcrafted, stainless steel u.s.s. enterprise - d model starship.'], ['the objects are a satellite dish, a car and a large metal container with the words ""starship'], ['this image depicts a collection of items, some of which are labeled with their names.'], ['the object in the image is a small metal and plastic object with three small holes on its side'], ['the first one is a plastic toy. the second is a metal spaceship.'], ['the space craft'], ['the star wars light saber'], ['the object is a blue sphere, and it is about 1.5 inches high'], [''], [""i can't identify the objects in this image.""], ['u.s.s. enterprise'], ['the ship is a star destroyer from star wars and the smaller one is an x-wing fighter'], ['ufo'], ['the object in the image is a model of the enterprise.'], ['a silver metal dish with a circular red button on top and a red star on top of it'], ['i think this is an older model of the ufo from the original series'], ['an old school tv'], ['the objects are a star ship, a flying saucer, a metal sphere and a metallic dome.'], ['star trek communicator'], ['q: name the objects in the image.']]"
data/images/noun/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,"[['name the objects in the image. \\nq: what is the object? \\na:'], ['the image shows an old black rubber ball with a red tip'], ['object is a black and red rubber ball with the handle sticking out of it. \\nq:'], ['\\n1. name the objects in the image. \\n2. name the objects in the'], ['object in the image: a round plastic ball.'], ['we use the name of the object that is the object in the picture for identification. \\n\\'], ['the ball with red and black plastic tip. \\nq: how long can this be used in'], ['name the objects in the image.'], ['the object is the ball, the stem is the stick, the black ball is the black stick,'], ['object \\nq: name the objects in the image. \\na: object'], ['the object is a ball with a handle'], ['i was thinking of a ball. it was a good idea to name it with the image so that'], ['the first object in the image is a ball.'], [''], ['the objects in the image are a ball and a ball. the ball is black and has a red'], ['objects in the image'], ['you can choose an object as the name of the object.'], ['the image of the object in the image.> the only reason i know that the first two'], ['the two black objects in the image are an umbrella and a ball. the ball has a red handle'], [''], [""the object is a black plastic ball.tigers' miguel cabrera: out of lineup sunday""], ['black sphere with red top'], ['\\nname the objects in the image. \\n\\nname the objects in the image.'], ['the objects in the image are balls and red stick'], ['name the objects in the image.'], ['in the image, the object is a black ball with red end. the object is attached to a'], ['the object in the image is the ball and the black ball with the red ball attached to it'], ['a'], ['the white ball is a balloon. \\n'], ['the rubber ball is attached to a stick.'], ['balloon - 3"" - black'], ['the object is a small ball'], ['name the objects in the image.\\n\\nq: name the objects in the image.'], ['you can also choose from the dropdown menu. \\n\\nq: how do i set'], ['name the objects in the image. \\nq: what is the size of the image? \\'], ['the object in the image is a sphere.'], ['the ball in the image is black. the black object is the ball. the red object is the'], ['- - - - - - - - - - - - - - - - - - - -'], ['the object in the image is a plastic ball, with a red handle.'], ['q: name the objects in the image.\\n\\n\\nq: what do the']]"
data/images/noun/2008.jpg,2008,curlers formed together,34,25,48,16,"[['the two objects in the image are a pair of blue plastic tubes with white rubber grips'], ['[ \\n\\n [ \\n\\n[ \\n\\n[ \\n\\n'], ['\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n'], ['\\na knot is an object that can only be formed when 2 objects are joined together. this'], ['the object in the image is a blue rubber ducky. \\nq: why is this object'], [""i'm sorry, i can't recall. \\nq: how do you know what the objects""], ['a rope and a bow tie.'], ['this image is a closeup of a single item. the product in this image is not in stock'], ['\\nthe two objects are tied to each other, one is a blue toy and the other is'], ['the object is a knot.'], ['\\nname: \\n[\\n[\\n[\\n[\\n[\\'], ['- the blue plastic toy on the ground'], [""[bob's bean bag chair]""], ['this is a rubber band. \\nq: how do you get them to stay on? \\'], ['a dog, a tree and a dog toy'], ['the yellow one is a rope, and the blue one is a knot'], ['\\n'], ['[a knot]'], ['these are all in the image \\nq: what is the purpose of the image? \\n'], ['\\n'], ['a toy knot toy with a blue background, on a white background.'], ['an object, in this case a rubber band, with a knot on the end of it'], ['name the objects in the image. \\nq: what kind of objects are they? \\n'], ['the objects in the image are two blue pipes.'], ['the yellow and blue objects in the image are'], ['the rope in the image is a knot. \\nthe rope is blue and has a white end'], ['these are two pairs of hands.'], ['the objects in the image are the same.'], ['these are the two pieces of metal that make up a metal sculpture that i have named ""moses'], ['this is a picture of a toy figure and the rope. the figure is a dog, and the'], ['[ ] the bridge \\n\\n\\nq: how can i tell if the objects are'], ['the objects in the image are a dog toy and a dog leash'], ['i was wondering if i can call the object a blue ball, a ball, or a rubber ball'], ['the white stick is a blue tie, the blue rope is a white rope, the yellow tube is'], ['\\n'], ['the object in the image is an elastic bandage that is wrapped around a foot'], ['a rope tied to the left and right and placed in the center of the frame. \\n\\'], ['name the objects in the image. \\nname the objects in the image. \\nname the'], ['the two pieces of blue material are each connected with a wire and are tied in a knot. the'], ['the knot is a popular decoration item in traditional japanese culture, where it represents the union of two people']]"
data/images/noun/2009-600.jpg,2009,dog toy,47,78,65,45,"[['this is a question about the shape of objects'], ['a toy'], ['a large orange toy shaped like a large spiky piece of wood, with spikes on the sides.'], ['the objects are the toys of a boy with a toy mouse'], ['the toy is made of a rubber that is shaped like an orange sponge'], ['dog toy \\nq: name the objects in the image. \\na: dog toy'], ['\\n\\nq: name the objects in the image. \\n\\na: \\'], ['this is an orange fuzzy dog toy that is shaped like an x'], ['the object is an orange shaped toy, with spikes.'], ['orange sea sponge - size 10 - \\nq: name the objects in the image. \\n'], ['the animal shaped toy is the letter x. \\n \\n'], ['there is a purple dog bone and a green plastic ball.'], ['name the objects in the image.'], [""i'm a big fan of dogs and their playful personalities. the image is a toy that i created""], [''], ['\\n\\nthe answer is that there is a letter ""i"" on the dog toy'], [""the animal is on top of a letter 'x' shaped toy""], ['i would say the orange spiky thing with spikes on the end is a toothbrush'], ['\\n \\n\\nq: name the objects in the image. \\na: \\'], [""it's the 'hole' toy, a toy with a hole in it. \\n\\""], ['หน้าหน้าส�'], ['the image is an orange rubber dog toy'], ['this is a giant orange dog toy'], ['orange dog toy'], ['a stuffed toy animal made to look like a starfish with a handle and two tails, one of'], ['\\nthe image is of a toy that looks like a cross shaped'], ['the object in the image is the toy of a large orange ball'], ['the animal shaped toy, on white background, and the green and white dog toys'], ['spiky dog toys'], ['dog toys are in the picture. \\n \\ndog toys are in the picture. \\n'], [""the object is called an 'h'""], ['name the objects in the image. \\nq: what is the object in the image? \\'], ['the image is of a letter x. \\nname the objects in the image. \\na'], ['the two objects are toys made from rubber and shaped like a letter x'], ['the toy is a large orange toy with spikes on the ends'], ['this image shows an object'], ['dog toy \\nq: what is the dog toy in the image? \\na: dog'], ['the two orange objects in the image are toys that are shaped like the letter x'], [""q is for q - the object that's on the image is an orange dog toy""], ['it looks like a dog toy']]"
data/images/noun/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,"[['they are the blue, red, and yellow balls in the image'], ['a red and white ball with multi colored dots on it'], ['an inflatable dog toy with an attached rope. \\n\\n\\n\\n\\n'], ['this is the dog toy. \\nq: what does the word ""dog"" mean? \\'], [""i think it's the red rubber toy with yellow and blue polka dots. \\n\\n""], ['it is a rubber ball with colorful polka dots'], ['the object is a small red ball with multi - colored dots'], ['this is a corrugated ball. \\nq: what does this image mean? \\n'], ['an orange and blue ball. \\nq: name the objects in the image. \\na'], ['a red dog toy with white and yellow dots and a blue and red ball'], ['red dog toys. \\nq: what does the image show? \\na: a toy'], ['the dog bone. \\nq: name the objects in the image. \\na: the'], ['the ball on the right is the red and blue toy, the ball on the left is the yellow'], ['toy ball'], ['\\nname the objects in the image.'], ['the red dog toy on the left is a red rubber ball'], [''], ['dog toy'], ['a red ball with multi colored dots.\\n\\nq: name the objects in the image'], ['it is a small ball shaped object in a bright red color. \\nq: name the objects'], ['toy ball.'], ['the objects are red rubber balls.\\n \\nq: what is the purpose of the objects'], ['there are no answers available for this image. please see the help pages for an explanation.'], ['a red, white and blue colored dog toy on a white background. \\n\\nq:'], ['\\nthe two balls in the image are red and yellow, each'], ['red rubber ball with blue and yellow dots.'], ['the red and white dog toys in the image are red and white dog toys.bengals'], ['\\n\\na: red ball'], ['the objects in the image are a red and yellow ball, a red and blue star and a red'], [""it's a dog toy.just curious, how many points are you at?""], ['a ball with colored polka dots on a white background.'], ['a toy ball, a toy stick and a toy ball.'], ['the toy is a toy.\\nq: what color are the toys in the image? \\'], ['the toys are shaped like balls with holes on the top.you could just go in your inventory'], ['the image is of a dog toy with dots and balls'], [""rubik's cube. \\nq: name the objects in the image. \\na:""], ['the red and blue ball'], ['a rubber ball and a red cone'], ['the objects are two small balls with different colors and shapes'], ['the objects in the image are the red and yellow ball toy with blue and yellow stars']]"
