image,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,llava_output,llava_saliencies,llava_saliency_rate
data/images/noun/2001-600.jpg,2001,bee have trap,19,50,66,14,"['In the image, there are two clear plastic containers with a yellowish tint. They are', 'In the image, there are two plastic toys, which appear to be small containers or containers', 'The image features two clear plastic containers, which are likely designed to hold small items. One container', 'In the image, there is a close-up of two yellow plastic balls. The balls are', 'In the image, there are two plastic toy chicks sitting next to each other. They']","[(['Yellow'], ['Plastic']), ([], ['Plastic']), ([], ['Plastic']), (['Yellow'], ['Plastic']), ([], ['Plastic'])]","(40, 100)"
data/images/noun/2002-600.jpg,2002,bookend,22,83,59,9,"['In the image, there is a red vase with a curved shape, possibly made of metal', 'In the image, there is a red vase sitting on a white surface. The vase is', 'In the image, there is a red vase with a curved, elongated shape.', 'The image features a red, curved, and shiny sculpture. It appears to be a', 'The image features a large, red, vase-shaped sculpture or statue. The v']","[(['Red'], []), (['Red', 'White'], []), (['Red'], []), (['Red'], ['Shiny']), (['Red'], [])]","(100, 20)"
data/images/noun/2003-600.jpg,2003,fidget toy,59,74,19,0,"['In the image, there is a stack of wooden blocks, with each block featuring a different color.', 'In the image, there is a wooden toy made to look like a colorful brick wall.', 'In the image, there is a colorful wooden toy shaped like a letter ""Y""', 'In the image, there is a colorful wooden toy shaped like a large letter ""Y', 'The image features a stack of colorful wooden blocks, each with a different color. The blocks are']","[([], ['Wooden']), ([], ['Wooden']), ([], ['Wooden']), ([], ['Wooden']), ([], ['Wooden'])]","(0, 100)"
data/images/noun/2004-600.jpg,2004,pencil sharpener,41,70,48,52,"['In the image, there is a bright orange and yellow plastic ring with a hole in the center', 'The image features a yellow plastic ring with a hole in the middle, sitting on a white background', 'The image features a bright yellow plastic ring with a hole in the center, sitting on a white', 'In the image, there is a close-up of an orange and yellow ball with a hole in', 'In the image, there is a bright orange plastic toy with a hole in the center.']","[(['Orange', 'Yellow'], ['Plastic']), (['Yellow'], ['Plastic']), (['Yellow', 'White'], ['Plastic']), (['Orange', 'Yellow'], []), (['Orange'], ['Plastic'])]","(100, 80)"
data/images/noun/2005-600.jpg,2005,fish tank stone,6,25,81,13,"['In the image, there is a pink and blue plastic piece that resembles a bird', ""The image features a pink and yellow sculpture of a bird's wing, possibly a but"", 'In the image, there is a pink winged object, which appears to be a sculpture', 'In the image, there is a pink, multicolored, and rainbow-colored', 'In the image, there is a pink and blue object that resembles a bird wing,']","[(['Blue', 'Pink'], ['Plastic']), (['Yellow', 'Pink'], []), (['Pink'], []), (['Red', 'Pink'], []), (['Blue', 'Pink'], [])]","(100, 20)"
data/images/noun/2006-600.jpg,2006,space ship top,34,64,31,3,"['In the image, there is a silver, dome-shaped object with red lights on it', 'In the image, there is a silver, dome-shaped object with a red dot in', 'In the image, there is a small silver object, which appears to be a silver dome or', 'In the image, there is a silver space ship-shaped object with a blue top. The', 'In the image, there is a silver, round object with a central hole. It is mounted on']","[(['Red', 'Silver'], []), (['Red', 'Silver'], []), (['Silver'], []), (['Blue', 'Silver'], []), (['Silver'], [])]","(100, 0)"
data/images/noun/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,"['In the image, there is a black object with a red handle, sitting on a white background.', 'In the image, there is a black plastic object with a red stem, sitting on a white', 'In the image, there is a black object with a red tip, sitting on a white background.', 'In the image, there is a black and red object, which appears to be a plastic or', 'In the image, there is a black object that looks like a rubber ball with a red handle']","[(['Red', 'Black'], []), (['Red', 'Black', 'White'], ['Plastic']), (['Red', 'Black'], []), (['Red', 'Black'], ['Plastic']), (['Red', 'Black'], ['Rubber'])]","(100, 60)"
data/images/noun/2008.jpg,2008,curlers formed together,34,25,48,16,"['In the image, there is a blue cylinder with three smaller cylinders attached to it,', 'In the image, there is a blue object with a curved shape, possibly made of rubber', 'In the image, there is a blue object with a white top, which appears to be a pl', 'In the image, there is a blue object, which appears to be a piece of plastic,', 'In the image, there is a close-up of a blue object that appears to be a cur']","[(['Blue'], []), (['Blue'], ['Rubber']), (['Blue', 'White'], []), (['Blue'], ['Plastic']), (['Blue'], [])]","(100, 40)"
data/images/noun/2009-600.jpg,2009,dog toy,47,78,65,45,"['In the image, there is a large orange and yellow ball with a spiky texture, res', 'In the image, there is a close-up of an orange object that looks like a cact', 'In the image, there is a close-up of an orange object that looks like a spik', 'The image features an orange, spiky, and somewhat odd-shaped object. It is', 'In the image, there is an orange and brown spiky object, which appears to be a']","[(['Orange', 'Yellow'], []), (['Orange'], []), (['Orange'], []), (['Orange'], []), (['Orange', 'Brown'], [])]","(100, 0)"
data/images/noun/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,"['In the image, there are two red and yellow balls, possibly made of rubber, sitting on', 'In the image, there are two red and blue balls with yellow polka dots. They are', 'In the image, there is a red and yellow ball with blue spots. It is sitting on', 'The image features a close-up of a red and yellow toy, which appears to be a', 'In the image, there is a close-up view of a red and yellow ball with blue sp']","[(['Red', 'Yellow'], ['Rubber']), (['Red', 'Yellow', 'Blue'], []), (['Red', 'Yellow', 'Blue'], []), (['Red', 'Yellow'], []), (['Red', 'Yellow', 'Blue'], [])]","(100, 20)"
data/images/noun/2011-600.jpg,2011,noisemaker,22,75,88,3,"['In the image, there is a green and orange toy with a face. It appears to be', 'In the image, there is a green plastic toy, possibly a toy car or a', 'In the image, there is a green plastic toy shaped like a face. It appears', 'In the image, there is a green and orange toy car with a face on it. The', 'In the image, there is a green and orange plastic toy, which appears to be a']","[(['Orange', 'Green'], []), (['Green'], ['Plastic']), (['Green'], ['Plastic']), (['Orange', 'Green'], []), (['Orange', 'Green'], ['Plastic'])]","(100, 60)"
data/images/noun/2012-600.jpg,2012,coiled worm toy,41,50,59,41,"['In the image, there is a large, red, and orange plastic toy or sculpture', 'In the image, there is a close-up view of a bright pink, spiky', 'In the image, there is a close-up of a bright pink, fuzzy,', 'The image features a close-up of a bright pink, spiky, and squish', 'In the image, there is a bright pink, squishy, and fuzzy object']","[(['Red', 'Orange'], ['Plastic']), (['Pink'], []), (['Pink'], ['Fuzzy']), (['Pink'], []), (['Pink'], ['Fuzzy'])]","(100, 60)"
data/images/noun/2013-600.jpg,2013,sling shot,6,20,87,6,"[""In the image, there is an orange and yellow plastic object that resembles a person'"", 'In the image, there is an orange plastic object with a red top, which appears to be', ""The image features a close-up of a toy, likely a child's toy,"", 'In the image, there is a toy shaped like a face with a red or orange head', 'In the image, there is a brightly colored, orange plastic object that resembles a']","[(['Orange', 'Yellow'], ['Plastic']), (['Red', 'Orange'], ['Plastic']), ([], []), (['Red', 'Orange'], []), (['Red', 'Orange'], ['Plastic'])]","(80, 60)"
data/images/noun/2014-600.jpg,2014,this light-up toy,38,75,39,0,"['In the image, there is a colorful and shiny toy shaped like a microphone', 'In the image, there is a purple and pink object that resembles a microphone', 'In the image, there is a colorful, rainbow-colored toy, which appears', 'In the image, there is a colorful, round toy with a purple and pink', 'In the image, there is a pink and purple toy shaped like a microphone']","[([], ['Shiny']), (['Purple', 'Pink'], []), (['Red'], []), (['Purple', 'Pink'], []), (['Purple', 'Pink'], [])]","(80, 20)"
data/images/noun/2015-600.jpg,2015,ball catcher,38,78,55,10,"['In the image, there is a blue plastic item with a hole in the middle. It appears', 'In the image, there is a blue plastic object with a hole in the middle. The object', 'In the image, there is a blue object that resembles a sports gear or a protect', 'In the image, there is a blue plastic object with holes in it. It appears to be', 'In the image, there is a blue object that looks like a piece of sports equipment or a protect']","[(['Blue'], ['Plastic']), (['Blue'], ['Plastic']), (['Blue'], []), (['Blue'], ['Plastic']), (['Blue'], [])]","(100, 60)"
data/images/noun/2016 600dpi.jpg,2016,bird toy,28,21,61,6,"['In the image, there is a blue and white rug with a yellow handle, which appears to be', 'In the image, there is a blue and white rug on a white background. The rug has a', 'In the image, there is a blue and white rug hanging over the side of a round orange', 'In the image, there is a blue and white rug, which appears to be a bath mat,', 'In the image, there is a blue and white rug on a white background. The rug is made']","[(['Yellow', 'Blue', 'White'], []), (['Blue'], []), (['Orange', 'Blue', 'White'], []), (['Blue', 'White'], []), (['Blue'], [])]","(100, 0)"
data/images/noun/2017-600.jpg,2017,kenetic wheel,41,29,23,13,"['In the image, there is a toy with a blue clip and a green wheel on a white', 'In the image, there is a metal clip with a blue clip attached to it. The blue clip', 'In the image, there is a blue clip with a small wheel attached to it, which is sitting', 'In the image, there is a toy car with a blue wheel attached to it. The to', 'In the image, there is a small toy with a blue clip and a green wheel attached to']","[(['Green', 'Blue', 'White'], []), (['Blue'], []), (['Blue'], []), (['Blue'], []), (['Green', 'Blue'], [])]","(100, 0)"
data/images/noun/2018-600.jpg,2018,this coils string,16,50,61,6,"['In the image, there is a yellow plastic container with a clear top, sitting on a white', 'In the image, there is a yellow plastic bowl or container with a silver metal top.', 'In the image, there is a yellow plastic bowl with a clear lid on it. The', 'The image features a yellow bowl with a transparent cover. The bowl is filled with a white', 'In the image, there is a small yellow plastic container with a clear plastic lining.']","[(['Yellow', 'White'], ['Plastic']), (['Yellow', 'Silver'], ['Plastic']), (['Yellow'], ['Plastic']), (['Yellow', 'White'], ['Transparent']), (['Yellow'], ['Plastic'])]","(100, 100)"
