index,image,blip2_output,shuffled_options,prompted_questions
95,data/images/quantifier/test_95.png,"[['1'], ['c'], ['all'], ['all the animals'], ['none']]","[{'a': 'almost all', 'b': 'many', 'c': 'all', 'd': 'most', 'e': 'some', 'f': 'none', 'g': 'few', 'h': 'the smaller part', 'i': 'almost none'}, {'a': 'almost none', 'b': 'many', 'c': 'few', 'd': 'most', 'e': 'none', 'f': 'the smaller part', 'g': 'some', 'h': 'almost all', 'i': 'all'}, {'a': 'few', 'b': 'none', 'c': 'the smaller part', 'd': 'almost all', 'e': 'most', 'f': 'some', 'g': 'all', 'h': 'almost none', 'i': 'many'}, {'a': 'none', 'b': 'all', 'c': 'few', 'd': 'many', 'e': 'almost all', 'f': 'most', 'g': 'some', 'h': 'almost none', 'i': 'the smaller part'}, {'a': 'most', 'b': 'almost all', 'c': 'none', 'd': 'the smaller part', 'e': 'all', 'f': 'some', 'g': 'few', 'h': 'almost none', 'i': 'many'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: many\nC: all\nD: most\nE: some\nF: none\nG: few\nH: the smaller part\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: many\nC: few\nD: most\nE: none\nF: the smaller part\nG: some\nH: almost all\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: none\nC: the smaller part\nD: almost all\nE: most\nF: some\nG: all\nH: almost none\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: all\nC: few\nD: many\nE: almost all\nF: most\nG: some\nH: almost none\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: almost all\nC: none\nD: the smaller part\nE: all\nF: some\nG: few\nH: almost none\nI: many\nAnswer:']"
15,data/images/quantifier/test_15.png,"[[''], ['all'], ['h'], ['i'], ['all animals are there']]","[{'a': 'few', 'b': 'almost none', 'c': 'many', 'd': 'none', 'e': 'some', 'f': 'all', 'g': 'the smaller part', 'h': 'almost all', 'i': 'most'}, {'a': 'some', 'b': 'none', 'c': 'all', 'd': 'few', 'e': 'the smaller part', 'f': 'almost none', 'g': 'many', 'h': 'almost all', 'i': 'most'}, {'a': 'most', 'b': 'some', 'c': 'almost none', 'd': 'the smaller part', 'e': 'almost all', 'f': 'many', 'g': 'none', 'h': 'few', 'i': 'all'}, {'a': 'none', 'b': 'few', 'c': 'almost none', 'd': 'many', 'e': 'most', 'f': 'the smaller part', 'g': 'some', 'h': 'almost all', 'i': 'all'}, {'a': 'some', 'b': 'few', 'c': 'almost none', 'd': 'the smaller part', 'e': 'almost all', 'f': 'all', 'g': 'most', 'h': 'many', 'i': 'none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost none\nC: many\nD: none\nE: some\nF: all\nG: the smaller part\nH: almost all\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: none\nC: all\nD: few\nE: the smaller part\nF: almost none\nG: many\nH: almost all\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: some\nC: almost none\nD: the smaller part\nE: almost all\nF: many\nG: none\nH: few\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: few\nC: almost none\nD: many\nE: most\nF: the smaller part\nG: some\nH: almost all\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: few\nC: almost none\nD: the smaller part\nE: almost all\nF: all\nG: most\nH: many\nI: none\nAnswer:']"
30,data/images/quantifier/test_30.png,"[['a'], ['most'], ['there are 3 animals in this image'], ['a'], ['g']]","[{'a': 'the smaller part', 'b': 'almost none', 'c': 'most', 'd': 'many', 'e': 'some', 'f': 'none', 'g': 'all', 'h': 'almost all', 'i': 'few'}, {'a': 'almost none', 'b': 'the smaller part', 'c': 'many', 'd': 'none', 'e': 'all', 'f': 'few', 'g': 'most', 'h': 'almost all', 'i': 'some'}, {'a': 'most', 'b': 'the smaller part', 'c': 'all', 'd': 'almost none', 'e': 'none', 'f': 'few', 'g': 'almost all', 'h': 'some', 'i': 'many'}, {'a': 'none', 'b': 'almost none', 'c': 'all', 'd': 'few', 'e': 'many', 'f': 'the smaller part', 'g': 'almost all', 'h': 'most', 'i': 'some'}, {'a': 'few', 'b': 'many', 'c': 'most', 'd': 'almost all', 'e': 'almost none', 'f': 'the smaller part', 'g': 'all', 'h': 'some', 'i': 'none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: almost none\nC: most\nD: many\nE: some\nF: none\nG: all\nH: almost all\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: the smaller part\nC: many\nD: none\nE: all\nF: few\nG: most\nH: almost all\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: the smaller part\nC: all\nD: almost none\nE: none\nF: few\nG: almost all\nH: some\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: almost none\nC: all\nD: few\nE: many\nF: the smaller part\nG: almost all\nH: most\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: many\nC: most\nD: almost all\nE: almost none\nF: the smaller part\nG: all\nH: some\nI: none\nAnswer:']"
158,data/images/quantifier/test_158.png,"[['a'], ['all'], ['the smaller part'], ['most'], ['all']]","[{'a': 'most', 'b': 'the smaller part', 'c': 'all', 'd': 'some', 'e': 'many', 'f': 'almost none', 'g': 'almost all', 'h': 'few', 'i': 'none'}, {'a': 'many', 'b': 'most', 'c': 'almost all', 'd': 'none', 'e': 'some', 'f': 'all', 'g': 'few', 'h': 'almost none', 'i': 'the smaller part'}, {'a': 'some', 'b': 'almost all', 'c': 'none', 'd': 'few', 'e': 'most', 'f': 'almost none', 'g': 'the smaller part', 'h': 'all', 'i': 'many'}, {'a': 'some', 'b': 'almost none', 'c': 'few', 'd': 'all', 'e': 'most', 'f': 'the smaller part', 'g': 'none', 'h': 'almost all', 'i': 'many'}, {'a': 'few', 'b': 'many', 'c': 'almost all', 'd': 'all', 'e': 'none', 'f': 'most', 'g': 'the smaller part', 'h': 'almost none', 'i': 'some'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: the smaller part\nC: all\nD: some\nE: many\nF: almost none\nG: almost all\nH: few\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: most\nC: almost all\nD: none\nE: some\nF: all\nG: few\nH: almost none\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: almost all\nC: none\nD: few\nE: most\nF: almost none\nG: the smaller part\nH: all\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: almost none\nC: few\nD: all\nE: most\nF: the smaller part\nG: none\nH: almost all\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: many\nC: almost all\nD: all\nE: none\nF: most\nG: the smaller part\nH: almost none\nI: some\nAnswer:']"
128,data/images/quantifier/test_128.png,"[['a'], ['many'], [''], [''], ['a']]","[{'a': 'many', 'b': 'the smaller part', 'c': 'almost none', 'd': 'most', 'e': 'all', 'f': 'few', 'g': 'almost all', 'h': 'none', 'i': 'some'}, {'a': 'some', 'b': 'the smaller part', 'c': 'almost none', 'd': 'none', 'e': 'most', 'f': 'almost all', 'g': 'few', 'h': 'many', 'i': 'all'}, {'a': 'all', 'b': 'many', 'c': 'most', 'd': 'almost all', 'e': 'almost none', 'f': 'the smaller part', 'g': 'some', 'h': 'none', 'i': 'few'}, {'a': 'all', 'b': 'almost none', 'c': 'most', 'd': 'some', 'e': 'few', 'f': 'many', 'g': 'none', 'h': 'almost all', 'i': 'the smaller part'}, {'a': 'few', 'b': 'almost all', 'c': 'none', 'd': 'almost none', 'e': 'some', 'f': 'all', 'g': 'many', 'h': 'most', 'i': 'the smaller part'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: the smaller part\nC: almost none\nD: most\nE: all\nF: few\nG: almost all\nH: none\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: the smaller part\nC: almost none\nD: none\nE: most\nF: almost all\nG: few\nH: many\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: many\nC: most\nD: almost all\nE: almost none\nF: the smaller part\nG: some\nH: none\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: almost none\nC: most\nD: some\nE: few\nF: many\nG: none\nH: almost all\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost all\nC: none\nD: almost none\nE: some\nF: all\nG: many\nH: most\nI: the smaller part\nAnswer:']"
115,data/images/quantifier/test_115.png,"[['d'], ['d'], ['d'], ['a)'], ['a']]","[{'a': 'almost all', 'b': 'all', 'c': 'some', 'd': 'the smaller part', 'e': 'none', 'f': 'almost none', 'g': 'many', 'h': 'few', 'i': 'most'}, {'a': 'few', 'b': 'some', 'c': 'all', 'd': 'the smaller part', 'e': 'almost none', 'f': 'almost all', 'g': 'most', 'h': 'many', 'i': 'none'}, {'a': 'none', 'b': 'some', 'c': 'almost none', 'd': 'many', 'e': 'most', 'f': 'the smaller part', 'g': 'almost all', 'h': 'few', 'i': 'all'}, {'a': 'most', 'b': 'few', 'c': 'many', 'd': 'almost none', 'e': 'almost all', 'f': 'none', 'g': 'some', 'h': 'the smaller part', 'i': 'all'}, {'a': 'few', 'b': 'many', 'c': 'none', 'd': 'the smaller part', 'e': 'most', 'f': 'almost none', 'g': 'all', 'h': 'some', 'i': 'almost all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: all\nC: some\nD: the smaller part\nE: none\nF: almost none\nG: many\nH: few\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: some\nC: all\nD: the smaller part\nE: almost none\nF: almost all\nG: most\nH: many\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: some\nC: almost none\nD: many\nE: most\nF: the smaller part\nG: almost all\nH: few\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: few\nC: many\nD: almost none\nE: almost all\nF: none\nG: some\nH: the smaller part\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: many\nC: none\nD: the smaller part\nE: most\nF: almost none\nG: all\nH: some\nI: almost all\nAnswer:']"
1776,data/images/quantifier/test_1776.png,"[['all'], ['a'], ['d'], ['c'], ['b']]","[{'a': 'many', 'b': 'almost none', 'c': 'the smaller part', 'd': 'none', 'e': 'most', 'f': 'some', 'g': 'almost all', 'h': 'all', 'i': 'few'}, {'a': 'none', 'b': 'many', 'c': 'the smaller part', 'd': 'almost none', 'e': 'most', 'f': 'some', 'g': 'few', 'h': 'almost all', 'i': 'all'}, {'a': 'almost none', 'b': 'some', 'c': 'almost all', 'd': 'many', 'e': 'most', 'f': 'few', 'g': 'all', 'h': 'the smaller part', 'i': 'none'}, {'a': 'all', 'b': 'few', 'c': 'most', 'd': 'the smaller part', 'e': 'almost all', 'f': 'many', 'g': 'some', 'h': 'almost none', 'i': 'none'}, {'a': 'almost all', 'b': 'most', 'c': 'many', 'd': 'none', 'e': 'the smaller part', 'f': 'almost none', 'g': 'few', 'h': 'some', 'i': 'all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: almost none\nC: the smaller part\nD: none\nE: most\nF: some\nG: almost all\nH: all\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: many\nC: the smaller part\nD: almost none\nE: most\nF: some\nG: few\nH: almost all\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: some\nC: almost all\nD: many\nE: most\nF: few\nG: all\nH: the smaller part\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: few\nC: most\nD: the smaller part\nE: almost all\nF: many\nG: some\nH: almost none\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: most\nC: many\nD: none\nE: the smaller part\nF: almost none\nG: few\nH: some\nI: all\nAnswer:']"
1633,data/images/quantifier/test_1633.png,"[['b'], ['e'], ['b'], ['a'], ['b']]","[{'a': 'some', 'b': 'most', 'c': 'few', 'd': 'almost all', 'e': 'all', 'f': 'the smaller part', 'g': 'none', 'h': 'almost none', 'i': 'many'}, {'a': 'almost all', 'b': 'the smaller part', 'c': 'some', 'd': 'all', 'e': 'almost none', 'f': 'few', 'g': 'none', 'h': 'many', 'i': 'most'}, {'a': 'almost all', 'b': 'all', 'c': 'few', 'd': 'some', 'e': 'almost none', 'f': 'many', 'g': 'the smaller part', 'h': 'none', 'i': 'most'}, {'a': 'almost all', 'b': 'almost none', 'c': 'many', 'd': 'few', 'e': 'some', 'f': 'the smaller part', 'g': 'most', 'h': 'none', 'i': 'all'}, {'a': 'the smaller part', 'b': 'none', 'c': 'almost all', 'd': 'almost none', 'e': 'all', 'f': 'most', 'g': 'many', 'h': 'some', 'i': 'few'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: most\nC: few\nD: almost all\nE: all\nF: the smaller part\nG: none\nH: almost none\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: the smaller part\nC: some\nD: all\nE: almost none\nF: few\nG: none\nH: many\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: all\nC: few\nD: some\nE: almost none\nF: many\nG: the smaller part\nH: none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: almost none\nC: many\nD: few\nE: some\nF: the smaller part\nG: most\nH: none\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: none\nC: almost all\nD: almost none\nE: all\nF: most\nG: many\nH: some\nI: few\nAnswer:']"
1721,data/images/quantifier/test_1721.png,"[['g'], [''], ['a'], ['a'], ['']]","[{'a': 'none', 'b': 'almost none', 'c': 'all', 'd': 'the smaller part', 'e': 'most', 'f': 'many', 'g': 'few', 'h': 'almost all', 'i': 'some'}, {'a': 'many', 'b': 'all', 'c': 'almost none', 'd': 'most', 'e': 'few', 'f': 'the smaller part', 'g': 'almost all', 'h': 'some', 'i': 'none'}, {'a': 'few', 'b': 'all', 'c': 'none', 'd': 'almost none', 'e': 'many', 'f': 'almost all', 'g': 'the smaller part', 'h': 'most', 'i': 'some'}, {'a': 'almost all', 'b': 'most', 'c': 'few', 'd': 'some', 'e': 'many', 'f': 'none', 'g': 'all', 'h': 'almost none', 'i': 'the smaller part'}, {'a': 'many', 'b': 'most', 'c': 'almost all', 'd': 'the smaller part', 'e': 'none', 'f': 'few', 'g': 'some', 'h': 'almost none', 'i': 'all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: almost none\nC: all\nD: the smaller part\nE: most\nF: many\nG: few\nH: almost all\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: all\nC: almost none\nD: most\nE: few\nF: the smaller part\nG: almost all\nH: some\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: all\nC: none\nD: almost none\nE: many\nF: almost all\nG: the smaller part\nH: most\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: most\nC: few\nD: some\nE: many\nF: none\nG: all\nH: almost none\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: most\nC: almost all\nD: the smaller part\nE: none\nF: few\nG: some\nH: almost none\nI: all\nAnswer:']"
1780,data/images/quantifier/test_1780.png,"[['none'], ['h'], ['b'], ['g'], ['b']]","[{'a': 'most', 'b': 'many', 'c': 'some', 'd': 'none', 'e': 'few', 'f': 'almost none', 'g': 'the smaller part', 'h': 'all', 'i': 'almost all'}, {'a': 'all', 'b': 'the smaller part', 'c': 'almost none', 'd': 'most', 'e': 'almost all', 'f': 'none', 'g': 'many', 'h': 'few', 'i': 'some'}, {'a': 'the smaller part', 'b': 'all', 'c': 'almost all', 'd': 'few', 'e': 'many', 'f': 'some', 'g': 'almost none', 'h': 'most', 'i': 'none'}, {'a': 'few', 'b': 'many', 'c': 'most', 'd': 'the smaller part', 'e': 'almost all', 'f': 'some', 'g': 'almost none', 'h': 'none', 'i': 'all'}, {'a': 'most', 'b': 'the smaller part', 'c': 'many', 'd': 'none', 'e': 'some', 'f': 'few', 'g': 'all', 'h': 'almost all', 'i': 'almost none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: many\nC: some\nD: none\nE: few\nF: almost none\nG: the smaller part\nH: all\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: the smaller part\nC: almost none\nD: most\nE: almost all\nF: none\nG: many\nH: few\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: all\nC: almost all\nD: few\nE: many\nF: some\nG: almost none\nH: most\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: many\nC: most\nD: the smaller part\nE: almost all\nF: some\nG: almost none\nH: none\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: the smaller part\nC: many\nD: none\nE: some\nF: few\nG: all\nH: almost all\nI: almost none\nAnswer:']"
