image,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,blip2_output
data/images/noun/2001-600.jpg,2001,bee have trap,19,50,66,14,"[['the image shows the item is orange'], ['i see a yellow plastic shell for a dog toy\\nq: why do you think this is'], ['an orange egg-shaped product with holes for both ends. \\nq: what is the name'], [""a yellow plastic shelli've had a few experiences like this but i've never actually been to""], ['a orange silicone mouse, one mouse. \\nq: what do you see in the image?'], ['in the image, we can see a clear plastic object'], ['the image is a 3d model of a 3d printed object.'], ['what do you see in the image? \\na: what do you see in the image?'], ['image not clear\\n\\n\\n\\n\\n\\n\\n\\n\\'], ['an orange ball. \\nq: what do you see in the image? \\na:'], ['an orange and yellow round dog toy'], ['a plastic bag'], ['an orange dog toy. \\n\\nq: what color do you see? \\na'], ['i see two people sitting on a table. \\nq: how did you find the image?'], ['orange'], ['an orange ball'], ['the image is of the product'], ['the image shows a dog in a small plastic container'], ['an orange bulb with holes on it'], ['we can provide a good quality of this product and can help you get the best price'], ['it is an orange plastic egg shaped toy for cats'], ['a picture of a clear shell with a white background. \\nq: where is the image from'], ['you can see an orange shape with two holes'], ['this is an image of the product. the image is a photograph of a real product.'], ['an image of an orange plastic item'], ['a pair of ears in the shape of a large orange animal on a white background.\\n\\'], ['the image shows an image of the product. \\n \\nq: is this product new?'], ['a small yellow plastic ball on top of a white background""this is my first year working with'], ['image not available.'], ['a pair of yellow turtle shaped objects \\nq: how do you use this item? \\n'], ['orange toy with holes and two orange ballsi have a feeling that the only reason why the ""'], ['the image shows a glass animal in the shape of a dog.\\n\\n\\n\\'], ['the product is made of a material of plastic'], ['what do you see in the image?\\n\\n\\n\\n\\n\\n'], [""you see a dog's nose in the image. \\n\\nq: what do you see""], ['the image shows two yellow balls that look like two big orange balls'], ['you see two animals wearing yellow hats, which are sitting next to each other'], ['this is an example of a piece that was created with the image editor.'], ['image preview\\nq: what is the correct image? \\na: image preview\\n'], [""a small animal's eye with a clear, round shape and a slightly smaller round hole, that has""]]"
data/images/noun/2002-600.jpg,2002,bookend,22,83,59,9,"[['the sculpture is in red color.'], ['a vase with a red top and a large curve'], ['the red glass vase.\\nq: can you tell me the brand name of this piece'], ['a red vase'], ['a red vase with curved top'], ['a red vase with a wavy shape'], ['red vase\\n\\n\\n\\n\\n\\n\\n\\n\\'], ['i see a modern and colorful metal vase on a metal base with a metal armature, a'], ['this red and black sculpture is an abstract design'], ['the red color is a symbol of love'], ['a red metal sculpture that has a large curved piece'], ['red glass sculpture. \\n\\nq: what is the size of the glass sculpture? \\'], ['this is a red metal sculpture'], ['you see the red metal sculpture of a curvy vase, with a base of white.'], ['it is a red object with a wavy design'], ['a red metal sculpture'], ['red vase\\nq: what do you think of the product? \\na: great'], ['a red glass sculpture on a stand, in the form of a wavy line'], ['in the image, you can see a red metal sculpture on a black background. \\nq:'], ['i see a red marble shaped vase, which is a sculpture made of red marble.that'], ['\\na: the image is a red vase.\\na: \\na:'], ['the vase is red, which makes it a little harder to identify what it is, so it'], ['\\n\\na: \\n\\na: \\n\\na: \\n'], ['the red vase'], ['a red metal sculpture on a stand'], ['a red vase on a white background'], ['a red metal vase, it is designed with the style of the current era and has a high'], ['the red abstract sculpture stands on the red base'], ['red color.\\nq: what color is the product in the image? \\na:'], ['\\na: a red abstract sculpture with a single curved piece'], ['red metal art - red metal art \\nq: how much will it cost? \\na'], ['a red metal sculpture. \\nq: what do you see in the image? \\na'], ['a red sculpture with a black and white pattern on it'], ['a red metal sculpture with a curved design. \\n\\nq: what do you see in'], ['you can see a red metal sculpture with a wavy curve.'], ['\\nthe red sculptural vase has an oval shape.'], ['a red metal vase with a curvy design'], ['\\na. a red object that is shaped like a vase or a bowl, and it'], ['the red vase.'], ['\\nred glass abstract sculpture with a modern curved shape']]"
data/images/noun/2003-600.jpg,2003,fidget toy,59,74,19,0,"[['what do you see in the image? \\n\\nthis image has been cropped from a larger'], ['multicolored wooden toy blocks. \\n\\nq: what is the best way to describe'], [""multi colored blockssaw this in my newsfeed yesterday and thought i'd share, it's""], ['a letter q.\\nq: what do you see in the image? \\na:'], ['the letters of a sentence are arranged into a square, in the middle of which is the word'], ['a set of multi colored blocks with a block that is placed on the edge of the table'], ['the picture shows a multi-colored block'], ['the toy bricks with colored blocks on a white background'], ['the image is of multi-coloured blocks that are stacked together'], ['a letter shape from the picture.\\n\\nq: what is the shape? \\n'], ['the letter ""s""'], ['i see a single block made of different colored bricks'], ['the word letter o. \\n\\n\\n\\n\\n\\n\\n\\'], ['the first picture shows a toy that is made of wood'], ['a colorful wooden block with the letter s'], ['it is a colorful wooden block with four blocks'], ['a colorful stack of blocks on a white background'], ['a set of four wooden blocks of various colors'], ['multi-colored toy blocks'], ['the word ""the""'], ['multi-colored blocks stacked on each other'], ['a colorful letter a\\nq: what do you see in the image? \\na:'], ['what do you see in the image?'], [""a puzzle made of blocks that has some different colored blocks that you can't tell apart""], ['\\n'], ['the colorful blocks'], ['a wooden building block'], ['the letter q \\nq: what does q stand for? \\na: quiet\\n'], ['this is a wooden toy made of different colored wood'], ['wooden cubes'], ['a colorful toy block letters with the letters q'], [""the word 'bin'""], ['multi-colored plastic blocks'], ['an amazing and unique wooden block puzzle!'], ['a wooden letter of the alphabet that has been painted.\\n\\nq: what do you'], [""a multicolored block, which represents the alphabet 'q'""], ['a toy building block set, color coded. \\nq: what does it say? \\n'], ['the picture shows the wooden blocks which are in different colors'], ['multi-colored wooden blocks, the picture of the letter q'], ['\\n\\nthe image shows a block with four blocks on it.']]"
data/images/noun/2004-600.jpg,2004,pencil sharpener,41,70,48,52,"[['an orange, yellow, and blue plastic ball that looks like an egg. \\n\\nq'], ['a small rubber ball with a colorful and large hole, placed on top of a transparent plastic cover,'], ['a plastic ball in a plastic bag'], ['an orange and yellow sphere with a hole in the middle'], ['i see a very good picture of a ball with orange background, so the photo is of very good'], ['the orange and yellow ball'], ['\\nq: do you see an image of an orange, yellow and white object in the image'], ['the image shows the item in a close-up shot'], ['orange and yellow rubber ball with a white background'], ['i see an orange-brown egg shape, a circle on top and the side.\\nq'], ['\\nq: what do you see in the image? \\na: \\nq:'], ['a colorful orange ball'], ['orange and yellow colored toy. \\nq: what does the picture show? \\na:'], ['a colorful orange and yellow silicone ball'], ['\\na: \\na: \\na: \\na: \\na:'], ['an orange sphere with a hole in the middle \\n\\nq: what do you see in'], ['a yellow and orange toy ballwhy does this look like the beginning of a porno'], ['the image is of an orange and yellow colored dog chew toy with the image of a round'], ['this image is an illustration of the product, the item may have a different appearance'], ['the orange ball is a ball of silicone, and the yellow one is the bezel.'], ['an orange round rubber bead'], ['what do you see in the image? \\nq: what do you see in the image?'], ['\\nq: what do you see in the image? \\na: \\nq:'], ['\\n \\n \\n \\n \\n \\n \\n \\n \\n \\n'], ['a shiny and bright object. \\n\\nq: what do you think of the image?'], ['a small orange and yellow colored egg shaped rubber'], ['i see a yellow and orange plastic ball sitting in front of a white background'], ['a product is displayed.'], ['the image of the orange, yellow, and red silicone egg shape.'], ['you can see the plastic part of the ball'], ['a bright yellow color egg'], [""we have an excellent image.i'd prefer it if we could just turn it off.""], ['we see a golden ball shape with a hole for the keyring'], ['orange - yellow - blue'], ['a plastic ball that has been cut into the shape of a circle'], ['an orange and yellow object'], ['orange - the image was taken on a sunny day and the photo is not the actual product\\n'], ['an orange and yellow bead on a white background'], ['an orange and yellow candy'], ['orange-yellow']]"
data/images/noun/2005-600.jpg,2005,fish tank stone,6,25,81,13,"[['the image shows a rainbow unicorn hat that has a pink, blue, and yellow base and rainbow colored'], [""pink, purple, and yellow tie-dyed fish bowl headthat's just what happens when""], ['rainbow unicorn tail headband'], ['\\ncolorful butterfly headband \\nq: what do you see in the image? \\'], ['a colorful rainbow head band'], ['the image is a plastic cup with rainbow and white paint on it'], ['the headdress is made of a colored latex'], ['pink rainbow feather on white background'], ['the image is showing a tie dyed hat with a pink and blue feather on it'], ['\\n\\nwe see an angel wing'], ['rainbow unicorn head'], [""pink rainbow wings in a unicorn's tail shape \\nq: how to get this kind of color""], ['i see the pink and yellow feathers with the black and white body \\nq: do you know'], ['pink, white, and blue feather headband\\n\\nq: what is the purpose of'], ['a colorful rainbow tail that is the shape of a fish'], ['you see the image of a tie dye tie fighter. \\nq: do you want the same'], ['the unicorn is pink and has a rainbow color design'], ['rainbow tail headband'], ['rainbow unicorn hat'], ['a rainbow hair tie'], [""it's a colorful tie dye tail""], ['a rainbow tie dye butterfly shaped soap dispenser'], ['\\nq: \\na: \\nq: \\na: \\nq:'], ['rainbow feather headband'], ['rainbow hair on the left, pink on the right \\nq: what is the size of the'], ['an artist rendering of a rainbow and gold - colored hair dye cap, a'], ['the head of the dragon.\\nq: are you a dragon lover? \\na:'], ['the hair of a unicorn on the head of a unicorn. \\n \\nq: why is'], ['a rainbow unicorn headband'], ['an abstract pink and blue rainbow tie dye dragon hatlol, what is this?'], [""a rainbow colored tie dye unicorn hair bandcan someone tell me what's wrong with this meme?""], ['we see a rainbow colored unicorn headpiece on the right side of the image.'], ['rainbow unicorn hat'], ['a rainbow tie dyed unicorn crown'], ['i see a unicorn hat with rainbow and pink feathers on it \\nq: what do you see'], ['an eye-catching rainbow-colored tie-dyed flower with its'], ['this is the final version of the product with a rainbow pink and blue hair on top, please pay'], [""a rainbow unicorn's horn that's been colored with a spray bottle""], ['a bright and colorful hair dye. \\nq: what does it smell like? \\na'], ['a white background with a bright yellow and pink bird on it']]"
data/images/noun/2006-600.jpg,2006,space ship top,34,64,31,3,"[['the image of the space shuttle with the star wars logo'], ['a black sphere sitting on the ground with a blue sphere sitting on top of it.'], ['the star wars starfighter with a light blue paint'], ['a metal object with red eyes on a white background'], ['it is a star trek starship model, the top part has been cut away.a very happy'], ['this is a metal ufo with a circular mirror'], ['q: what do you see in the image? \\na: \\u003cstrong\\'], ['the image of a small metal ship with two windows'], ['\\nstar trek u-boat model - uss enterprise'], ['spaceshipone, a nasa space shuttle-sized spacecraft'], ['star trek transporter replica\\nq: do you see a star trek replica on this page?\\'], ['you can see that the ufo is attached to a metal tube'], ['a ship with a large dome and a smaller one on top'], ['you see a silver star wars droid'], ['an object with a red dot, with a white background, against a black background'], ['i see the model of a ship in space. \\n'], ['an object flying in space, and you cannot see anything in it'], ['it is a metal ship flying with the front window on'], ['space'], ['you can see the model of the space ship on the white background'], ['an old timey ship with a large disk on the side'], ['a white disc, with a red circle on it.'], ['the metal object is sitting on a white background'], ['it is a silver metal dish that can be attached to a small dish'], ['this is the image of a silver metal ship with a spinning wheel'], ['a star ship'], ['star trek, the original series, from the 1960s'], ['the q-9000 with a star destroyer.'], ['a ufo'], ['space ship in spacei was able to get it working by uninstalling the previous version of'], ['the ufo. \\nq: what is the image of the ship? \\na: a'], ['a silver spaceship flying in the sky.\\nq: what do you see in the image?'], ['this is the image of a u-boat model which has been turned into an inflatable balloon.'], ['the front of a silver'], ['an object with a light on top.'], ['the metal object is in the foreground, with a silver disk in the center'], ['i see a small space shuttle'], ['a ufo flying over a city'], ['a space station with a saucer shapeit\'s not an ""amazing"" thing. the'], ['a silver metal spacecraft on a white background']]"
data/images/noun/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,"[[""q: what do you see in the image?i'm going to take a stab in the""], ['\\nthe black object is a rubber ball and the red one is a spoon'], ['\\nq: what do you see in the image? \\na: \\nq:'], ['the black plastic with red tip'], ['a balloon with red handle, you can use the balloon as a stick to catch the ball. \\'], [""i think the black object is a ball, but i'm not sure""], ['a black rubber ball with red handle'], ['a black ball with red plastic stick'], ['rubber ball'], ['the image is not yet available. \\nq: what can i do about this? \\n'], ['product picture of the rubber tube and the screw with rubber seal, the rubber tube is connected with the'], ['q: what do you see in the image? \\na: https://t.co/'], ['we can make the image you have selected as the product image\\n\\n\\nproduct name'], ['a red tube inside the black ball'], ['the air ball is an effective and simple tool for removing bubbles in oil, vinegar, and other chemicals'], ['what do you see in the image? \\na: what do you see in the image?'], ['\\nwe will respond your inquiry within 24 hours. \\n'], ['a rubber cock ring.'], ['black rubber ball with red stem, a hole in the middle'], ['there is a black rubber ball with a red tube. the tube has a handle. \\nq'], ['we are selling the following product'], ['a red and black ball.'], ['\\nproduct name: qjw3d9vq3rqrq1\\'], ['the image of the product is a computer generated image'], ['a silicone egg shaped ball'], ['\\n- black, red, yellow and green ball\\n- black, red, yellow and'], ['\\nq: what do you see in the image? \\na: \\nq:'], [""a rubber ball and a stick, but they're all black and red.""], ['rubber ball with a red handle'], ['we are offering high quality black ball shapes rubber balls with high quality. \\n \\nq'], ['the ball has a red stem, and the top part has a rubber head that is attached to a'], ['a plastic ball on a red tube. \\nq: why is it that the ball looks like'], ['it is a rubber ball, it is red in color.""the world has never been a'], ['a black ball with red tip'], ['there are no images on your page. \\n \\n\\nwe will be back soon with'], ['the image is a rubber ball with a red handle'], ['the black and red ball is the shape of the mouthpiece, the tube is the bottom of the'], ['a large black rubber sphere'], ['a rubber ball'], ['q: what do you see in the image? \\na: q: what do you see']]"
data/images/noun/2008.jpg,2008,curlers formed together,34,25,48,16,"[['blue-blueyou could use this to make a new account.  use the old email address'], [''], ['\\na: \\nq: what do you see in the image? \\na:'], ['a knot, a blue bow and a blue arrow. \\nq: what do you see in'], ['blue background, white object'], ['this image is a bit distorted.'], ['a rubber toy of a rubber tube with a rope on the bottom end, a rubber tube with two'], ['the shape of a knot, and its position is shown here'], ['a rubber-band that is wrapped in a knot'], [""a single blue rubber ducki know this isn't the answer you want to hear but it's""], ['i see a pair of blue rubber fingers holding a wooden handle'], ['\\nq: what do you see in the image? \\na: \\nq:'], ['in the image of the tie, there is a blue object'], [""the product description is written in the image.>  if you're really good at the game""], ['you can see in the image that the dog toy has a blue base and the ends are white.'], ['this is a picture of a dog toy, made from rubber. \\n \\nq: what'], ['a pair of blue metal tube and an arrow with one arrow pointed at the end'], ['this is a knot, with a long end and a short end, on a white background. \\'], ['in the image, the figure of the kite is lying down on the white background'], ['the picture shows a blue rope'], ['a knot with 2 ends'], ['\\n \\n\\n\\n\\n\\n\\n\\n\\n\\n'], ['the blue plastic knot in the photo is actually the shape of a rubber'], [''], ['a blue rubber ball.'], ['\\n \\nq: what do you see in the image? \\na: \\n'], ['the image shows the product you are viewing, which is a blue and white tie knot'], ['a blue and white rubber toy'], ['the image shows a rubber toy with a small knot'], ['blue and white rope'], ['i see a man with his arm upraised, his fingers on a small rope that looks like a'], ['a large blue pipe in the shape of a knot'], ['i see a blue toy, with one end wrapped in white tissue paper'], ['a blue rubber toy. \\nq: what is the name of the product? \\na'], ['in the image, you can see two large blue rubber objects'], ['this is a closeup of the product image\\n\\nq: do you need more detail'], ['it is a blue rubber animal shaped toy'], ['a blue dog kong toy with two rubber dogs, one in each end'], [""it's a blue rope that looks like a knot, made from two blue rubber""], ['a rope that looks like the rope that was used in the movie the wizard of oz']]"
data/images/noun/2009-600.jpg,2009,dog toy,47,78,65,45,"[[""a fun little orange squishy toy that makes a great addition to your dog's play area. \\""], ['a cute orange dog toyis this real? it sounds like the kind of thing a drunk friend'], ['i see a orange shaped toy that looks like a t - rex claw'], [''], ['this is a dog toy which is made out of spiky, spiky foam and rubber. \\'], ['a chewed up toy with some spikes on it. \\nq: is this a toy for'], ['a dog toy made of a soft material,'], ['an orange toy with spikes on the top'], ['an orange spiky ball of fur with a small tail'], ['an orange ball with spikes'], ['\\n\\nq: what do you see in the image? \\n\\na:'], ['the image is a picture of a very cute toy made from foam'], ['i see a yellow toy with an orange letter'], ['\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n'], ['we see a red teddy bear with a letter x'], [''], ['a chewy bone with spikes and spines'], ['the letter x is a letter that stands for xylocarpus and is also a fun shape'], ['an image of an orange dog toy with spiky spikes'], ['a toy orange gerbil with spikes, and an orange toy ball with spikes'], ['an image of a rubber ball with orange spikes on it'], ['\\nthe word ""sponge"" has been replaced by ""sponge ball"" in the image'], [""a dog toy that looks like a starfish with a long tail and large spikes in it's body""], ['\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n'], ['an orange toy with spikes and spikes'], ['\\n\\norange dog toy \\n\\n\\n\\n\\n\\n\\'], ['a small orange rubber ball, with an odd spike on top of it'], ['an orange and green jellyfish shaped toy on a white background'], ['the shape is a jellyfish'], [""you see the letter 'u' made from the orange toy toy""], ['this is an image of the dog toy'], ['an orange dog toy that looks like an ice cube'], ['a red dog toy that has spikes'], ['a spiky orange dog toy'], ['an image of a toy that has spikes'], ['orange spiky dog toy \\nq: what is the meaning of the image? \\na'], [''], ['this is a toy in orange with spiky, spiky, spikey'], [""it's a toy shaped like a jellyfish, except it's made of plush foam. it's""], ['a big red and orange toy on white background']]"
data/images/noun/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,"[['red dog toy with multicolored spots'], ['\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n'], ['it is a red dog toy, with blue and yellow beads'], ['a rubber toy that is covered in dots.'], [""a dog's nosemiley cyrus’ ‘wrecking ball’ has had""], ['a toy toy for dogs \\nq: how do you make the toy toy for dogs\\n'], ['a toy ball toy.\\n\\n\\n\\n\\n\\n\\n\\'], [""this is a picture of an item in the product's catalog""], [''], ['a toy ball, toy ball, toy ball'], ['i see a red dog toy with multi-coloured dots. \\n\\n\\nq'], ['this image is for illustration only and is not the actual item\\nq: what do you see'], [""it's a small toy with colorful dots on it""], ['\\n\\nq: what do you see in the image?\\na: \\n'], ['red, yellow, blue, green, and white plastic toys \\nq: what do you see'], [""the image of the dog toy is shown.\\n \\nq: what's the main difference""], ['\\nthe red ball is a new type of ball that can not be found in any other toys'], ['you will see the image is a red ball that is filled with multi colored beads'], ['a red, colorful, multi-colored, round dog chew toy with red and white polka dots'], ['red & blue bubble bubbles dog toys'], ['a small toy red ball'], ['dog toy \\nq: what color is the product? \\na: red \\nq'], ['a red and blue toy ball.\\nq: why do you choose this color? \\n'], ['a large red rubber ball that is surrounded by multicolored polka dot dots.'], ['a dog toy toy that looks like a red corona, surrounded by colorful dots.'], ['an empty dog toy in a large plastic container'], ['a red toy with multicolored dots on the outside'], ['a dog toy, red ball with blue dot on the end'], ['\\nred \\nblue \\nyellow \\nmulticolored \\ntotally different \\'], ['-'], ['a ball of multicolored balls with small balls'], ['\\nq: what do you see in the image? \\na: \\nq:'], [""the product is in the image.how to build a solid foundation for your family's future""], ['\\na red ball with colorful balls. \\na: \\nq: what do you'], ['\\nq: what do you see in the image? \\na: \\nq:'], ['red and blue squeaky toy\\n \\nq: what do you see in the image?'], ['the red dog toy on the right has a red and yellow spot'], ['a toy ball in the form of a red ball, with yellow, white and blue dots.'], ['i can\'t really see anything!the only problem is that i feel like the ""big""'], ['this is a dog toy, but it looks like a toy']]"
