index,image,llava_filtered_output
95,data/images/quantifier/test_95.png,"['none', 'almost none', 'most', 'none', 'none']"
15,data/images/quantifier/test_15.png,"['none', 'none', 'none', 'none', 'almost none']"
30,data/images/quantifier/test_30.png,"['few', 'none', 'none', 'none', 'none']"
158,data/images/quantifier/test_158.png,"['none', 'none', 'none', 'none', 'none']"
128,data/images/quantifier/test_128.png,"['many', 'many', 'almost none', 'the smaller part', 'none']"
115,data/images/quantifier/test_115.png,"['almost none', 'few', 'almost none', 'none', 'almost none']"
1776,data/images/quantifier/test_1776.png,"['many', 'many', 'many', 'many', 'almost all']"
1633,data/images/quantifier/test_1633.png,"['the smaller part', 'all', 'few', 'the smaller part', 'almost none']"
1721,data/images/quantifier/test_1721.png,"['some', 'few', 'many', 'some', 'all']"
1780,data/images/quantifier/test_1780.png,"['almost all', 'some', 'most', 'some', 'some']"
1702,data/images/quantifier/test_1702.png,"['few', 'most', 'all', 'many', 'almost all']"
1735,data/images/quantifier/test_1735.png,"['the smaller part', 'some', 'few', 'few', 'few']"
1160,data/images/quantifier/test_1160.png,"['all', 'almost all', 'some', 'all', 'almost none']"
1014,data/images/quantifier/test_1014.png,"['some', 'most', 'almost all', 'some', 'some']"
1109,data/images/quantifier/test_1109.png,"['the smaller part', 'all', 'all', 'some', 'most']"
1019,data/images/quantifier/test_1019.png,"['almost all', 'some', 'almost all', 'all', 'many']"
1122,data/images/quantifier/test_1122.png,"['all', 'all', 'the smaller part', 'most', 'almost none']"
1166,data/images/quantifier/test_1166.png,"['the smaller part', 'few', 'almost all', 'the smaller part', 'almost none']"
938,data/images/quantifier/test_938.png,"['most', 'all', 'the smaller part', 'some', 'many']"
870,data/images/quantifier/test_870.png,"['none', 'some', 'the smaller part', 'none', 'some']"
863,data/images/quantifier/test_863.png,"['the smaller part', 'all', 'almost none', 'almost all', 'some']"
934,data/images/quantifier/test_934.png,"['many', 'almost none', 'some', 'almost none', 'almost all']"
866,data/images/quantifier/test_866.png,"['some', 'almost none', 'some', 'the smaller part', 'many']"
932,data/images/quantifier/test_932.png,"['all', 'few', 'almost none', 'the smaller part', 'almost none']"
711,data/images/quantifier/test_711.png,"['the smaller part', 'almost none', 'the smaller part', 'none', 'most']"
780,data/images/quantifier/test_780.png,"['few', 'almost none', 'almost none', 'the smaller part', 'some']"
793,data/images/quantifier/test_793.png,"['almost all', 'most', 'some', 'the smaller part', 'some']"
615,data/images/quantifier/test_615.png,"['some', 'none', 'few', 'few', 'almost all']"
737,data/images/quantifier/test_737.png,"['most', 'almost none', 'almost none', 'none', 'none']"
758,data/images/quantifier/test_758.png,"['few', 'many', 'almost all', 'some', 'many']"
474,data/images/quantifier/test_474.png,"['all', 'most', 'almost none', 'many', 'almost none']"
558,data/images/quantifier/test_558.png,"['some', 'many', 'some', 'almost all', 'all']"
512,data/images/quantifier/test_512.png,"['the smaller part', 'none', 'none', 'none', 'all']"
487,data/images/quantifier/test_487.png,"['few', 'some', 'almost all', 'all', 'the smaller part']"
507,data/images/quantifier/test_507.png,"['none', 'almost all', 'some', 'some', 'the smaller part']"
492,data/images/quantifier/test_492.png,"['none', 'almost none', 'almost none', 'the smaller part', 'almost all']"
212,data/images/quantifier/test_212.png,"['none', 'some', 'few', 'almost none', 'almost none']"
