image,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,fromage_output
data/images/noun/2001-600.jpg,2001,bee have trap,19,50,66,14,"[['the image shows a glass of water.'], ['the image shows the objects that are in the image.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a: the objects are the same objects that are in the image.'], ['the image shows a set of objects.'], ['the objects are a set of 3 objects.'], ['the image shows a set of objects.'], ['the image shows the objects that are in the image.'], ['the image shows the objects that are in the image.'], ['the objects are in the image.'], ['the image shows a set of objects.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['the objects are a pair of glasses.'], ['the image shows the objects in the image.'], ['the image is a collection of objects.'], ['the objects are in the image.'], ['the objects are in the image.'], ['the image shows a set of objects.'], ['the image is a collection of objects.'], ['the objects are the same as the ones in the image.'], ['the objects are a set of three balls.'], ['a: the objects are in the image.'], ['the image shows a collection of objects.'], ['the objects are the same objects that are in the image.'], ['the image is a toy.'], ['the objects are in the image.'], ['the objects are in the image.'], ['the image shows a pair of glasses.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['the objects are the ones in the image.'], ['the image shows a person and a cat.'], ['the objects are in the image.'], ['the image shows a person, a dog, a cat, a bird, a fish, a frog, a lizard, a snake, a mouse, a rat'], ['the objects are balls of different sizes.'], ['the objects in the image are the objects that are in the image.'], ['the image shows a group of objects.'], ['the image shows a group of objects.'], ['the objects are in the image.'], ['the objects are balls, and they are placed in a line.'], ['the objects are in the image.']]"
data/images/noun/2002-600.jpg,2002,bookend,22,83,59,9,"[['the objects are in the image.'], ['the objects are in the image.'], ['a: the object is a sculpture of a person.'], ['the image shows a sculpture of a woman holding a baby.'], ['the red object is a sculpture of a woman by the artist.'], ['a: the object is a sculpture of a person.'], ['a: the object is a red glass vase with a white base.'], ['the objects in the image are : a vase, a candle, a mirror, a candle, a lamp, a clock, a table, a mirror,'], ['the red object is a sculpture of a person.'], ['the object is a sculpture of a person.'], ['the red and white objects are called as the red and white objects.'], ['the red object is a vase with a red flower.'], ['the red object is a sculpture of a man.'], ['the objects in the image are : - a sculpture, - a vase, - a bowl, - a plate, - a cup, - a glass,'], ['the image shows a person holding a red flower.'], ['the objects are in the image.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a: the objects are red, yellow, green, blue, white, and silver.'], ['the red and white objects are the red and white objects.'], ['the red object is a sculpture of a woman by artist.'], ['the red object is a sculpture of a woman with a red dress.'], ['the red object is a statue of a woman.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['the red object is a sculpture of a person.'], ['the objects in the image are : \\n1.'], ['a: the objects in the image are a vase, a candle, a lamp, a plate, a glass, a bowl, a cup, a spoon'], ['the objects are red, white and blue.'], ['the red object is a red vase.'], ['the red object is a sculpture.'], ['the image shows a vase with a red flower.'], ['the objects in the image are a red glass vase, a green glass vase, a white glass vase, a blue glass vase, a red'], ['the objects are in the image.'], ['the objects are in the image.'], ['the objects in the image are : 1.'], ['a: the objects are red, blue, yellow, white and green.'], [""the red and white objects are called 'the red and white objects '.""], ['the objects are in the image.'], ['the red object is a sculpture of a person.'], ['the red object is a sculpture of a red flower.'], ['the image shows a sculpture of a woman with a red dress.']]"
data/images/noun/2003-600.jpg,2003,fidget toy,59,74,19,0,"[['the image shows a set of wooden blocks arranged in a square shape.'], ['the image shows a group of cubes with a square on the end of each one.'], ['the image is a representation of a set of cubes.'], ['the objects in the image are a set of wooden cubes that can be arranged in a variety of ways.'], ['this is a toy for kids.'], ['this is a toy for children to play with.'], ['the image is a 3d model of a cube.'], ['this is a toy set of cubes with different colors and shapes.'], ['the image is a set of objects.'], ['the image is a 3d model of a toy.'], ['the image is a representation of a set of cubes.'], ['the image is made of cubes of different colors.'], ['this is a toy called a q - shaped puzzle.'], ['the image is a toy set of cubes.'], ['the image is a set of colorful wooden blocks.'], ['the objects are cubes.'], ['the image is a puzzle.'], ['the objects are in the image \\nb: the objects are in the image \\nc: the objects are in the image \\nd: the objects'], ['the image shows a wooden toy that is made up of cubes.'], ['the image shows a set of cubes arranged in a triangular shape.'], ['the image is a sequence of objects in the form of a cube.'], ['the image shows a set of blocks in a triangular shape.'], ['a: the image is a picture of a cube with the letter q in the middle.'], ['the image shows a toy set of cubes.'], ['the image is a puzzle.'], ['the image shows a group of cubes arranged in a square shape.'], ['the image is a picture of a set of cubes.'], ['the image is a puzzle.'], ['the image is a picture of a wooden puzzle with a colorful wooden frame.'], ['a: the objects in the image are a set of cubes.'], ['a: a set of interlocking blocks.'], ['the objects are cubes with a twist.'], ['this is a picture of a toy called a cube.'], ['the image is a picture of a wooden toy with a small figure in it.'], ['the image is a representation of a set of objects.'], ['the objects are in the image are in the shape of a triangle.'], ['the image is a representation of the objects in the image.'], ['the objects are in the image.'], ['this image shows the objects that are in the image.'], ['the image is a 3d model of a cube.']]"
data/images/noun/2004-600.jpg,2004,pencil sharpener,41,70,48,52,"[['the objects are shown in the image.'], ['the image shows the objects in the image.'], ['the objects are in the image.'], ['the objects in the image are a pair of sunglasses, a pair of sunglasses, a pair of sunglasses, a pair of sunglasses, a pair of sunglasses, a'], ['the image shows a variety of objects.'], ['the objects in the image are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['the objects are the following : \\n1.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['the image shows a yellow ball and a red ball.'], ['the image shows a number of objects.'], ['the objects are in the image.'], ['the objects in the image are a pair of orange and yellow balls.'], ['the image is a collection of objects.'], ['the image is a picture of a person.'], ['the objects in the image are a set of objects that are used in the game.'], ['a: the objects are in the image.'], ['the image shows a man wearing a pair of sunglasses.'], ['the image is a collection of objects.'], ['the image shows a person wearing a helmet.'], ['the objects in the image are a ball, a ball, a ball, a ball, a ball, a ball, a ball, a ball, a ball'], ['the image shows a yellow object.'], ['the objects are in the image.'], ['the image shows a picture of a person wearing a pair of glasses.'], ['the objects in the image are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['the objects in the image are a pair of earrings and a bracelet.'], ['the image shows a man with a small dog.'], ['the image shows a person wearing a helmet.'], ['the objects in the image are : \\n \\n - a red ball \\n - a yellow ball \\n - a blue ball \\n - a white'], ['the image shows a person wearing a hat.'], ['the image shows a person wearing a helmet.'], ['the objects are in the image.'], ['the image shows the objects that are in the image.'], ['the objects in the image are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['the image shows a yellow object and a white object.'], ['the objects in the image are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['the objects are in the image.'], ['the objects in the image are a pair of glasses and a pair of sunglasses.'], ['the objects in the image are a variety of objects including a ball, a ball, a ball, a ball, a ball, a ball, a ball,'], ['the objects in the image are : \\n\\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['the objects in the image are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\']]"
data/images/noun/2005-600.jpg,2005,fish tank stone,6,25,81,13,"[['the objects are a collection of different objects.'], ['the objects in the image are : 1.'], ['the image is made of pink and purple objects.'], ['the image shows a pair of wings, the symbol of the goddess.'], ['the image is made of the following objects : - a pink plastic ball - a pink plastic ball with a white stripe - a pink plastic ball with a yellow stripe'], ['the image is a part of the set of 4.'], ['the image is a collection of objects that are in the image.'], ['the image is a representation of the gold - colored crown of thorns.'], ['the objects are a series of stylized leaves and flowers.'], ['the image is made up of a variety of objects.'], ['the image is a representation of a hand, and the objects in the image are the fingers of the hand.'], ['the objects are in the image.'], ['the image is a representation of the object.'], ['the image is made up of a variety of objects.'], ['the image shows a person wearing a crown.'], ['the objects are shown in the image.'], ['the objects are the pink flowers in the background of the image.'], ['the objects in the image are the ones in the center of the image.'], ['the objects are in the image.'], ['the objects are in the image.'], ['the image shows a pair of wings.'], ['the image is a photograph of a hand painted gold leaf sculpture of a unicorn.'], ['the image shows a 3d model of a crown.'], ['the image shows a person wearing a crown.'], ['the image is a 3d model of a crown.'], ['the image shows a person wearing a crown.'], ['the image shows a 3d model of a human head with a crown on top.'], ['the image is a combination of several objects.'], ['the image shows a gold crown with a feather in the center.'], ['the image shows a pink and white feather.'], ['the image is made of 3d objects.'], ['the objects are in the image.'], ['the image is a screenshot of the game.'], ['the image shows a bunch of colorful feathers.'], ['the image is a collection of objects from the video game.'], ['the image is made up of the following objects : - a pink and white flower - a pink and white feather - a pink and white heart - a pink and'], ['the image shows a gold crown with a pink and white feather.'], ['the image is a close up of a white feather.'], ['the objects are in the image.'], ['the objects are the rainbow colored flowers and the pink and white flowers on the right.']]"
data/images/noun/2006-600.jpg,2006,space ship top,34,64,31,3,"[['the objects in the image are the following: \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['the image shows the objects that are in the image.'], ['the image shows the objects that are in the image.'], ['the objects are in the image are the following: \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n'], ['this is a photo of a model of the spacecraft.'], ['the objects in the image are the following: \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['the object is a miniature model of the space shuttle.'], ['the objects in the image are a model of the spacecraft, a model of the rocket, and a model of the satellite.'], ['the object is a model of the space shuttle.'], ['this is a picture of the object in the game.'], ['the image is a diagram of the objects in the game.'], ['the image is a rendering of the ship from the game.'], ['the objects in the image are a space shuttle, a space station, a space shuttle, a space station, a space shuttle, a space station, a space'], ['the object is a model of the space shuttle.'], ['this is a model of the spacecraft.'], ['the objects in the image are the following : \\n1.'], ['this is a model of the spacecraft.'], ['this is a model of a spacecraft.'], ['the image is a photo of a model of the spacecraft.'], ['this is a model of a spacecraft.'], ['the objects in the image are all the objects in the game.'], ['the object in the image is a model of the space shuttle.'], ['the objects are in the image.'], ['the image is a part of a model of a spacecraft.'], ['the objects are in the image.'], ['this is a photo of the model of the spacecraft that was used in the film.'], ['the objects are in the image.'], ['the object is a small model of a space shuttle.'], ['the objects are stars in the night sky \\nq: what is the image of? \\na: the image is a photograph of a spacecraft \\n'], ['this is a close up of a model of the space shuttle.'], ['the object in the image is a model of a space shuttle.'], ['this is a photo of a model of the ship from the film.'], ['the objects are a collection of different spacecraft and satellites.'], ['the objects in the image are the following: \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['the object in the image is a model of a spacecraft.'], ['the objects are in the image.'], ['this is a picture of the space shuttle.'], ['this is a photo of the model of the spacecraft.'], ['the objects are in the image.'], ['this is a screenshot of the game.']]"
data/images/noun/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,"[['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['the object is a small plastic ball with a hole in the middle.'], ['the object in the image is a plastic ball.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['the object in the image is a red ball with a black dot on the top.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['the objects are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n'], ['the object is a ball.'], ['the image shows a rubber ball, a plastic ball, a plastic cylinder, a plastic cylinder, a plastic cylinder, a plastic cylinder, a plastic ball, a'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['the objects are : \\na: a red ball \\nb: a blue ball \\nc: a green ball \\nd: a white ball'], ['the objects are in the image are a: \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['the objects in the image are : \\n - a ball \\n - a ball with a hole \\n - a ball with a string \\n - a'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a: the red object is a ball.'], ['the objects in the image are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['the image shows a man holding a red ball.'], ['the object is a red ball with a white dot on the end.'], ['the objects are in the image are : \\n1.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['the image shows a toy car.'], ['the image shows a ball, a ball, a ball, a ball, a ball, a ball, a ball, a ball, a ball, a ball'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['the object is a red ball.'], ['the objects are a plastic ball, a rubber ball, a plastic ball, a plastic ball, a plastic ball, a plastic ball, a plastic ball, a'], ['the image shows a person holding a ball.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['the object in the image is a toy gun.'], ['the objects in the image are : \\n1.'], ['the object is a ball.'], ['the object in the image is a red ball.'], ['the objects are in the image.'], ['the objects in the image are a ball, a stick, a ball, a stick, a ball, a ball, a ball, a ball, a ball'], ['the objects are a red ball, a yellow ball, a green ball, a blue ball, a white ball, a black ball, a red ball, a'], ['the objects are in the image.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['the image shows a red and white object.']]"
data/images/noun/2008.jpg,2008,curlers formed together,34,25,48,16,"[['the image is of a set of objects.'], ['the objects are the following : \\n1.'], ['the objects in the image are the objects in the image.'], ['they are called rubber bands.'], ['the objects are in the image.'], ['they are rubber bands.'], ['the objects are in the image.'], ['the image is a drawing of a man holding a gun.'], ['the objects are in the image.'], ['the objects in the image are : - a set of 4 rubber bands - a set of 4 rubber bands - a set of 4 rubber bands - a set of'], ['the image is a representation of the objects.'], ['the objects are the plastic objects used in the image.'], ['the objects are in the image.'], ['they are objects that are used in the practice of medicine.'], ['the objects in the image are a set of objects that are used in the design of the logo.'], ['the objects are in the image are in the form of a cylinder.'], ['the objects are : 1.'], ['the objects are in the image.'], ['the image is a diagram of the human body.'], ['the objects are in the image are : \\n1.'], ['the image shows the objects in the order they appear in the illustration.'], ['the objects are made of a plastic material.'], ['the objects in the image are the following : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['the objects are in the image.'], ['they are objects that can be found in the image.'], ['the image is a diagram of a human skeleton.'], ['they are the objects that are in the image.'], ['the objects are in the image.'], ['the image shows a group of objects.'], ['this is a set of 4 rubber objects.'], ['the objects in the image are made of a plastic material.'], ['the objects are the following : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n'], ['the objects in the image are called : \\n\\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n'], ['the objects are a set of metal objects, which are made of metal.'], ['the objects in the image are made of plastic.'], ['the image shows a set of 4 objects.'], ['the image shows a set of objects.'], ['the image is a diagram of the parts of a human body.'], ['the objects are in the image.'], ['the objects in the image are : - 1.']]"
data/images/noun/2009-600.jpg,2009,dog toy,47,78,65,45,"[['this image is made up of 3 objects.'], ['a: the image is a picture of a toy.'], ['the objects are a set of 3d printed cubes with different colors and textures.'], ['the objects are in the image are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n'], ['the objects in the image are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['this is a 3d model of a plant.'], ['the object is a ball of a type of plastic.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['a: the image is a 3d model of a plant.'], ['the image is made of a group of small objects.'], ['this image is a 3d model of a 3d object.'], ['the object is a ball of plastic with a red and white pattern.'], ['the objects are in the image are a dog, a cat, a mouse, a bird, a fish, a frog, a frog, a lizard, a'], ['the image shows a 3d model of a coral reef.'], ['the objects are in the image are : \\n1.'], ['the image is a collection of objects.'], ['the object is a 3d model of a hand with fingers and thumb.'], ['this image is a 3d rendering of a biological molecule called a polypeptide.'], ['this is a 3d model of a plant.'], ['the image is a picture of a 3d model of a heart.'], ['the image is a 3d model of a plant.'], ['the objects are in the image are : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n'], ['this image is made of the following objects : \\n1.'], ['this image is a 3d model of a plant.'], ['the objects are : \\n1.'], ['this is a 3d model of a coral reef.'], ['the image shows a red object with a white stripe on it.'], ['the image shows a toy, a dog, a toy dog, a toy dog, a toy dog, a toy dog, a toy dog, a toy dog'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['this is a 3d model of a plant.'], ['this image shows a variety of objects \\nq: what is the name of the object shown in the image? \\na: the name of the object'], ['the image is a 3d model of a plant.'], ['the image is a picture of a plant.'], ['the objects are a group of animals.'], ['the object is a dog.'], ['the objects are in the image are in the shape of a ball.'], ['the objects are : \\n\\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n'], ['the image is made of a 3d model of a 3d object.'], ['the image is a collection of 3d objects.'], ['the image is a 3d model of a plant.']]"
data/images/noun/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,"[['the image shows a toy, a ball.'], ['the image shows a 3d model of a hand.'], ['the object is a 3d model of a coral reef.'], ['a: the image shows a variety of objects in the image.'], ['the image shows a set of objects that are made of a mix of different materials.'], ['the image shows a number of objects in a 3d environment.'], ['the object in the image is a 3d model of a flower.'], ['the image shows a small ball with a red and white checkered pattern.'], ['the image shows a red ball with a white stripe on it.'], ['the object is a 3d object with a transparent background and a red dot on the surface.'], ['the image shows a variety of objects \\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\'], ['the image shows a dog and a cat.'], ['a: the objects are a set of three red and white spheres.'], ['the object in the image is a red ball with a white spot.'], ['the image shows a group of 3 different objects \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\'], ['the image is a 3d rendering of a spherical object.'], ['a: a set of three different objects \\nq: what are the objects in the image? \\na: a: a set of three different objects'], ['a: the objects in the image are a red ball, a blue ball, a green ball, a yellow ball, a white ball, a red ball,'], ['the object is a 3d object that is made of a combination of different materials.'], ['the image is a 3d model of a 3d object.'], ['the image is a representation of a 3d object.'], ['the image shows a colorful toy with a ball in the center.'], ['the image is a 3d model of a cube with a transparent surface.'], ['a: a: a: a: a: a: a: a: a: a: a: a: a: a: a: a:'], ['the image shows a green and white ball with a red dot on it.'], ['the objects in the image are : \\n1.'], ['the image shows a 3d model of a red ball with a white dot in the middle.'], ['the image is made up of a series of objects.'], ['a: the image is a collection of 3d objects.'], ['the image shows a 3d model of a coral.'], ['the image shows a bunch of objects.'], ['the image shows a bunch of different objects.'], ['the object is a ball of clay.'], ['the image shows a red ball with a white spot on it.'], ['the object in the image is a cube with a hole in the middle.'], ['the objects in the image are : a red ball, a green ball, a yellow ball, a blue ball, a white ball, a red ball, a'], ['the image is made of a number of small objects that are not visible in the final image.'], ['the object in the image is a toy dog.'], ['the objects are in the image.'], ['the objects in the image are the following : \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\n \\']]"
